# of episode, training score, validation score, sigma
1, 292.6, 157.2, 0.20000
2, 144.9, 65.9, 0.19802
3, 136.4, 132.3, 0.19606
4, 139.3, 112.4, 0.19412
5, 137.4, 114.8, 0.19220
6, 155.8, 101.3, 0.19029
7, 144.3, 107.9, 0.18841
8, 139.2, 117.2, 0.18654
9, 140.2, 90.0, 0.18470
10, 50.6, 77.5, 0.18287
11, 136.0, 70.9, 0.18106
12, 133.5, 76.1, 0.17926
13, 117.0, 120.5, 0.17749
14, 141.5, 154.1, 0.17573
15, 155.1, 165.8, 0.17399
16, 74.7, 169.6, 0.17227
17, 165.1, 169.3, 0.17056
18, 152.9, 171.6, 0.16888
19, 139.9, 387.8, 0.16720
20, 160.8, 306.2, 0.16555
21, 245.1, 338.3, 0.16391
22, 250.3, 373.9, 0.16229
23, 225.6, 348.5, 0.16068
24, 197.1, 288.6, 0.15909
25, 180.3, 167.5, 0.15751
26, 142.6, 174.0, 0.15595
27, 196.2, 430.5, 0.15441
28, 215.5, 258.8, 0.15288
29, 136.9, 335.9, 0.15137
30, 263.9, 262.4, 0.14987
31, 248.1, 318.1, 0.14838
32, 110.8, 259.1, 0.14692
33, 275.5, 288.9, 0.14546
34, 220.0, 350.7, 0.14402
35, 156.8, 346.8, 0.14259
36, 171.0, 292.6, 0.14118
37, 182.6, 378.8, 0.13978
38, 166.9, 406.9, 0.13840
39, 61.4, 430.4, 0.13703
40, 202.4, 418.7, 0.13567
41, 155.5, 464.3, 0.13433
42, 220.5, 393.5, 0.13300
43, 139.4, 458.5, 0.13168
44, 275.3, 432.4, 0.13038
45, 177.5, 321.7, 0.12909
46, 192.0, 402.6, 0.12781
47, 258.4, 570.0, 0.12655
48, 141.9, 506.3, 0.12529
49, 197.7, 475.9, 0.12405
50, 201.7, 507.4, 0.12282
51, 168.8, 473.7, 0.12161
52, 316.3, 385.9, 0.12040
53, 247.7, 407.4, 0.11921
54, 187.1, 506.9, 0.11803
55, 208.3, 444.6, 0.11686
56, 152.1, 422.3, 0.11571
57, 160.9, 541.2, 0.11456
58, 138.3, 450.1, 0.11343
59, 101.3, 524.4, 0.11230
60, 231.8, 539.2, 0.11119
61, 244.1, 461.7, 0.11009
62, 164.2, 393.2, 0.10900
63, 208.0, 606.4, 0.10792
64, 95.6, 544.4, 0.10685
65, 244.8, 536.5, 0.10579
66, 259.1, 521.5, 0.10475
67, 136.8, 526.9, 0.10371
68, 208.6, 574.3, 0.10268
69, 313.3, 440.6, 0.10167
70, 237.2, 432.3, 0.10066
71, 115.6, 428.8, 0.09966
72, 217.0, 378.7, 0.09868
73, 154.3, 547.6, 0.09770
74, 229.5, 490.7, 0.09673
75, 409.3, 539.3, 0.09577
76, 208.6, 444.1, 0.09483
77, 205.0, 445.5, 0.09389
78, 353.5, 483.8, 0.09296
79, 271.4, 401.0, 0.09204
80, 78.2, 434.9, 0.09113
81, 195.9, 311.8, 0.09022
82, 181.3, 432.5, 0.08933
83, 256.1, 458.2, 0.08845
84, 279.9, 505.3, 0.08757
85, 295.8, 401.9, 0.08670
86, 354.6, 352.4, 0.08584
87, 230.3, 383.7, 0.08499
88, 284.2, 467.9, 0.08415
89, 111.6, 450.7, 0.08332
90, 417.5, 441.5, 0.08250
91, 216.7, 467.3, 0.08168
92, 281.0, 478.4, 0.08087
93, 206.3, 467.1, 0.08007
94, 129.8, 492.1, 0.07928
95, 112.4, 488.8, 0.07849
96, 232.2, 558.2, 0.07771
97, 218.4, 576.0, 0.07694
98, 367.1, 607.7, 0.07618
99, 313.8, 478.0, 0.07543
100, 305.9, 510.0, 0.07468
101, 434.3, 558.1, 0.07394
102, 235.5, 531.6, 0.07321
103, 378.0, 564.3, 0.07249
104, 175.3, 431.0, 0.07177
105, 368.5, 490.8, 0.07106
106, 208.6, 485.5, 0.07035
107, 72.6, 424.5, 0.06966
108, 287.0, 438.4, 0.06897
109, 282.5, 496.4, 0.06828
