# of episode, training score, validation score, sigma
1, 821.8, 387.1, 0.10000
2, 147.4, 159.6, 0.10000
3, 158.5, 192.7, 0.10000
4, 252.3, 257.4, 0.10000
5, 371.1, 306.2, 0.10000
6, 250.0, 321.8, 0.10000
7, 248.0, 130.8, 0.10000
8, 161.3, 363.6, 0.10000
9, 369.1, 607.5, 0.10000
10, 419.9, 332.2, 0.10000
11, 319.2, 569.2, 0.10000
12, 522.7, 560.5, 0.10000
13, 504.5, 469.4, 0.10000
14, 550.5, 503.4, 0.10000
15, 550.3, 465.3, 0.10000
16, 342.3, 372.1, 0.10000
17, 634.0, 545.3, 0.10000
18, 442.0, 410.3, 0.10000
19, 602.1, 587.1, 0.10000
20, 662.6, 547.2, 0.10000
21, 773.0, 694.4, 0.10000
22, 653.4, 574.2, 0.10000
23, 729.5, 543.0, 0.10000
24, 619.2, 513.2, 0.10000
25, 676.9, 695.5, 0.10000
26, 680.0, 688.5, 0.10000
27, 667.9, 529.9, 0.10000
28, 795.9, 552.7, 0.10000
29, 695.8, 779.2, 0.10000
30, 708.2, 821.4, 0.10000
31, 705.1, 631.5, 0.10000
32, 687.6, 750.0, 0.10000
33, 745.6, 785.3, 0.10000
34, 686.4, 604.8, 0.10000
35, 671.4, 744.4, 0.10000
36, 656.0, 745.6, 0.10000
37, 540.6, 714.2, 0.10000
38, 545.3, 573.8, 0.10000
39, 477.7, 458.0, 0.10000
40, 750.4, 472.5, 0.10000
41, 955.0, 997.8, 0.10000
42, 948.3, 886.5, 0.10000
43, 822.6, 910.9, 0.10000
44, 935.0, 989.2, 0.10000
45, 971.7, 937.8, 0.10000
46, 919.5, 893.7, 0.10000
47, 903.9, 944.4, 0.10000
48, 958.5, 969.2, 0.10000
49, 958.4, 973.1, 0.10000
50, 975.1, 990.0, 0.10000
51, 982.8, 949.8, 0.10000
52, 864.8, 895.8, 0.10000
53, 888.5, 905.0, 0.10000
54, 913.9, 998.5, 0.10000
55, 992.8, 997.1, 0.10000
56, 994.7, 997.6, 0.10000
57, 994.7, 996.1, 0.10000
58, 989.8, 988.1, 0.10000
59, 979.4, 982.6, 0.10000
60, 976.8, 960.3, 0.10000
61, 978.5, 988.8, 0.10000
62, 983.8, 972.9, 0.10000
63, 931.1, 905.8, 0.10000
64, 850.7, 759.0, 0.10000
65, 983.5, 986.6, 0.10000
66, 970.8, 973.4, 0.10000
67, 922.8, 911.9, 0.10000
68, 922.6, 932.6, 0.10000
69, 924.2, 913.4, 0.10000
70, 925.0, 916.2, 0.10000
71, 940.9, 943.5, 0.10000
72, 919.9, 950.1, 0.10000
73, 950.2, 958.5, 0.10000
74, 949.8, 961.2, 0.10000
75, 942.8, 958.5, 0.10000
76, 956.1, 970.6, 0.10000
77, 976.2, 995.2, 0.10000
78, 991.5, 994.8, 0.10000
79, 985.5, 994.5, 0.10000
80, 984.0, 991.0, 0.10000
81, 987.3, 996.1, 0.10000
82, 985.2, 997.8, 0.10000
83, 982.4, 996.8, 0.10000
84, 966.4, 957.5, 0.10000
85, 942.2, 955.0, 0.10000
86, 921.4, 918.3, 0.10000
87, 923.8, 875.3, 0.10000
88, 919.4, 931.7, 0.10000
89, 927.6, 928.3, 0.10000
90, 968.4, 968.2, 0.10000
91, 975.7, 952.0, 0.10000
92, 925.7, 939.6, 0.10000
93, 944.3, 972.4, 0.10000
94, 940.5, 977.9, 0.10000
95, 957.5, 982.6, 0.10000
96, 987.2, 985.1, 0.10000
97, 962.4, 964.4, 0.10000
98, 946.8, 945.7, 0.10000
99, 945.8, 951.9, 0.10000
100, 932.7, 936.2, 0.10000
101, 924.4, 932.9, 0.10000
102, 925.4, 820.8, 0.10000
103, 913.9, 951.5, 0.10000
104, 926.2, 966.6, 0.10000
105, 969.8, 938.8, 0.10000
106, 945.0, 900.7, 0.10000
107, 952.2, 938.4, 0.10000
108, 916.8, 905.8, 0.10000
109, 900.3, 961.9, 0.10000
110, 957.4, 861.0, 0.10000
111, 862.2, 906.9, 0.10000
112, 921.1, 964.1, 0.10000
113, 962.3, 980.7, 0.10000
114, 976.0, 987.5, 0.10000
115, 983.8, 989.6, 0.10000
116, 987.9, 978.3, 0.10000
117, 966.8, 970.1, 0.10000
118, 966.7, 954.1, 0.10000
119, 975.7, 985.8, 0.10000
120, 980.4, 981.9, 0.10000
121, 982.6, 989.4, 0.10000
122, 983.2, 978.9, 0.10000
123, 977.6, 979.7, 0.10000
124, 976.3, 977.4, 0.10000
125, 973.9, 980.0, 0.10000
126, 973.1, 984.9, 0.10000
127, 982.6, 979.3, 0.10000
128, 975.6, 975.3, 0.10000
129, 975.2, 976.9, 0.10000
130, 969.3, 976.2, 0.10000
131, 963.7, 961.9, 0.10000
132, 962.7, 958.1, 0.10000
133, 959.7, 966.7, 0.10000
134, 955.2, 965.6, 0.10000
135, 941.3, 962.1, 0.10000
136, 941.2, 952.7, 0.10000
137, 938.5, 954.6, 0.10000
138, 948.7, 944.1, 0.10000
139, 942.0, 947.1, 0.10000
140, 944.0, 950.5, 0.10000
