# of episode, training score, validation score, sigma
1, 608.2, 321.0, 0.10000
2, 200.0, 168.9, 0.10000
3, 184.8, 274.8, 0.10000
4, 206.3, 260.8, 0.10000
5, 251.5, 177.1, 0.10000
6, 133.7, 231.8, 0.10000
7, 219.4, 225.6, 0.10000
8, 243.2, 185.1, 0.10000
9, 227.2, 173.7, 0.10000
10, 194.5, 172.9, 0.10000
11, 218.6, 316.7, 0.10000
12, 301.8, 326.7, 0.10000
13, 325.4, 406.6, 0.10000
14, 430.6, 335.1, 0.10000
15, 303.3, 336.0, 0.10000
16, 346.8, 282.0, 0.10000
17, 426.9, 257.0, 0.10000
18, 288.2, 389.8, 0.10000
19, 356.6, 584.0, 0.10000
20, 237.2, 293.0, 0.10000
21, 357.5, 550.9, 0.10000
22, 542.6, 471.3, 0.10000
23, 429.5, 344.5, 0.10000
24, 325.4, 668.3, 0.10000
25, 482.4, 329.3, 0.10000
26, 413.0, 364.7, 0.10000
27, 387.2, 524.5, 0.10000
28, 464.2, 464.7, 0.10000
29, 524.8, 405.2, 0.10000
30, 367.3, 491.1, 0.10000
31, 555.5, 515.4, 0.10000
32, 499.0, 729.2, 0.10000
33, 650.4, 775.7, 0.10000
34, 664.3, 996.4, 0.10000
35, 987.3, 973.0, 0.10000
36, 783.4, 504.7, 0.10000
37, 500.2, 662.1, 0.10000
38, 893.5, 546.0, 0.10000
39, 881.9, 768.2, 0.10000
40, 924.2, 605.7, 0.10000
41, 588.7, 449.9, 0.10000
42, 554.2, 912.3, 0.10000
43, 801.3, 972.1, 0.10000
44, 885.9, 807.5, 0.10000
45, 712.5, 795.0, 0.10000
46, 529.2, 802.6, 0.10000
47, 970.1, 971.6, 0.10000
48, 974.8, 943.3, 0.10000
49, 912.9, 990.6, 0.10000
50, 980.7, 957.9, 0.10000
51, 977.9, 985.1, 0.10000
52, 981.3, 950.1, 0.10000
53, 775.6, 981.6, 0.10000
54, 968.1, 920.7, 0.10000
55, 945.8, 949.9, 0.10000
56, 920.0, 907.3, 0.10000
57, 920.5, 917.6, 0.10000
58, 922.9, 948.8, 0.10000
59, 941.9, 942.5, 0.10000
60, 947.4, 952.3, 0.10000
61, 948.3, 951.8, 0.10000
62, 942.0, 937.8, 0.10000
63, 943.3, 932.3, 0.10000
64, 944.2, 955.1, 0.10000
65, 939.4, 936.7, 0.10000
66, 949.0, 959.6, 0.10000
67, 952.5, 947.2, 0.10000
68, 959.9, 956.3, 0.10000
69, 946.0, 945.0, 0.10000
70, 932.9, 933.9, 0.10000
71, 927.4, 926.3, 0.10000
72, 916.0, 911.2, 0.10000
73, 904.8, 912.2, 0.10000
74, 899.6, 892.8, 0.10000
75, 889.6, 887.3, 0.10000
76, 884.6, 902.4, 0.10000
77, 903.9, 911.9, 0.10000
78, 909.7, 916.5, 0.10000
79, 909.0, 908.6, 0.10000
80, 896.8, 898.8, 0.10000
81, 896.4, 924.2, 0.10000
82, 922.3, 930.4, 0.10000
83, 933.8, 941.6, 0.10000
84, 946.8, 962.1, 0.10000
85, 956.3, 968.0, 0.10000
86, 963.8, 966.5, 0.10000
87, 957.7, 963.1, 0.10000
88, 764.2, 318.2, 0.10000
89, 302.2, 458.7, 0.10000
90, 426.5, 470.3, 0.10000
91, 538.6, 931.9, 0.10000
92, 637.1, 863.8, 0.10000
93, 941.0, 246.7, 0.10000
94, 285.4, 232.0, 0.10000
95, 260.2, 266.9, 0.10000
96, 249.0, 273.8, 0.10000
97, 282.0, 878.3, 0.10000
98, 966.8, 965.4, 0.10000
99, 958.9, 961.3, 0.10000
100, 961.7, 964.2, 0.10000
101, 960.6, 962.2, 0.10000
102, 953.4, 959.5, 0.10000
103, 951.6, 948.3, 0.10000
104, 935.7, 940.4, 0.10000
105, 899.5, 867.0, 0.10000
106, 848.1, 826.3, 0.10000
107, 846.2, 868.5, 0.10000
108, 883.1, 897.9, 0.10000
109, 886.8, 886.4, 0.10000
110, 887.2, 890.3, 0.10000
111, 883.7, 880.4, 0.10000
112, 885.5, 885.7, 0.10000
113, 871.5, 871.2, 0.10000
114, 871.2, 875.5, 0.10000
115, 876.7, 877.5, 0.10000
116, 887.3, 903.7, 0.10000
117, 894.6, 779.3, 0.10000
118, 814.7, 883.1, 0.10000
119, 972.3, 881.4, 0.10000
120, 731.4, 982.2, 0.10000
121, 989.4, 985.7, 0.10000
122, 985.3, 985.8, 0.10000
123, 989.7, 934.6, 0.10000
124, 977.8, 963.7, 0.10000
125, 856.2, 918.4, 0.10000
126, 845.1, 980.5, 0.10000
127, 974.0, 932.2, 0.10000
128, 981.0, 994.1, 0.10000
129, 954.5, 553.7, 0.10000
130, 818.6, 974.9, 0.10000
131, 771.6, 857.7, 0.10000
132, 854.0, 773.7, 0.10000
133, 947.4, 641.4, 0.10000
134, 791.7, 790.6, 0.10000
135, 624.1, 748.8, 0.10000
136, 643.3, 540.0, 0.10000
137, 505.9, 639.1, 0.10000
138, 505.8, 485.8, 0.10000
139, 465.3, 545.9, 0.10000
140, 489.4, 812.5, 0.10000
141, 562.5, 881.7, 0.10000
142, 875.5, 850.9, 0.10000
143, 880.8, 896.4, 0.10000
144, 867.8, 822.2, 0.10000
145, 807.8, 677.8, 0.10000
146, 508.1, 495.2, 0.10000
147, 695.7, 713.9, 0.10000
148, 690.1, 752.4, 0.10000
149, 622.5, 802.6, 0.10000
150, 874.0, 850.2, 0.10000
151, 830.9, 717.1, 0.10000
152, 664.5, 801.0, 0.10000
153, 613.7, 542.3, 0.10000
154, 598.9, 661.3, 0.10000
155, 592.8, 538.2, 0.10000
156, 574.7, 619.8, 0.10000
157, 684.1, 653.9, 0.10000
158, 651.7, 741.5, 0.10000
159, 636.3, 722.3, 0.10000
160, 748.2, 741.2, 0.10000
161, 812.4, 856.7, 0.10000
162, 872.6, 682.0, 0.10000
163, 921.6, 886.9, 0.10000
164, 942.9, 920.3, 0.10000
165, 812.1, 934.9, 0.10000
166, 947.8, 953.6, 0.10000
167, 851.9, 894.2, 0.10000
168, 957.4, 964.5, 0.10000
169, 963.4, 962.3, 0.10000
170, 965.6, 955.1, 0.10000
171, 952.1, 956.5, 0.10000
172, 970.4, 957.9, 0.10000
173, 954.0, 968.8, 0.10000
174, 959.9, 952.3, 0.10000
175, 962.1, 967.8, 0.10000
176, 956.9, 968.1, 0.10000
177, 974.0, 998.0, 0.10000
178, 961.2, 860.5, 0.10000
179, 812.6, 924.8, 0.10000
180, 940.5, 781.7, 0.10000
181, 852.3, 985.9, 0.10000
182, 980.6, 992.1, 0.10000
183, 993.1, 990.8, 0.10000
184, 986.1, 981.8, 0.10000
185, 986.3, 998.0, 0.10000
186, 993.3, 988.6, 0.10000
187, 990.0, 994.7, 0.10000
188, 991.5, 998.0, 0.10000
189, 965.0, 940.5, 0.10000
190, 926.8, 916.4, 0.10000
191, 823.9, 708.4, 0.10000
192, 779.6, 756.6, 0.10000
193, 781.3, 831.4, 0.10000
194, 831.6, 835.5, 0.10000
195, 839.1, 858.4, 0.10000
196, 827.9, 815.5, 0.10000
197, 750.2, 690.7, 0.10000
198, 718.0, 771.0, 0.10000
199, 713.4, 726.9, 0.10000
200, 708.5, 772.9, 0.10000
201, 725.4, 661.8, 0.10000
202, 690.6, 681.4, 0.10000
203, 589.8, 666.8, 0.10000
204, 731.6, 686.0, 0.10000
205, 684.2, 734.1, 0.10000
206, 687.4, 719.0, 0.10000
207, 734.9, 698.6, 0.10000
208, 639.2, 849.8, 0.10000
209, 809.3, 813.2, 0.10000
210, 817.9, 865.0, 0.10000
211, 860.9, 887.4, 0.10000
212, 911.7, 914.4, 0.10000
213, 947.9, 963.0, 0.10000
214, 967.2, 979.7, 0.10000
215, 979.9, 980.7, 0.10000
216, 903.4, 856.7, 0.10000
217, 857.6, 840.8, 0.10000
218, 863.0, 941.2, 0.10000
219, 934.8, 989.4, 0.10000
220, 993.7, 998.6, 0.10000
221, 995.2, 997.3, 0.10000
222, 993.3, 990.7, 0.10000
223, 988.9, 989.9, 0.10000
224, 984.2, 990.2, 0.10000
225, 983.8, 988.5, 0.10000
226, 986.2, 988.2, 0.10000
227, 982.9, 983.8, 0.10000
228, 977.6, 978.1, 0.10000
229, 978.8, 989.0, 0.10000
230, 972.7, 984.5, 0.10000
231, 984.6, 984.7, 0.10000
232, 986.9, 997.4, 0.10000
233, 994.0, 997.8, 0.10000
234, 992.2, 998.4, 0.10000
235, 993.3, 995.7, 0.10000
236, 989.6, 996.0, 0.10000
237, 989.6, 996.3, 0.10000
238, 991.8, 998.4, 0.10000
239, 993.0, 986.9, 0.10000
240, 979.4, 994.5, 0.10000
241, 989.7, 998.6, 0.10000
242, 995.1, 998.8, 0.10000
243, 994.7, 998.3, 0.10000
244, 995.8, 998.8, 0.10000
245, 995.6, 997.8, 0.10000
246, 995.1, 998.8, 0.10000
247, 994.6, 998.3, 0.10000
248, 988.6, 978.1, 0.10000
249, 975.0, 976.8, 0.10000
250, 972.7, 973.2, 0.10000
251, 969.0, 968.2, 0.10000
252, 964.7, 959.7, 0.10000
253, 953.7, 947.2, 0.10000
254, 952.0, 945.1, 0.10000
255, 950.3, 966.8, 0.10000
256, 954.0, 958.8, 0.10000
257, 955.6, 965.5, 0.10000
258, 959.7, 960.6, 0.10000
259, 960.4, 963.3, 0.10000
260, 964.2, 963.4, 0.10000
261, 948.0, 903.1, 0.10000
262, 911.1, 678.6, 0.10000
263, 874.7, 561.4, 0.10000
264, 966.0, 559.4, 0.10000
265, 558.8, 511.3, 0.10000
266, 478.0, 510.0, 0.10000
267, 555.4, 508.8, 0.10000
268, 467.0, 769.1, 0.10000
269, 591.7, 943.4, 0.10000
270, 991.2, 695.0, 0.10000
271, 624.3, 499.4, 0.10000
272, 568.9, 524.9, 0.10000
273, 473.2, 734.0, 0.10000
274, 708.2, 738.2, 0.10000
275, 694.6, 701.5, 0.10000
276, 697.9, 753.5, 0.10000
277, 723.2, 860.4, 0.10000
278, 818.2, 590.4, 0.10000
279, 711.1, 620.5, 0.10000
