# of episode, training score, validation score, sigma
1, 748.5, 406.1, 0.19980
2, 310.3, 169.4, 0.19960
3, 173.6, 169.3, 0.19940
4, 187.0, 225.4, 0.19920
5, 201.2, 216.6, 0.19900
6, 218.2, 243.5, 0.19880
7, 237.5, 264.5, 0.19860
8, 299.4, 308.8, 0.19840
9, 272.6, 234.9, 0.19820
10, 107.7, 157.2, 0.19800
11, 222.3, 266.1, 0.19780
12, 227.5, 395.2, 0.19760
13, 354.1, 470.7, 0.19740
14, 357.8, 361.6, 0.19720
15, 507.5, 209.7, 0.19700
16, 269.1, 355.8, 0.19680
17, 437.8, 369.2, 0.19660
18, 465.1, 441.3, 0.19640
19, 569.5, 426.8, 0.19620
20, 504.4, 568.1, 0.19600
21, 294.9, 593.0, 0.19580
22, 537.5, 668.1, 0.19560
23, 649.9, 689.3, 0.19540
24, 665.5, 692.2, 0.19520
25, 608.9, 689.0, 0.19500
26, 688.5, 598.8, 0.19480
27, 626.3, 718.7, 0.19460
28, 639.6, 972.8, 0.19440
29, 976.4, 980.4, 0.19420
30, 939.1, 966.4, 0.19400
31, 937.0, 907.9, 0.19380
32, 930.5, 958.3, 0.19360
33, 954.9, 962.3, 0.19340
34, 937.6, 955.7, 0.19320
35, 794.8, 981.3, 0.19300
36, 848.3, 646.0, 0.19280
37, 647.6, 677.1, 0.19260
38, 706.3, 906.2, 0.19240
39, 827.5, 923.4, 0.19220
40, 729.1, 875.9, 0.19200
41, 871.9, 574.0, 0.19180
42, 846.2, 966.0, 0.19160
43, 960.3, 944.2, 0.19140
44, 942.0, 997.0, 0.19120
45, 985.4, 996.8, 0.19100
46, 985.4, 993.1, 0.19080
47, 982.1, 994.6, 0.19060
48, 982.1, 989.9, 0.19040
49, 982.0, 990.5, 0.19020
50, 983.3, 993.0, 0.19000
51, 984.0, 981.4, 0.18980
52, 984.4, 994.1, 0.18960
53, 986.6, 996.6, 0.18940
54, 977.9, 911.7, 0.18920
55, 872.6, 851.8, 0.18900
56, 899.1, 976.3, 0.18880
57, 961.9, 983.4, 0.18860
58, 962.7, 965.6, 0.18840
59, 912.0, 958.6, 0.18820
60, 922.9, 884.8, 0.18800
61, 881.8, 905.6, 0.18780
62, 917.9, 919.9, 0.18760
63, 913.3, 982.0, 0.18740
64, 960.2, 975.5, 0.18720
65, 944.2, 889.9, 0.18700
66, 870.6, 890.7, 0.18680
67, 900.9, 924.4, 0.18660
68, 907.8, 922.9, 0.18640
69, 905.9, 808.7, 0.18620
70, 763.8, 897.9, 0.18600
71, 888.4, 885.1, 0.18580
72, 858.2, 898.7, 0.18560
73, 860.6, 835.2, 0.18540
74, 808.0, 871.3, 0.18520
75, 741.8, 726.1, 0.18500
76, 756.1, 765.7, 0.18480
77, 754.4, 489.7, 0.18460
78, 557.7, 460.3, 0.18440
