# of episode, training score, validation score, sigma
1, 231.2, 171.7, 0.20000
2, 159.0, 168.1, 0.19802
3, 144.7, 152.3, 0.19606
4, 169.0, 142.8, 0.19412
5, 344.2, 153.6, 0.19220
6, 68.5, 143.6, 0.19029
7, 176.6, 146.8, 0.18841
8, 141.4, 154.4, 0.18654
9, 137.5, 177.1, 0.18470
10, 137.5, 213.5, 0.18287
11, 452.6, 261.9, 0.18106
12, 135.4, 227.9, 0.17926
13, 190.5, 304.1, 0.17749
14, 255.9, 292.2, 0.17573
15, 145.4, 326.0, 0.17399
16, 136.2, 282.9, 0.17227
17, 162.3, 439.1, 0.17056
18, 351.3, 373.9, 0.16888
19, 219.9, 510.6, 0.16720
20, 164.0, 405.1, 0.16555
21, 152.7, 354.7, 0.16391
22, 184.1, 291.8, 0.16229
23, 45.5, 310.9, 0.16068
24, 80.7, 235.7, 0.15909
25, 203.2, 408.3, 0.15751
26, 284.1, 620.5, 0.15595
27, 189.3, 385.7, 0.15441
28, 169.8, 428.3, 0.15288
29, 198.3, 258.2, 0.15137
30, 229.7, 311.1, 0.14987
31, 182.9, 354.3, 0.14838
32, 205.8, 426.5, 0.14692
33, 181.2, 286.4, 0.14546
34, 218.7, 289.2, 0.14402
35, 271.0, 254.5, 0.14259
36, 210.9, 261.3, 0.14118
37, 152.3, 306.2, 0.13978
38, 102.2, 139.4, 0.13840
39, 206.4, 134.1, 0.13703
40, 310.3, 315.0, 0.13567
41, 163.0, 131.7, 0.13433
42, 293.8, 340.3, 0.13300
43, 287.9, 410.1, 0.13168
44, 332.9, 299.9, 0.13038
45, 174.6, 403.2, 0.12909
46, 193.8, 270.8, 0.12781
47, 169.2, 294.0, 0.12655
48, 237.2, 375.5, 0.12529
49, 203.4, 357.8, 0.12405
50, 355.2, 472.8, 0.12282
51, 275.9, 476.8, 0.12161
52, 193.0, 398.6, 0.12040
53, 165.7, 286.8, 0.11921
54, 161.5, 336.1, 0.11803
55, 255.7, 305.3, 0.11686
56, 295.8, 401.9, 0.11571
57, 278.1, 393.2, 0.11456
58, 219.0, 323.4, 0.11343
59, 191.7, 318.3, 0.11230
60, 283.3, 403.7, 0.11119
61, 227.3, 398.2, 0.11009
62, 262.2, 566.1, 0.10900
63, 263.2, 427.1, 0.10792
64, 496.1, 407.2, 0.10685
65, 336.8, 321.4, 0.10579
66, 433.7, 200.1, 0.10475
67, 308.6, 292.6, 0.10371
68, 182.6, 358.6, 0.10268
69, 234.6, 305.1, 0.10167
70, 459.3, 256.3, 0.10066
71, 250.6, 252.2, 0.09966
72, 254.0, 310.7, 0.09868
73, 260.2, 372.8, 0.09770
74, 285.5, 389.1, 0.09673
75, 338.5, 608.6, 0.09577
76, 304.6, 425.4, 0.09483
77, 198.9, 346.2, 0.09389
78, 384.2, 446.5, 0.09296
79, 268.1, 423.0, 0.09204
80, 316.9, 450.3, 0.09113
81, 272.7, 642.2, 0.09022
82, 477.4, 471.9, 0.08933
83, 336.6, 348.9, 0.08845
84, 393.1, 300.9, 0.08757
85, 390.1, 331.0, 0.08670
86, 157.5, 334.5, 0.08584
87, 336.9, 237.6, 0.08499
88, 291.2, 268.6, 0.08415
89, 220.3, 380.1, 0.08332
90, 219.5, 292.6, 0.08250
91, 240.7, 381.4, 0.08168
92, 187.5, 344.3, 0.08087
93, 181.7, 527.6, 0.08007
94, 333.5, 393.2, 0.07928
95, 291.5, 500.2, 0.07849
96, 436.0, 414.2, 0.07771
97, 261.9, 475.4, 0.07694
98, 450.2, 469.0, 0.07618
99, 402.3, 555.8, 0.07543
100, 329.8, 501.0, 0.07468
101, 329.3, 544.4, 0.07394
102, 396.8, 632.2, 0.07321
103, 536.4, 465.0, 0.07249
104, 263.1, 508.1, 0.07177
105, 231.7, 601.6, 0.07106
106, 326.8, 584.1, 0.07035
107, 297.7, 555.1, 0.06966
108, 297.8, 515.4, 0.06897
109, 471.6, 436.0, 0.06828
110, 335.4, 499.1, 0.06761
111, 393.7, 570.4, 0.06694
112, 193.5, 498.5, 0.06628
113, 250.0, 564.0, 0.06562
114, 325.0, 515.2, 0.06497
115, 405.1, 373.9, 0.06433
116, 194.6, 509.8, 0.06369
117, 375.8, 293.5, 0.06306
118, 308.1, 314.6, 0.06244
119, 402.9, 490.4, 0.06182
120, 255.4, 311.4, 0.06120
121, 321.0, 364.6, 0.06060
122, 390.8, 277.7, 0.06000
123, 252.6, 434.1, 0.05940
124, 326.8, 318.8, 0.05882
125, 218.2, 502.9, 0.05823
126, 312.7, 365.0, 0.05766
127, 302.4, 384.2, 0.05709
128, 410.6, 423.1, 0.05652
129, 410.9, 513.7, 0.05596
130, 259.3, 508.5, 0.05541
131, 313.8, 466.6, 0.05486
132, 358.9, 534.9, 0.05432
133, 444.1, 583.9, 0.05378
134, 659.2, 567.3, 0.05325
135, 422.8, 557.8, 0.05272
136, 314.7, 539.9, 0.05220
137, 588.3, 522.4, 0.05168
138, 271.0, 517.4, 0.05117
139, 371.1, 603.6, 0.05066
140, 323.6, 477.0, 0.05016
141, 513.8, 505.2, 0.04966
142, 471.7, 558.5, 0.04917
143, 298.4, 292.2, 0.04868
144, 328.0, 200.4, 0.04820
145, 211.4, 308.5, 0.04773
146, 548.8, 375.6, 0.04725
147, 708.5, 347.2, 0.04679
148, 395.7, 349.4, 0.04632
149, 308.3, 362.4, 0.04586
150, 240.9, 342.8, 0.04541
151, 432.2, 387.0, 0.04496
152, 226.9, 273.1, 0.04451
153, 277.1, 385.5, 0.04407
154, 268.2, 321.2, 0.04364
155, 314.6, 305.4, 0.04321
156, 168.8, 372.3, 0.04278
157, 322.8, 286.3, 0.04235
158, 272.6, 413.8, 0.04193
159, 436.4, 469.9, 0.04152
160, 306.7, 550.8, 0.04111
161, 411.9, 511.4, 0.04070
162, 531.8, 472.8, 0.04030
163, 444.5, 397.8, 0.03990
164, 268.3, 429.1, 0.03950
165, 324.9, 324.5, 0.03911
166, 453.6, 302.4, 0.03873
167, 341.8, 492.1, 0.03834
168, 263.3, 436.0, 0.03796
169, 467.7, 440.2, 0.03759
170, 436.3, 459.0, 0.03721
171, 447.7, 440.0, 0.03685
172, 403.6, 379.0, 0.03648
173, 383.0, 396.3, 0.03612
174, 371.8, 348.0, 0.03576
175, 365.2, 376.6, 0.03541
176, 233.7, 432.3, 0.03506
177, 365.8, 488.6, 0.03471
178, 345.4, 511.8, 0.03437
179, 391.4, 410.9, 0.03403
180, 405.5, 643.5, 0.03369
181, 612.9, 496.8, 0.03336
182, 524.0, 439.7, 0.03303
183, 389.2, 420.6, 0.03270
184, 461.9, 392.1, 0.03238
185, 400.7, 385.4, 0.03206
186, 498.2, 418.4, 0.03174
187, 449.9, 351.8, 0.03142
188, 332.1, 547.2, 0.03111
189, 484.4, 536.7, 0.03080
190, 500.9, 576.5, 0.03050
191, 530.9, 534.8, 0.03020
192, 615.0, 438.8, 0.02990
193, 323.7, 387.6, 0.02960
194, 520.9, 384.6, 0.02931
195, 391.6, 321.9, 0.02902
196, 405.0, 401.2, 0.02873
197, 292.5, 358.1, 0.02845
198, 373.8, 376.7, 0.02817
199, 431.1, 409.0, 0.02789
200, 350.0, 470.4, 0.02761
201, 615.8, 352.0, 0.02734
202, 429.5, 412.6, 0.02707
203, 386.8, 415.2, 0.02680
204, 376.2, 411.2, 0.02653
205, 412.6, 482.6, 0.02627
206, 357.4, 290.3, 0.02601
207, 234.2, 491.7, 0.02575
208, 387.7, 533.5, 0.02550
209, 468.8, 605.1, 0.02525
210, 395.4, 449.3, 0.02500
211, 396.1, 556.3, 0.02475
212, 498.8, 536.2, 0.02450
213, 517.1, 469.9, 0.02426
214, 493.6, 407.1, 0.02402
215, 414.4, 483.6, 0.02378
216, 327.7, 499.9, 0.02355
217, 500.5, 515.6, 0.02331
218, 464.9, 455.6, 0.02308
219, 475.0, 474.2, 0.02285
220, 312.5, 365.8, 0.02263
221, 492.7, 411.0, 0.02240
222, 341.9, 510.6, 0.02218
223, 515.2, 574.3, 0.02196
224, 665.0, 471.2, 0.02175
225, 399.7, 927.7, 0.02153
226, 935.9, 793.0, 0.02132
227, 562.8, 984.3, 0.02111
228, 987.4, 720.9, 0.02090
229, 668.3, 564.8, 0.02069
230, 539.0, 462.1, 0.02048
231, 356.3, 276.4, 0.02028
232, 382.6, 381.1, 0.02008
233, 157.4, 326.8, 0.01988
234, 606.4, 314.7, 0.01969
235, 624.3, 371.9, 0.01949
236, 437.2, 379.5, 0.01930
237, 373.4, 375.8, 0.01911
238, 463.7, 396.4, 0.01892
239, 475.6, 626.2, 0.01873
240, 588.6, 597.5, 0.01854
241, 583.8, 600.8, 0.01836
242, 699.2, 545.7, 0.01818
243, 713.1, 580.6, 0.01800
244, 749.6, 766.9, 0.01782
245, 605.9, 783.2, 0.01764
246, 769.0, 611.6, 0.01747
247, 881.2, 758.9, 0.01730
248, 913.6, 628.8, 0.01713
249, 590.9, 761.8, 0.01696
250, 794.2, 711.7, 0.01679
251, 509.9, 720.4, 0.01662
252, 823.1, 603.4, 0.01646
253, 481.7, 513.7, 0.01629
254, 578.6, 694.1, 0.01613
255, 746.6, 560.7, 0.01597
256, 605.6, 511.7, 0.01582
257, 739.2, 531.4, 0.01566
258, 520.2, 480.7, 0.01550
259, 441.9, 486.2, 0.01535
260, 497.0, 578.1, 0.01520
261, 696.9, 598.6, 0.01505
262, 611.2, 671.8, 0.01490
263, 752.4, 737.9, 0.01475
264, 782.3, 728.2, 0.01461
265, 775.2, 908.8, 0.01446
266, 953.7, 913.4, 0.01432
267, 964.1, 681.1, 0.01418
268, 782.8, 539.0, 0.01404
269, 579.3, 512.9, 0.01390
270, 443.1, 590.0, 0.01376
271, 573.2, 400.2, 0.01362
272, 471.5, 459.5, 0.01349
273, 475.8, 432.3, 0.01335
274, 485.9, 381.0, 0.01322
275, 319.7, 441.1, 0.01309
276, 502.2, 491.4, 0.01296
277, 537.2, 492.1, 0.01283
278, 432.2, 436.9, 0.01271
279, 381.6, 384.7, 0.01258
280, 469.5, 535.1, 0.01246
281, 569.4, 443.2, 0.01233
282, 395.3, 416.8, 0.01221
283, 354.5, 347.1, 0.01209
284, 311.0, 438.7, 0.01197
285, 431.6, 430.8, 0.01185
286, 263.3, 358.5, 0.01173
287, 386.3, 473.8, 0.01162
288, 472.9, 396.5, 0.01150
289, 459.5, 629.3, 0.01139
290, 623.4, 580.0, 0.01128
291, 514.5, 499.1, 0.01116
292, 365.8, 802.3, 0.01105
293, 759.1, 824.1, 0.01094
294, 965.6, 739.6, 0.01084
295, 728.8, 747.4, 0.01073
296, 633.7, 870.2, 0.01062
297, 838.9, 709.4, 0.01052
298, 704.7, 577.6, 0.01041
299, 511.3, 596.2, 0.01031
300, 759.5, 584.2, 0.01021
301, 537.3, 629.9, 0.01011
302, 765.8, 788.8, 0.01001
303, 771.7, 558.0, 0.00991
304, 459.0, 597.9, 0.00981
305, 463.4, 561.1, 0.00971
306, 449.3, 772.0, 0.00962
307, 762.2, 817.3, 0.00952
308, 782.0, 538.3, 0.00943
309, 598.7, 582.6, 0.00933
310, 592.8, 590.4, 0.00924
311, 516.4, 523.6, 0.00915
312, 486.6, 506.7, 0.00906
313, 415.0, 526.2, 0.00897
314, 465.7, 503.9, 0.00888
315, 472.2, 702.3, 0.00879
316, 688.7, 817.7, 0.00871
317, 796.6, 823.5, 0.00862
318, 826.8, 875.0, 0.00853
319, 866.0, 897.1, 0.00845
320, 916.8, 904.2, 0.00837
321, 906.4, 920.3, 0.00828
322, 920.4, 920.1, 0.00820
323, 916.6, 899.4, 0.00812
324, 903.9, 893.5, 0.00804
325, 887.9, 905.4, 0.00796
326, 905.4, 888.2, 0.00788
327, 888.2, 861.0, 0.00780
328, 876.3, 838.6, 0.00773
329, 856.2, 837.4, 0.00765
330, 854.7, 742.0, 0.00757
331, 766.1, 817.4, 0.00750
332, 790.6, 767.7, 0.00742
333, 763.6, 744.3, 0.00735
334, 713.9, 637.9, 0.00728
335, 598.3, 620.5, 0.00721
336, 598.3, 693.0, 0.00713
337, 750.5, 728.3, 0.00706
338, 633.2, 718.6, 0.00699
339, 729.0, 652.8, 0.00692
340, 681.8, 760.6, 0.00686
341, 760.8, 786.5, 0.00679
342, 810.0, 930.5, 0.00672
343, 875.1, 932.1, 0.00665
344, 916.9, 948.8, 0.00659
345, 952.8, 785.3, 0.00652
346, 631.5, 927.2, 0.00646
347, 977.0, 959.3, 0.00639
348, 960.4, 951.0, 0.00633
349, 959.9, 929.8, 0.00627
350, 930.0, 380.8, 0.00621
351, 345.0, 393.4, 0.00615
352, 397.6, 405.2, 0.00608
353, 392.4, 447.9, 0.00602
354, 502.7, 422.2, 0.00596
355, 398.1, 456.2, 0.00591
356, 445.4, 378.4, 0.00585
357, 370.9, 395.3, 0.00579
358, 460.0, 417.0, 0.00573
359, 466.7, 510.0, 0.00568
360, 521.7, 444.7, 0.00562
361, 478.8, 343.7, 0.00556
362, 339.2, 397.0, 0.00551
363, 383.7, 492.3, 0.00545
364, 554.5, 516.1, 0.00540
365, 519.4, 747.1, 0.00535
366, 886.4, 828.7, 0.00529
367, 897.2, 781.1, 0.00524
368, 726.6, 874.6, 0.00519
369, 923.8, 880.7, 0.00514
370, 929.3, 580.9, 0.00509
371, 545.5, 898.4, 0.00504
372, 907.4, 834.9, 0.00499
373, 798.7, 846.5, 0.00494
374, 946.0, 905.7, 0.00489
375, 927.6, 896.2, 0.00484
376, 905.2, 837.8, 0.00479
377, 817.1, 847.1, 0.00474
378, 844.0, 827.6, 0.00470
379, 829.2, 853.7, 0.00465
380, 872.4, 882.1, 0.00460
381, 872.1, 854.1, 0.00456
382, 859.3, 765.6, 0.00451
383, 722.8, 553.1, 0.00447
384, 534.5, 711.7, 0.00443
385, 768.0, 626.6, 0.00438
386, 688.3, 650.5, 0.00434
387, 804.8, 814.6, 0.00430
388, 814.4, 867.5, 0.00425
389, 857.5, 890.9, 0.00421
390, 896.3, 885.5, 0.00417
391, 897.1, 881.9, 0.00413
392, 860.0, 961.6, 0.00409
393, 949.3, 911.3, 0.00405
394, 898.8, 992.4, 0.00401
395, 862.9, 879.7, 0.00397
396, 890.1, 896.3, 0.00393
397, 898.1, 942.9, 0.00389
398, 909.4, 857.5, 0.00385
399, 871.9, 861.1, 0.00381
400, 846.3, 871.1, 0.00377
401, 882.5, 866.6, 0.00374
402, 870.1, 934.6, 0.00370
403, 939.2, 922.1, 0.00366
404, 931.5, 907.2, 0.00363
405, 911.7, 923.5, 0.00359
406, 924.3, 933.7, 0.00356
407, 951.1, 863.0, 0.00352
408, 820.8, 885.6, 0.00349
409, 896.4, 849.1, 0.00345
410, 846.8, 888.9, 0.00342
411, 886.9, 896.2, 0.00338
412, 899.9, 901.7, 0.00335
413, 896.2, 962.0, 0.00332
414, 963.2, 961.7, 0.00328
415, 960.0, 949.7, 0.00325
416, 951.4, 921.3, 0.00322
417, 906.4, 440.0, 0.00319
418, 445.9, 420.3, 0.00316
419, 426.6, 479.6, 0.00312
420, 503.8, 614.9, 0.00309
421, 514.2, 659.6, 0.00306
422, 558.0, 618.2, 0.00303
423, 633.8, 756.7, 0.00300
424, 777.9, 893.7, 0.00297
425, 942.6, 961.7, 0.00294
426, 960.9, 961.9, 0.00291
427, 965.6, 854.1, 0.00288
428, 820.0, 685.3, 0.00286
429, 690.9, 719.2, 0.00283
430, 731.3, 281.9, 0.00280
431, 241.6, 201.0, 0.00277
432, 192.1, 242.9, 0.00274
433, 237.6, 262.5, 0.00272
434, 272.6, 376.5, 0.00269
435, 350.6, 338.7, 0.00266
436, 358.1, 438.1, 0.00264
437, 435.8, 925.4, 0.00261
438, 920.1, 838.1, 0.00259
439, 839.9, 891.4, 0.00256
440, 899.9, 759.5, 0.00253
441, 819.1, 762.9, 0.00251
442, 778.5, 646.8, 0.00248
443, 664.9, 926.0, 0.00246
444, 998.8, 956.6, 0.00244
445, 957.3, 875.5, 0.00241
446, 872.8, 875.4, 0.00239
447, 845.6, 806.0, 0.00236
448, 808.3, 926.5, 0.00234
449, 893.2, 823.2, 0.00232
450, 825.1, 802.3, 0.00229
451, 802.5, 747.9, 0.00227
452, 753.7, 455.8, 0.00225
453, 415.1, 795.6, 0.00223
454, 799.3, 764.8, 0.00221
455, 756.6, 839.9, 0.00218
456, 850.2, 544.4, 0.00216
457, 795.8, 525.5, 0.00214
458, 450.6, 744.1, 0.00212
459, 743.0, 957.9, 0.00210
460, 956.1, 967.4, 0.00208
461, 972.9, 979.9, 0.00206
462, 982.6, 982.6, 0.00204
463, 980.0, 974.2, 0.00202
464, 969.0, 964.6, 0.00200
465, 977.9, 954.1, 0.00198
466, 963.2, 975.6, 0.00196
467, 975.8, 873.7, 0.00194
468, 869.6, 934.5, 0.00192
469, 918.7, 917.8, 0.00190
470, 916.8, 360.2, 0.00188
471, 298.4, 279.8, 0.00186
472, 323.9, 412.2, 0.00184
473, 355.4, 832.1, 0.00183
474, 905.4, 794.2, 0.00181
475, 790.9, 751.1, 0.00179
476, 752.5, 704.2, 0.00177
477, 710.0, 650.6, 0.00175
478, 601.4, 534.2, 0.00174
