# of episode, training score, validation score, sigma
1, 798.5, 338.4, 0.19980
2, 174.7, 135.4, 0.19960
3, 185.6, 142.0, 0.19940
4, 149.7, 147.9, 0.19920
5, 149.2, 148.6, 0.19900
6, 153.8, 183.0, 0.19880
7, 192.4, 183.2, 0.19860
8, 119.2, 372.8, 0.19840
9, 222.4, 530.6, 0.19820
10, 335.5, 250.5, 0.19800
11, 376.6, 472.0, 0.19780
12, 527.5, 319.9, 0.19760
13, 227.0, 373.6, 0.19740
14, 374.6, 610.2, 0.19720
15, 415.7, 351.8, 0.19700
16, 380.7, 303.1, 0.19680
17, 284.3, 525.6, 0.19660
18, 398.7, 521.3, 0.19640
19, 494.1, 318.5, 0.19620
20, 331.8, 348.7, 0.19600
21, 332.7, 286.3, 0.19580
22, 259.7, 390.0, 0.19560
23, 314.1, 347.0, 0.19540
24, 471.3, 374.9, 0.19520
25, 506.2, 378.2, 0.19500
26, 412.3, 474.0, 0.19480
27, 589.7, 705.9, 0.19460
28, 666.1, 647.1, 0.19440
29, 618.4, 755.7, 0.19420
30, 768.8, 832.5, 0.19400
31, 891.6, 966.0, 0.19380
32, 947.1, 962.0, 0.19360
33, 949.4, 962.4, 0.19340
34, 955.7, 973.8, 0.19320
35, 954.9, 891.4, 0.19300
36, 861.9, 843.3, 0.19280
37, 655.5, 932.9, 0.19260
38, 603.2, 484.8, 0.19240
39, 662.3, 414.3, 0.19220
40, 414.2, 970.6, 0.19200
41, 765.6, 471.0, 0.19180
42, 600.8, 509.6, 0.19160
43, 949.9, 660.9, 0.19140
44, 935.3, 858.4, 0.19120
45, 911.8, 920.6, 0.19100
46, 768.1, 440.0, 0.19080
47, 424.0, 542.2, 0.19060
48, 648.7, 504.0, 0.19040
49, 623.8, 750.4, 0.19020
50, 794.8, 853.0, 0.19000
51, 877.1, 953.6, 0.18980
52, 943.6, 922.5, 0.18960
53, 818.5, 687.4, 0.18940
54, 977.0, 926.2, 0.18920
55, 866.1, 890.0, 0.18900
56, 978.4, 679.3, 0.18880
57, 877.5, 833.7, 0.18860
58, 841.0, 840.6, 0.18840
59, 945.5, 845.7, 0.18820
60, 852.1, 974.1, 0.18800
61, 846.0, 963.8, 0.18780
62, 958.1, 979.9, 0.18760
63, 968.4, 991.2, 0.18740
64, 961.0, 969.9, 0.18720
65, 963.2, 937.3, 0.18700
66, 938.4, 944.0, 0.18680
67, 922.6, 923.9, 0.18660
68, 932.5, 970.2, 0.18640
69, 958.5, 984.3, 0.18620
70, 968.8, 976.2, 0.18600
71, 931.6, 928.5, 0.18580
72, 884.6, 892.1, 0.18560
73, 879.4, 892.5, 0.18540
74, 901.2, 910.2, 0.18520
75, 882.2, 888.5, 0.18500
76, 863.3, 883.9, 0.18480
77, 837.2, 855.5, 0.18460
78, 840.3, 826.1, 0.18440
79, 814.9, 829.3, 0.18420
80, 786.4, 801.9, 0.18400
81, 780.4, 775.2, 0.18380
82, 775.2, 798.4, 0.18360
83, 803.3, 824.5, 0.18340
84, 826.7, 851.0, 0.18320
85, 846.7, 861.0, 0.18300
86, 857.3, 844.2, 0.18280
87, 856.1, 922.0, 0.18260
88, 884.0, 880.1, 0.18240
89, 960.4, 997.5, 0.18220
90, 988.3, 997.7, 0.18200
91, 987.1, 966.8, 0.18180
92, 944.7, 930.2, 0.18160
93, 930.8, 892.5, 0.18140
94, 909.2, 860.2, 0.18120
95, 841.0, 809.3, 0.18100
96, 786.4, 900.3, 0.18080
97, 834.7, 426.2, 0.18060
98, 713.2, 818.7, 0.18040
99, 525.5, 959.5, 0.18020
100, 904.8, 526.3, 0.18000
101, 889.6, 763.4, 0.17980
102, 898.9, 911.4, 0.17960
103, 946.6, 955.0, 0.17940
104, 970.0, 969.1, 0.17920
105, 949.2, 923.4, 0.17900
106, 927.4, 913.9, 0.17880
107, 929.0, 965.0, 0.17860
108, 970.4, 993.0, 0.17840
109, 985.5, 993.5, 0.17820
110, 982.2, 996.8, 0.17800
111, 986.6, 990.2, 0.17780
112, 986.6, 996.0, 0.17760
113, 982.2, 993.1, 0.17740
114, 978.6, 989.9, 0.17720
115, 973.7, 991.6, 0.17700
116, 976.3, 995.3, 0.17680
117, 981.4, 992.9, 0.17660
118, 986.5, 997.7, 0.17640
119, 974.7, 953.3, 0.17620
120, 950.3, 951.2, 0.17600
121, 955.7, 968.8, 0.17580
122, 959.3, 974.2, 0.17560
123, 962.7, 969.4, 0.17540
124, 958.1, 948.9, 0.17520
125, 953.2, 968.0, 0.17500
126, 946.7, 953.5, 0.17480
127, 936.0, 934.5, 0.17460
128, 932.4, 952.6, 0.17440
129, 941.2, 954.4, 0.17420
130, 943.2, 959.0, 0.17400
131, 945.2, 958.9, 0.17380
132, 946.2, 958.9, 0.17360
133, 955.5, 965.6, 0.17340
134, 958.9, 969.3, 0.17320
135, 959.3, 895.2, 0.17300
136, 922.0, 947.8, 0.17280
137, 936.7, 937.2, 0.17260
138, 924.4, 940.4, 0.17240
139, 920.4, 892.6, 0.17220
140, 882.1, 875.6, 0.17200
141, 912.3, 931.3, 0.17180
142, 919.1, 907.0, 0.17160
143, 910.1, 936.6, 0.17140
144, 920.8, 922.1, 0.17120
145, 890.6, 891.4, 0.17100
146, 906.9, 927.8, 0.17080
147, 937.8, 966.8, 0.17060
148, 948.8, 960.8, 0.17040
149, 937.0, 942.2, 0.17020
150, 940.7, 955.3, 0.17000
151, 950.6, 992.5, 0.16980
152, 953.7, 950.1, 0.16960
153, 919.6, 912.0, 0.16940
154, 900.5, 889.2, 0.16920
155, 908.4, 905.3, 0.16900
156, 914.3, 932.6, 0.16880
157, 926.0, 939.8, 0.16860
158, 935.3, 960.6, 0.16840
159, 956.2, 971.8, 0.16820
160, 964.2, 980.4, 0.16800
161, 968.7, 978.9, 0.16780
162, 969.8, 980.1, 0.16760
163, 970.3, 984.2, 0.16740
164, 965.1, 944.8, 0.16720
165, 928.6, 909.4, 0.16700
166, 948.7, 959.0, 0.16680
167, 953.7, 964.9, 0.16660
168, 958.9, 984.8, 0.16640
169, 957.3, 947.7, 0.16620
170, 941.3, 930.1, 0.16600
171, 925.6, 931.3, 0.16580
172, 934.5, 948.7, 0.16560
173, 952.0, 962.9, 0.16540
174, 943.4, 955.7, 0.16520
175, 924.3, 922.4, 0.16500
176, 924.4, 958.3, 0.16480
177, 941.0, 956.8, 0.16460
178, 942.1, 954.1, 0.16440
179, 939.9, 926.4, 0.16420
180, 920.9, 922.3, 0.16400
181, 916.5, 925.6, 0.16380
182, 929.8, 935.4, 0.16360
183, 952.9, 970.2, 0.16340
184, 950.3, 253.7, 0.16320
185, 250.4, 218.3, 0.16300
186, 248.1, 249.8, 0.16280
187, 291.5, 284.9, 0.16260
188, 242.3, 237.1, 0.16240
