# of episode, training score, validation score, sigma
1, 323.8, 135.7, 0.20000
2, 136.5, 135.6, 0.19802
3, 135.4, 135.2, 0.20000
4, 112.2, 152.6, 0.20200
5, 236.1, 135.4, 0.20000
6, 136.3, 214.2, 0.19802
7, 237.7, 242.5, 0.19606
8, 136.5, 207.6, 0.19412
9, 224.3, 199.1, 0.19220
10, 176.3, 233.4, 0.19029
11, 173.9, 202.2, 0.18841
12, 298.7, 210.6, 0.18654
13, 135.9, 199.1, 0.18470
14, 193.2, 273.9, 0.18287
15, 215.3, 222.6, 0.18106
16, 161.7, 263.9, 0.17926
17, 156.6, 294.1, 0.17749
18, 135.2, 293.5, 0.17573
19, 188.4, 301.9, 0.17399
20, 179.9, 258.0, 0.17227
21, 206.2, 216.2, 0.17056
22, 137.8, 416.0, 0.16888
23, 137.0, 290.0, 0.16720
24, 177.2, 220.0, 0.16555
25, 157.4, 251.6, 0.16391
26, 77.2, 174.0, 0.16229
27, 187.9, 342.4, 0.16068
28, 187.7, 303.7, 0.15909
29, 175.7, 348.8, 0.15751
30, 148.3, 389.0, 0.15595
31, 216.9, 392.1, 0.15441
32, 176.7, 312.3, 0.15288
33, 247.3, 252.5, 0.15137
34, 142.1, 192.8, 0.14987
35, 195.6, 269.0, 0.14838
36, 206.0, 315.3, 0.14692
37, 272.0, 283.5, 0.14546
38, 101.1, 311.4, 0.14402
39, 201.8, 303.9, 0.14259
40, 230.0, 113.5, 0.14118
41, 210.6, 149.0, 0.13978
42, 359.3, 360.9, 0.13840
43, 198.2, 423.3, 0.13703
44, 206.5, 257.6, 0.13567
45, 336.3, 391.4, 0.13433
46, 145.9, 317.4, 0.13300
47, 201.0, 415.4, 0.13168
48, 301.8, 379.3, 0.13038
49, 209.0, 357.9, 0.12909
50, 150.0, 265.2, 0.12781
51, 270.3, 336.2, 0.12655
52, 126.6, 379.8, 0.12529
53, 194.9, 380.0, 0.12405
54, 85.7, 393.8, 0.12282
55, 235.9, 297.7, 0.12161
56, 221.3, 422.6, 0.12040
57, 412.6, 403.6, 0.11921
58, 391.7, 355.7, 0.11803
59, 239.0, 361.7, 0.11686
60, 246.2, 377.7, 0.11571
61, 308.4, 471.7, 0.11456
62, 89.0, 463.5, 0.11343
63, 211.4, 539.2, 0.11230
64, 326.0, 496.0, 0.11119
65, 327.0, 389.6, 0.11009
66, 250.0, 424.0, 0.10900
67, 268.9, 434.6, 0.10792
68, 315.0, 419.9, 0.10685
69, 142.6, 412.5, 0.10579
70, 288.5, 444.0, 0.10475
71, 144.8, 415.2, 0.10371
72, 275.7, 371.5, 0.10268
73, 242.8, 403.3, 0.10167
74, 264.7, 369.6, 0.10066
75, 258.9, 308.5, 0.09966
76, 259.7, 284.8, 0.09868
77, 183.4, 339.3, 0.09770
78, 249.2, 313.9, 0.09673
79, 261.5, 293.5, 0.09577
80, 174.4, 271.5, 0.09483
81, 368.8, 264.6, 0.09389
82, 312.2, 381.3, 0.09296
83, 334.6, 322.8, 0.09204
84, 260.6, 348.0, 0.09113
85, 209.3, 307.8, 0.09022
86, 346.0, 320.0, 0.08933
87, 282.4, 360.7, 0.08845
88, 344.4, 536.2, 0.08757
89, 322.6, 319.3, 0.08670
90, 280.5, 337.7, 0.08584
91, 146.9, 298.2, 0.08499
92, 288.9, 334.2, 0.08415
93, 318.6, 339.8, 0.08332
94, 173.7, 256.6, 0.08250
95, 248.8, 287.3, 0.08168
96, 452.4, 328.6, 0.08087
97, 251.9, 341.9, 0.08007
98, 187.6, 363.2, 0.07928
99, 334.8, 329.6, 0.07849
100, 261.3, 342.2, 0.07771
101, 360.8, 410.4, 0.07694
102, 312.0, 452.7, 0.07618
103, 274.7, 445.3, 0.07543
104, 225.8, 438.7, 0.07468
105, 256.9, 418.9, 0.07394
106, 263.0, 361.5, 0.07321
107, 235.8, 447.2, 0.07249
108, 306.8, 399.6, 0.07177
109, 420.3, 460.4, 0.07106
110, 195.2, 467.5, 0.07035
111, 363.2, 468.9, 0.06966
112, 334.6, 458.4, 0.06897
113, 376.9, 512.8, 0.06828
114, 439.4, 524.8, 0.06761
115, 310.4, 465.3, 0.06694
116, 253.0, 471.8, 0.06628
117, 225.9, 424.9, 0.06562
118, 324.2, 433.3, 0.06497
119, 465.7, 440.1, 0.06433
120, 362.4, 444.6, 0.06369
121, 333.9, 473.2, 0.06306
122, 317.5, 457.4, 0.06244
123, 490.8, 445.6, 0.06182
124, 359.1, 438.4, 0.06120
125, 452.7, 458.3, 0.06060
126, 271.5, 593.8, 0.06000
127, 376.6, 536.0, 0.05940
128, 355.6, 468.8, 0.05882
129, 314.5, 555.8, 0.05823
130, 322.9, 554.1, 0.05766
131, 357.5, 630.2, 0.05709
132, 257.7, 572.3, 0.05652
133, 517.6, 493.9, 0.05596
134, 303.7, 506.1, 0.05541
135, 394.9, 644.7, 0.05486
136, 353.1, 489.3, 0.05432
137, 565.1, 642.8, 0.05378
138, 272.7, 545.1, 0.05325
139, 390.6, 532.3, 0.05272
140, 464.6, 535.9, 0.05220
141, 367.9, 584.8, 0.05168
142, 393.8, 623.1, 0.05117
143, 376.1, 609.9, 0.05066
144, 404.1, 608.6, 0.05016
145, 363.7, 577.0, 0.04966
146, 478.4, 540.3, 0.04917
147, 336.2, 545.2, 0.04868
148, 346.4, 600.4, 0.04820
149, 436.0, 515.6, 0.04773
150, 496.0, 440.1, 0.04725
151, 346.6, 526.6, 0.04679
152, 466.5, 590.1, 0.04632
153, 387.4, 504.9, 0.04586
154, 390.1, 474.3, 0.04541
155, 418.7, 571.1, 0.04496
156, 441.7, 548.1, 0.04451
157, 491.7, 554.5, 0.04407
158, 538.7, 372.9, 0.04364
159, 384.7, 522.1, 0.04321
160, 390.5, 436.9, 0.04278
161, 284.1, 582.1, 0.04235
162, 394.5, 489.8, 0.04193
163, 632.8, 459.3, 0.04152
164, 496.5, 602.7, 0.04111
165, 583.3, 540.5, 0.04070
166, 439.0, 497.1, 0.04030
167, 465.8, 552.7, 0.03990
168, 276.0, 325.1, 0.03950
169, 288.7, 376.5, 0.03911
170, 294.8, 347.9, 0.03873
171, 385.7, 311.7, 0.03834
172, 284.8, 316.8, 0.03796
173, 264.3, 312.9, 0.03759
174, 208.6, 348.2, 0.03721
175, 250.1, 335.1, 0.03685
176, 215.7, 285.8, 0.03648
177, 363.2, 341.2, 0.03612
178, 229.3, 372.5, 0.03576
179, 386.1, 349.3, 0.03541
180, 307.4, 353.3, 0.03506
181, 325.0, 333.3, 0.03471
182, 266.5, 326.4, 0.03437
183, 373.1, 349.2, 0.03403
184, 403.1, 359.4, 0.03369
185, 358.7, 391.0, 0.03336
186, 344.1, 432.9, 0.03303
187, 369.3, 528.4, 0.03270
188, 615.6, 484.3, 0.03238
189, 447.5, 435.5, 0.03206
190, 379.0, 343.4, 0.03174
191, 400.4, 467.9, 0.03142
192, 559.8, 567.6, 0.03111
193, 568.1, 527.2, 0.03080
194, 508.0, 465.5, 0.03050
195, 585.9, 439.2, 0.03020
196, 396.0, 444.3, 0.02990
197, 426.7, 466.1, 0.02960
198, 391.4, 437.0, 0.02931
199, 443.5, 508.5, 0.02902
200, 527.4, 515.9, 0.02873
201, 477.7, 456.1, 0.02845
202, 378.0, 439.8, 0.02817
203, 367.6, 357.4, 0.02789
204, 347.1, 391.7, 0.02761
205, 408.9, 502.8, 0.02734
206, 599.3, 479.2, 0.02707
207, 461.1, 462.6, 0.02680
208, 445.2, 514.7, 0.02653
209, 348.7, 512.8, 0.02627
210, 501.6, 534.7, 0.02601
211, 492.8, 604.3, 0.02575
212, 595.6, 554.0, 0.02550
213, 471.2, 535.0, 0.02525
214, 460.4, 540.7, 0.02500
215, 515.0, 515.7, 0.02475
216, 567.5, 471.6, 0.02450
217, 480.6, 452.8, 0.02426
218, 434.5, 480.0, 0.02402
219, 446.0, 464.7, 0.02378
220, 427.4, 314.1, 0.02355
221, 693.0, 307.6, 0.02331
222, 298.7, 285.0, 0.02308
223, 286.6, 367.5, 0.02285
224, 326.5, 298.0, 0.02263
225, 398.3, 365.5, 0.02240
226, 382.8, 529.1, 0.02218
227, 473.3, 482.3, 0.02196
228, 370.0, 325.1, 0.02175
229, 307.5, 330.4, 0.02153
230, 368.6, 413.8, 0.02132
231, 466.2, 420.7, 0.02111
232, 379.3, 498.2, 0.02090
233, 565.6, 510.0, 0.02069
234, 444.0, 490.3, 0.02048
235, 575.0, 602.3, 0.02028
236, 496.9, 579.2, 0.02008
237, 684.9, 459.8, 0.01988
238, 696.1, 417.0, 0.01969
239, 409.0, 568.5, 0.01949
240, 548.3, 505.2, 0.01930
241, 625.4, 463.9, 0.01911
242, 415.1, 576.0, 0.01892
243, 574.9, 613.2, 0.01873
244, 646.8, 544.3, 0.01854
245, 493.7, 543.9, 0.01836
246, 537.3, 434.5, 0.01818
247, 427.5, 391.7, 0.01800
248, 404.3, 542.1, 0.01782
249, 472.7, 550.5, 0.01764
250, 521.9, 533.1, 0.01747
251, 596.7, 502.7, 0.01730
252, 522.8, 369.0, 0.01713
253, 656.4, 396.0, 0.01696
254, 437.7, 401.5, 0.01679
255, 601.4, 365.2, 0.01662
256, 358.9, 376.6, 0.01646
257, 548.1, 385.5, 0.01629
258, 486.1, 377.0, 0.01613
259, 341.7, 358.3, 0.01597
260, 333.0, 355.0, 0.01582
261, 328.8, 372.2, 0.01566
262, 412.7, 496.4, 0.01550
263, 435.0, 466.8, 0.01535
264, 406.4, 502.9, 0.01520
265, 424.4, 501.8, 0.01505
266, 418.7, 443.7, 0.01490
267, 398.0, 521.8, 0.01475
268, 449.9, 407.8, 0.01461
269, 416.6, 420.9, 0.01446
270, 380.2, 475.7, 0.01432
271, 418.3, 546.9, 0.01418
272, 537.0, 505.0, 0.01404
273, 612.8, 541.2, 0.01390
274, 542.8, 496.0, 0.01376
275, 464.6, 550.5, 0.01362
276, 663.5, 544.5, 0.01349
277, 635.2, 587.0, 0.01335
278, 534.1, 469.1, 0.01322
279, 545.1, 493.8, 0.01309
280, 611.3, 434.7, 0.01296
281, 370.8, 463.1, 0.01283
282, 506.7, 499.2, 0.01271
283, 484.9, 528.8, 0.01258
284, 444.5, 446.8, 0.01246
