# of episode, training score, validation score, sigma
1, 450.5, 190.1, 0.20000
2, 156.2, 162.6, 0.19802
3, 205.9, 177.1, 0.19606
4, 165.7, 192.3, 0.19412
5, 161.5, 208.0, 0.19220
6, 177.1, 202.5, 0.19029
7, 165.6, 200.4, 0.18841
8, 176.9, 228.8, 0.18654
9, 157.7, 188.3, 0.18470
10, 154.2, 215.7, 0.18287
11, 190.6, 186.8, 0.18106
12, 181.1, 189.2, 0.17926
13, 176.6, 218.6, 0.17749
14, 137.1, 219.4, 0.17573
15, 199.6, 199.5, 0.17399
16, 217.1, 222.7, 0.17227
17, 213.3, 229.7, 0.17056
18, 190.5, 229.4, 0.16888
19, 193.8, 204.8, 0.16720
20, 212.6, 233.3, 0.16555
21, 182.1, 237.7, 0.16391
22, 207.1, 205.4, 0.16229
23, 180.2, 229.8, 0.16068
24, 246.3, 229.8, 0.15909
25, 148.3, 241.1, 0.15751
26, 169.9, 212.9, 0.15595
27, 150.0, 225.7, 0.15441
28, 207.8, 242.9, 0.15288
29, 158.7, 242.6, 0.15137
30, 172.5, 239.2, 0.14987
31, 182.7, 240.5, 0.14838
32, 194.5, 226.1, 0.14692
33, 190.7, 224.6, 0.14546
34, 184.1, 200.1, 0.14402
35, 165.7, 181.4, 0.14259
36, 180.6, 184.9, 0.14118
37, 156.9, 208.7, 0.13978
38, 178.9, 232.7, 0.13840
39, 269.2, 213.7, 0.13703
40, 139.9, 223.7, 0.13567
41, 201.5, 222.9, 0.13433
42, 334.4, 202.0, 0.13300
43, 208.1, 230.3, 0.13168
44, 180.0, 215.1, 0.13038
45, 252.0, 241.7, 0.12909
46, 172.0, 192.4, 0.12781
47, 232.4, 152.5, 0.12655
48, 172.8, 189.6, 0.12529
49, 187.2, 205.9, 0.12405
50, 215.7, 244.1, 0.12282
51, 159.1, 200.3, 0.12161
52, 171.8, 214.8, 0.12040
53, 131.6, 180.3, 0.11921
54, 151.3, 223.8, 0.11803
55, 268.6, 190.8, 0.11686
56, 185.2, 203.0, 0.11571
57, 241.9, 176.5, 0.11456
58, 168.3, 185.8, 0.11343
59, 216.0, 188.1, 0.11230
60, 165.8, 176.0, 0.11119
61, 216.8, 207.8, 0.11009
62, 289.6, 195.3, 0.10900
63, 165.5, 191.3, 0.10792
64, 227.6, 206.3, 0.10685
65, 163.6, 189.4, 0.10579
66, 191.7, 211.7, 0.10475
67, 254.2, 193.2, 0.10371
68, 190.3, 241.2, 0.10268
69, 208.5, 243.5, 0.10167
70, 201.1, 207.9, 0.10066
71, 141.7, 223.6, 0.09966
72, 185.8, 203.1, 0.09868
73, 131.2, 175.5, 0.09770
74, 232.4, 179.1, 0.09673
75, 111.2, 186.4, 0.09577
76, 164.7, 224.4, 0.09483
77, 241.5, 231.6, 0.09389
78, 201.4, 212.6, 0.09296
79, 291.9, 210.1, 0.09204
80, 202.4, 223.6, 0.09113
81, 297.6, 246.3, 0.09022
82, 149.3, 251.5, 0.08933
83, 242.4, 258.3, 0.08845
84, 201.3, 218.5, 0.08757
85, 212.2, 228.8, 0.08670
86, 255.4, 241.3, 0.08584
87, 220.8, 220.1, 0.08499
88, 191.8, 247.9, 0.08415
89, 293.7, 241.1, 0.08332
90, 166.9, 232.1, 0.08250
91, 182.3, 211.6, 0.08168
92, 189.8, 229.0, 0.08087
93, 239.1, 264.8, 0.08007
94, 188.5, 261.9, 0.07928
95, 186.6, 243.7, 0.07849
96, 201.7, 245.3, 0.07771
97, 244.4, 233.6, 0.07694
98, 200.4, 214.9, 0.07618
99, 301.2, 248.5, 0.07543
100, 155.8, 245.0, 0.07468
101, 200.4, 224.1, 0.07394
102, 204.5, 248.1, 0.07321
103, 195.8, 224.5, 0.07249
104, 233.7, 238.4, 0.07177
105, 191.2, 301.5, 0.07106
106, 253.4, 253.2, 0.07035
107, 220.3, 238.7, 0.06966
108, 289.4, 257.9, 0.06897
109, 229.9, 236.5, 0.06828
110, 248.4, 219.6, 0.06761
111, 229.9, 234.0, 0.06694
112, 243.6, 237.7, 0.06628
113, 284.6, 239.2, 0.06562
114, 178.1, 270.0, 0.06497
115, 150.4, 228.8, 0.06433
116, 236.5, 283.3, 0.06369
117, 222.8, 282.9, 0.06306
118, 335.8, 309.8, 0.06244
119, 266.5, 264.1, 0.06182
120, 216.9, 257.7, 0.06120
121, 225.1, 270.4, 0.06060
122, 251.2, 280.3, 0.06000
123, 276.4, 267.2, 0.05940
124, 254.0, 261.4, 0.05882
125, 309.6, 265.0, 0.05823
126, 288.7, 253.2, 0.05766
127, 248.9, 225.0, 0.05709
128, 268.5, 247.6, 0.05652
129, 308.7, 244.5, 0.05596
130, 226.7, 257.8, 0.05541
131, 283.1, 245.0, 0.05486
132, 309.5, 260.3, 0.05432
133, 222.0, 256.3, 0.05378
134, 222.5, 224.5, 0.05325
135, 217.5, 241.6, 0.05272
136, 243.2, 246.9, 0.05220
137, 222.2, 244.3, 0.05168
138, 228.8, 218.7, 0.05117
139, 281.0, 247.5, 0.05066
140, 268.2, 250.0, 0.05016
141, 243.3, 244.7, 0.04966
142, 247.0, 246.5, 0.04917
143, 227.6, 240.3, 0.04868
144, 230.6, 221.6, 0.04820
145, 173.4, 223.5, 0.04773
146, 266.5, 216.5, 0.04725
147, 243.6, 239.7, 0.04679
148, 279.3, 214.1, 0.04632
149, 213.9, 224.1, 0.04586
150, 178.7, 231.7, 0.04541
151, 227.6, 211.3, 0.04496
152, 226.7, 229.9, 0.04451
153, 264.9, 229.5, 0.04407
154, 221.2, 241.4, 0.04364
155, 242.7, 224.8, 0.04321
156, 254.1, 234.2, 0.04278
157, 255.0, 245.4, 0.04235
158, 252.3, 224.8, 0.04193
159, 248.3, 225.4, 0.04152
160, 235.8, 246.7, 0.04111
161, 235.6, 239.9, 0.04070
162, 264.7, 242.9, 0.04030
163, 240.5, 238.0, 0.03990
164, 177.2, 265.5, 0.03950
165, 252.6, 246.5, 0.03911
166, 265.2, 260.0, 0.03873
167, 261.9, 255.4, 0.03834
168, 252.0, 259.0, 0.03796
169, 208.8, 236.5, 0.03759
170, 245.5, 283.4, 0.03721
171, 263.1, 265.7, 0.03685
172, 223.6, 252.7, 0.03648
173, 211.7, 210.6, 0.03612
174, 198.1, 207.4, 0.03576
175, 130.4, 202.4, 0.03541
176, 179.0, 209.1, 0.03506
177, 204.2, 188.9, 0.03471
178, 182.9, 188.4, 0.03437
179, 180.0, 213.9, 0.03403
180, 192.5, 228.4, 0.03369
181, 200.9, 229.2, 0.03336
182, 133.3, 210.0, 0.03303
183, 211.4, 230.8, 0.03270
184, 205.8, 217.1, 0.03238
185, 255.2, 218.5, 0.03206
186, 239.1, 230.7, 0.03174
187, 293.1, 227.8, 0.03142
188, 268.7, 232.4, 0.03111
189, 269.0, 245.8, 0.03080
190, 199.1, 219.2, 0.03050
191, 190.7, 200.5, 0.03020
192, 177.5, 206.6, 0.02990
193, 212.8, 211.2, 0.02960
194, 211.5, 203.7, 0.02931
195, 266.1, 223.7, 0.02902
196, 237.8, 206.1, 0.02873
197, 221.5, 209.5, 0.02845
198, 226.1, 215.2, 0.02817
199, 199.9, 196.1, 0.02789
200, 165.0, 210.2, 0.02761
201, 269.3, 223.1, 0.02734
202, 231.7, 211.0, 0.02707
203, 230.1, 211.9, 0.02680
204, 293.9, 234.4, 0.02653
205, 244.0, 249.7, 0.02627
206, 382.5, 241.6, 0.02601
207, 312.1, 275.7, 0.02575
208, 258.5, 222.0, 0.02550
209, 198.6, 195.0, 0.02525
210, 238.8, 212.3, 0.02500
211, 257.4, 216.9, 0.02475
212, 243.1, 230.6, 0.02450
213, 289.8, 231.1, 0.02426
214, 237.6, 237.0, 0.02402
215, 323.8, 218.0, 0.02378
216, 208.6, 241.3, 0.02355
217, 235.4, 245.7, 0.02331
218, 241.5, 228.8, 0.02308
219, 196.0, 243.1, 0.02285
220, 228.3, 207.4, 0.02263
221, 249.9, 220.6, 0.02240
222, 234.9, 208.4, 0.02218
223, 192.0, 217.3, 0.02196
224, 210.9, 228.5, 0.02175
225, 224.1, 223.5, 0.02153
226, 202.1, 245.9, 0.02132
227, 198.5, 256.8, 0.02111
228, 246.9, 243.0, 0.02090
229, 222.3, 261.2, 0.02069
230, 255.9, 260.8, 0.02048
231, 236.3, 251.1, 0.02028
232, 282.0, 259.4, 0.02008
233, 206.6, 267.3, 0.01988
234, 233.3, 276.2, 0.01969
235, 220.6, 297.5, 0.01949
236, 161.6, 257.8, 0.01930
237, 198.6, 273.8, 0.01911
238, 258.8, 262.0, 0.01892
239, 224.3, 257.9, 0.01873
240, 292.8, 241.7, 0.01854
241, 287.2, 243.9, 0.01836
242, 202.2, 233.2, 0.01818
243, 184.3, 202.9, 0.01800
244, 208.8, 208.4, 0.01782
245, 154.5, 229.2, 0.01764
246, 267.7, 192.1, 0.01747
247, 117.8, 208.8, 0.01730
248, 97.5, 179.1, 0.01713
249, 186.2, 211.6, 0.01696
250, 226.8, 233.8, 0.01679
251, 246.9, 231.0, 0.01662
252, 229.2, 223.7, 0.01646
253, 239.1, 232.7, 0.01629
254, 211.1, 244.7, 0.01613
255, 251.8, 225.5, 0.01597
256, 198.5, 260.9, 0.01582
257, 248.7, 229.2, 0.01566
258, 180.5, 221.2, 0.01550
259, 232.6, 270.7, 0.01535
260, 268.1, 272.4, 0.01520
261, 271.9, 281.0, 0.01505
262, 327.9, 254.3, 0.01490
263, 324.6, 250.9, 0.01475
264, 287.5, 258.3, 0.01461
265, 261.0, 247.0, 0.01446
266, 221.0, 244.9, 0.01432
267, 244.5, 255.9, 0.01418
268, 228.0, 230.5, 0.01404
269, 225.0, 257.6, 0.01390
270, 344.6, 277.0, 0.01376
271, 245.6, 257.6, 0.01362
272, 226.4, 263.3, 0.01349
273, 210.6, 280.9, 0.01335
274, 237.8, 274.2, 0.01322
275, 239.6, 300.3, 0.01309
276, 322.2, 274.6, 0.01296
277, 301.9, 271.5, 0.01283
278, 248.9, 294.6, 0.01271
279, 274.5, 264.5, 0.01258
280, 289.5, 266.7, 0.01246
281, 303.7, 263.5, 0.01233
282, 256.1, 269.3, 0.01221
283, 294.5, 269.1, 0.01209
284, 286.4, 275.2, 0.01197
285, 303.1, 266.8, 0.01185
286, 306.8, 261.6, 0.01173
287, 224.9, 296.0, 0.01162
288, 247.2, 266.5, 0.01150
289, 256.1, 252.9, 0.01139
290, 387.2, 255.5, 0.01128
291, 255.8, 269.4, 0.01116
292, 244.4, 254.3, 0.01105
