# of episode, training score, validation score, sigma
1, 372.8, 192.5, 0.19990
2, 174.5, 194.0, 0.19980
3, 142.4, 185.0, 0.19970
4, 213.8, 171.1, 0.19960
5, 155.9, 181.4, 0.19950
6, 161.7, 200.0, 0.19940
7, 212.9, 213.6, 0.19930
8, 240.0, 244.0, 0.19920
9, 195.0, 209.4, 0.19910
10, 228.7, 243.4, 0.19900
11, 131.3, 250.0, 0.19890
12, 247.5, 205.9, 0.19880
13, 175.3, 248.4, 0.19870
14, 299.7, 256.8, 0.19860
15, 237.1, 254.0, 0.19850
16, 216.5, 272.4, 0.19840
17, 252.1, 266.8, 0.19830
18, 282.0, 265.6, 0.19820
19, 270.2, 270.7, 0.19810
20, 248.9, 262.2, 0.19800
21, 251.8, 266.5, 0.19790
22, 325.3, 258.8, 0.19780
23, 271.9, 248.9, 0.19770
24, 228.0, 267.3, 0.19760
25, 301.7, 265.5, 0.19750
26, 236.7, 300.0, 0.19740
27, 253.0, 292.7, 0.19730
28, 284.7, 315.3, 0.19720
29, 358.6, 279.1, 0.19710
30, 289.3, 293.1, 0.19700
31, 363.1, 286.1, 0.19690
32, 296.9, 278.3, 0.19680
33, 328.6, 298.6, 0.19670
34, 281.5, 312.0, 0.19660
35, 261.2, 308.6, 0.19650
36, 306.8, 267.1, 0.19640
37, 215.8, 303.3, 0.19630
38, 292.9, 306.5, 0.19620
39, 310.8, 287.2, 0.19610
40, 292.7, 286.4, 0.19600
41, 376.7, 305.9, 0.19590
42, 348.9, 301.0, 0.19580
43, 328.2, 335.2, 0.19570
44, 395.5, 299.9, 0.19560
45, 285.2, 307.5, 0.19550
46, 294.1, 331.9, 0.19540
47, 310.1, 299.3, 0.19530
48, 242.5, 319.7, 0.19520
49, 272.8, 344.9, 0.19510
50, 318.8, 333.5, 0.19500
51, 277.2, 346.8, 0.19490
52, 306.9, 302.6, 0.19480
53, 265.0, 331.8, 0.19470
54, 326.1, 353.1, 0.19460
55, 431.4, 335.4, 0.19450
56, 315.3, 358.7, 0.19440
57, 250.2, 368.5, 0.19430
58, 386.4, 379.2, 0.19420
59, 329.5, 364.1, 0.19410
60, 365.8, 360.1, 0.19400
61, 356.6, 367.3, 0.19390
62, 322.2, 367.5, 0.19380
63, 383.8, 305.0, 0.19370
64, 338.9, 355.6, 0.19360
65, 468.9, 348.7, 0.19350
66, 324.3, 387.1, 0.19340
67, 316.1, 388.1, 0.19330
68, 274.1, 305.1, 0.19320
69, 312.9, 361.6, 0.19310
70, 360.0, 358.8, 0.19300
71, 364.6, 332.3, 0.19290
72, 321.7, 337.4, 0.19280
73, 289.5, 353.8, 0.19270
74, 310.7, 337.0, 0.19260
75, 320.4, 345.7, 0.19250
76, 320.6, 333.7, 0.19240
77, 510.8, 322.2, 0.19230
78, 300.5, 338.1, 0.19220
79, 277.7, 307.6, 0.19210
80, 378.6, 356.1, 0.19200
81, 352.7, 335.3, 0.19190
82, 398.1, 358.8, 0.19180
83, 336.1, 342.3, 0.19170
84, 356.3, 331.1, 0.19160
85, 340.3, 299.3, 0.19150
86, 398.5, 340.0, 0.19140
87, 347.3, 337.1, 0.19130
88, 348.4, 343.0, 0.19120
89, 375.2, 343.9, 0.19110
90, 307.6, 394.1, 0.19100
91, 328.2, 412.3, 0.19090
92, 393.7, 369.5, 0.19080
93, 290.0, 381.9, 0.19070
94, 460.4, 382.6, 0.19060
95, 323.6, 330.4, 0.19050
96, 302.0, 361.8, 0.19040
97, 327.7, 376.7, 0.19030
98, 431.6, 327.4, 0.19020
99, 299.1, 312.1, 0.19010
100, 352.2, 318.8, 0.19000
101, 367.2, 352.4, 0.18990
102, 419.3, 297.4, 0.18980
103, 277.8, 395.8, 0.18970
104, 296.3, 341.2, 0.18960
105, 510.0, 368.8, 0.18950
106, 355.5, 378.2, 0.18940
107, 384.6, 338.1, 0.18930
108, 279.9, 258.6, 0.18920
109, 275.6, 415.2, 0.18910
110, 345.0, 349.3, 0.18900
111, 476.3, 407.8, 0.18890
112, 347.9, 400.0, 0.18880
113, 319.7, 449.7, 0.18870
114, 363.0, 409.6, 0.18860
115, 418.0, 384.7, 0.18850
116, 335.2, 383.6, 0.18840
117, 405.9, 396.7, 0.18830
118, 545.1, 420.6, 0.18820
119, 454.8, 371.5, 0.18810
120, 377.0, 385.8, 0.18800
121, 274.3, 381.0, 0.18790
122, 319.1, 390.1, 0.18780
123, 376.8, 379.6, 0.18770
124, 351.0, 427.4, 0.18760
125, 439.7, 357.7, 0.18750
126, 331.7, 366.6, 0.18740
127, 596.0, 366.7, 0.18730
128, 369.7, 364.0, 0.18720
129, 339.1, 399.2, 0.18710
130, 388.2, 316.9, 0.18700
131, 329.8, 337.6, 0.18690
132, 331.0, 345.8, 0.18680
133, 378.9, 336.1, 0.18670
134, 304.9, 321.6, 0.18660
135, 338.7, 306.7, 0.18650
136, 257.7, 372.7, 0.18640
137, 340.5, 379.0, 0.18630
138, 302.6, 365.0, 0.18620
139, 453.0, 392.8, 0.18610
140, 323.7, 372.7, 0.18600
141, 318.5, 399.0, 0.18590
142, 538.9, 393.5, 0.18580
143, 257.3, 373.0, 0.18570
144, 400.1, 383.5, 0.18560
145, 337.1, 391.2, 0.18550
146, 402.9, 472.4, 0.18540
147, 526.7, 402.6, 0.18530
148, 544.6, 462.2, 0.18520
149, 470.7, 417.8, 0.18510
150, 437.0, 460.6, 0.18500
151, 509.6, 487.1, 0.18490
152, 822.2, 410.3, 0.18480
153, 311.1, 376.2, 0.18470
154, 523.5, 324.0, 0.18460
155, 330.8, 333.0, 0.18450
156, 237.4, 331.4, 0.18440
157, 453.8, 443.1, 0.18430
158, 476.6, 442.7, 0.18420
159, 541.9, 418.4, 0.18410
160, 552.7, 348.2, 0.18400
161, 426.3, 401.4, 0.18390
162, 354.4, 325.3, 0.18380
163, 310.1, 342.7, 0.18370
164, 424.2, 359.6, 0.18360
165, 273.8, 332.4, 0.18350
166, 408.6, 392.2, 0.18340
167, 442.3, 433.7, 0.18330
168, 556.9, 417.1, 0.18320
169, 457.1, 407.0, 0.18310
170, 417.5, 488.4, 0.18300
171, 412.4, 438.6, 0.18290
172, 473.6, 607.2, 0.18280
173, 330.8, 431.8, 0.18270
174, 559.6, 431.1, 0.18260
175, 405.2, 606.5, 0.18250
176, 347.3, 605.5, 0.18240
177, 379.2, 401.3, 0.18230
178, 391.7, 410.8, 0.18220
179, 351.0, 492.4, 0.18210
180, 457.0, 860.5, 0.18200
181, 342.3, 775.1, 0.18190
182, 235.7, 562.4, 0.18180
183, 515.9, 477.3, 0.18170
184, 323.4, 508.1, 0.18160
185, 422.7, 361.2, 0.18150
186, 531.8, 579.4, 0.18140
187, 606.9, 540.3, 0.18130
188, 516.6, 710.3, 0.18120
189, 945.8, 539.6, 0.18110
190, 452.8, 576.2, 0.18100
191, 343.4, 422.0, 0.18090
192, 495.2, 392.1, 0.18080
193, 417.1, 370.7, 0.18070
194, 434.5, 378.9, 0.18060
195, 427.1, 366.0, 0.18050
196, 416.2, 359.3, 0.18040
197, 421.2, 790.4, 0.18030
198, 583.8, 502.6, 0.18020
199, 390.3, 595.1, 0.18010
200, 475.1, 533.5, 0.18000
201, 545.1, 403.5, 0.17990
202, 936.4, 604.6, 0.17980
203, 890.7, 424.5, 0.17970
204, 470.9, 598.3, 0.17960
205, 725.7, 676.3, 0.17950
206, 586.8, 576.7, 0.17940
207, 788.2, 515.7, 0.17930
208, 391.3, 489.6, 0.17920
209, 573.0, 514.2, 0.17910
210, 607.4, 541.2, 0.17900
211, 464.9, 649.4, 0.17890
212, 546.9, 638.7, 0.17880
213, 405.6, 686.7, 0.17870
214, 453.3, 437.6, 0.17860
215, 647.4, 551.2, 0.17850
216, 594.1, 661.1, 0.17840
217, 954.7, 765.0, 0.17830
218, 359.1, 730.0, 0.17820
219, 788.8, 712.2, 0.17810
