# of episode, training score, validation score, sigma
1, 430.7, 201.4, 0.19990
2, 160.1, 151.2, 0.19980
3, 157.6, 156.6, 0.19970
4, 185.2, 201.6, 0.19960
5, 171.7, 170.0, 0.19950
6, 187.6, 192.9, 0.19940
7, 195.9, 194.1, 0.19930
8, 183.3, 178.0, 0.19920
9, 203.9, 174.2, 0.19910
10, 144.5, 195.5, 0.19900
11, 248.4, 198.9, 0.19890
12, 240.2, 209.7, 0.19880
13, 209.0, 185.5, 0.19870
14, 187.0, 203.6, 0.19860
15, 189.5, 199.9, 0.19850
16, 243.0, 220.4, 0.19840
17, 181.2, 217.9, 0.19830
18, 187.4, 237.8, 0.19820
19, 203.9, 235.0, 0.19810
20, 192.6, 224.4, 0.19800
21, 261.2, 238.2, 0.19790
22, 166.8, 218.2, 0.19780
23, 203.7, 232.8, 0.19770
24, 232.7, 246.9, 0.19760
25, 171.1, 212.4, 0.19750
26, 186.7, 226.0, 0.19740
27, 215.8, 227.0, 0.19730
28, 231.7, 232.3, 0.19720
29, 206.0, 236.1, 0.19710
30, 231.4, 236.6, 0.19700
31, 218.1, 215.3, 0.19690
32, 226.2, 243.4, 0.19680
33, 191.6, 225.6, 0.19670
34, 237.8, 240.6, 0.19660
35, 248.3, 229.5, 0.19650
36, 214.8, 237.3, 0.19640
37, 196.0, 212.6, 0.19630
38, 198.9, 240.7, 0.19620
39, 197.1, 216.2, 0.19610
40, 133.7, 206.0, 0.19600
41, 239.0, 242.6, 0.19590
42, 163.1, 218.2, 0.19580
43, 173.0, 225.9, 0.19570
44, 197.7, 198.8, 0.19560
45, 234.8, 230.7, 0.19550
46, 198.3, 233.3, 0.19540
47, 216.7, 213.8, 0.19530
48, 236.4, 234.6, 0.19520
49, 210.5, 232.7, 0.19510
50, 257.8, 241.7, 0.19500
51, 213.9, 215.0, 0.19490
52, 183.2, 251.2, 0.19480
53, 280.5, 269.5, 0.19470
54, 185.0, 257.3, 0.19460
55, 233.2, 276.0, 0.19450
56, 166.8, 238.2, 0.19440
57, 204.8, 222.4, 0.19430
58, 203.7, 242.7, 0.19420
59, 161.8, 237.3, 0.19410
60, 256.1, 267.1, 0.19400
61, 268.2, 244.9, 0.19390
62, 243.4, 246.0, 0.19380
63, 129.2, 201.6, 0.19370
64, 174.9, 172.5, 0.19360
65, 134.0, 196.7, 0.19350
66, 165.6, 175.7, 0.19340
67, 147.8, 200.2, 0.19330
68, 217.1, 192.0, 0.19320
69, 232.1, 187.8, 0.19310
70, 164.0, 186.2, 0.19300
71, 248.7, 194.6, 0.19290
72, 170.4, 209.7, 0.19280
73, 224.0, 191.1, 0.19270
74, 177.7, 201.9, 0.19260
75, 191.6, 220.6, 0.19250
76, 201.1, 202.7, 0.19240
77, 171.1, 223.0, 0.19230
78, 227.9, 249.9, 0.19220
79, 173.8, 233.1, 0.19210
80, 161.3, 241.9, 0.19200
81, 207.3, 216.9, 0.19190
82, 215.6, 227.4, 0.19180
83, 203.6, 257.5, 0.19170
84, 284.2, 248.6, 0.19160
85, 234.7, 284.3, 0.19150
86, 185.6, 277.8, 0.19140
87, 241.5, 291.2, 0.19130
88, 230.9, 249.6, 0.19120
89, 312.3, 251.8, 0.19110
90, 254.6, 278.4, 0.19100
91, 233.4, 219.8, 0.19090
92, 198.4, 225.5, 0.19080
93, 199.4, 229.8, 0.19070
94, 281.7, 200.4, 0.19060
95, 181.5, 260.3, 0.19050
96, 212.0, 249.3, 0.19040
97, 282.9, 271.1, 0.19030
98, 154.4, 256.3, 0.19020
99, 230.5, 248.9, 0.19010
100, 205.2, 267.7, 0.19000
101, 253.9, 272.7, 0.18990
102, 253.8, 264.8, 0.18980
103, 268.9, 256.1, 0.18970
104, 179.4, 243.3, 0.18960
105, 219.7, 288.7, 0.18950
106, 283.4, 282.0, 0.18940
107, 166.3, 265.6, 0.18930
108, 247.5, 269.6, 0.18920
109, 256.4, 263.3, 0.18910
110, 260.8, 249.6, 0.18900
111, 218.3, 241.6, 0.18890
112, 231.6, 244.6, 0.18880
113, 227.4, 296.4, 0.18870
114, 186.6, 296.5, 0.18860
115, 276.2, 310.8, 0.18850
116, 269.9, 280.8, 0.18840
117, 178.7, 281.1, 0.18830
118, 200.2, 250.8, 0.18820
119, 288.2, 268.5, 0.18810
120, 213.8, 271.7, 0.18800
121, 256.6, 272.9, 0.18790
122, 248.1, 251.2, 0.18780
123, 313.1, 263.4, 0.18770
124, 265.4, 250.7, 0.18760
125, 253.5, 290.9, 0.18750
126, 204.3, 298.0, 0.18740
127, 226.1, 286.7, 0.18730
128, 286.9, 255.9, 0.18720
