# of episode, training score, validation score, sigma
1, 470.4, 216.5, 0.19990
2, 169.1, 146.2, 0.19980
3, 155.5, 180.8, 0.19970
4, 186.0, 209.8, 0.19960
5, 183.6, 147.3, 0.19950
6, 186.2, 146.3, 0.19940
7, 165.8, 221.0, 0.19930
8, 195.2, 209.0, 0.19920
9, 238.6, 179.9, 0.19910
10, 159.8, 200.2, 0.19900
11, 221.1, 207.3, 0.19890
12, 231.9, 235.6, 0.19880
13, 250.3, 217.5, 0.19870
14, 204.1, 211.4, 0.19860
15, 203.0, 229.5, 0.19850
16, 250.8, 230.2, 0.19840
17, 216.1, 250.8, 0.19830
18, 179.6, 230.5, 0.19820
19, 227.4, 240.2, 0.19810
20, 192.1, 300.9, 0.19800
21, 302.0, 293.3, 0.19790
22, 233.3, 291.4, 0.19780
23, 272.5, 263.2, 0.19770
24, 259.1, 257.7, 0.19760
25, 233.7, 278.1, 0.19750
26, 269.9, 270.4, 0.19740
27, 253.8, 272.7, 0.19730
28, 289.6, 288.2, 0.19720
29, 186.9, 282.7, 0.19710
30, 267.5, 261.8, 0.19700
31, 311.1, 284.6, 0.19690
32, 265.3, 261.4, 0.19680
33, 243.2, 278.9, 0.19670
34, 225.7, 270.5, 0.19660
35, 271.4, 268.6, 0.19650
36, 276.1, 262.8, 0.19640
37, 232.1, 255.1, 0.19630
38, 294.8, 275.9, 0.19620
39, 256.6, 267.0, 0.19610
40, 316.7, 280.8, 0.19600
41, 238.7, 291.0, 0.19590
42, 281.4, 306.4, 0.19580
43, 296.2, 297.3, 0.19570
44, 294.8, 311.3, 0.19560
45, 341.9, 276.0, 0.19550
46, 326.3, 320.7, 0.19540
47, 345.1, 321.3, 0.19530
48, 338.8, 296.2, 0.19520
49, 340.1, 306.6, 0.19510
50, 310.3, 310.4, 0.19500
51, 266.5, 293.4, 0.19490
52, 279.8, 296.9, 0.19480
53, 300.2, 314.5, 0.19470
54, 289.4, 319.0, 0.19460
55, 306.8, 295.3, 0.19450
56, 308.9, 305.3, 0.19440
57, 281.7, 338.7, 0.19430
58, 344.6, 326.5, 0.19420
59, 296.8, 322.6, 0.19410
60, 307.8, 322.2, 0.19400
61, 381.9, 321.0, 0.19390
62, 311.7, 293.3, 0.19380
63, 307.6, 308.4, 0.19370
64, 376.0, 341.6, 0.19360
65, 277.2, 298.3, 0.19350
66, 317.1, 297.2, 0.19340
67, 428.4, 326.9, 0.19330
68, 351.8, 299.2, 0.19320
69, 342.2, 306.0, 0.19310
70, 281.5, 324.4, 0.19300
71, 299.0, 340.5, 0.19290
72, 334.7, 371.2, 0.19280
73, 310.6, 313.5, 0.19270
74, 268.9, 341.4, 0.19260
75, 283.2, 346.9, 0.19250
76, 336.2, 416.5, 0.19240
77, 578.5, 443.7, 0.19230
78, 382.3, 388.2, 0.19220
79, 287.1, 381.8, 0.19210
80, 327.4, 318.4, 0.19200
81, 394.6, 438.0, 0.19190
82, 318.9, 387.8, 0.19180
83, 439.8, 374.1, 0.19170
84, 417.9, 432.1, 0.19160
85, 514.9, 397.8, 0.19150
86, 413.7, 397.0, 0.19140
87, 424.5, 376.6, 0.19130
88, 334.2, 446.7, 0.19120
89, 563.3, 371.6, 0.19110
90, 457.7, 418.1, 0.19100
91, 318.5, 374.9, 0.19090
92, 431.5, 364.8, 0.19080
93, 340.9, 348.9, 0.19070
94, 357.8, 331.8, 0.19060
95, 413.0, 414.3, 0.19050
96, 321.4, 372.7, 0.19040
97, 218.2, 361.7, 0.19030
98, 378.7, 342.2, 0.19020
99, 442.5, 412.9, 0.19010
100, 323.5, 302.4, 0.19000
101, 438.5, 365.3, 0.18990
102, 399.8, 334.0, 0.18980
103, 349.7, 266.8, 0.18970
104, 286.3, 355.1, 0.18960
105, 297.1, 348.9, 0.18950
106, 377.8, 355.4, 0.18940
107, 339.2, 314.1, 0.18930
108, 397.3, 369.6, 0.18920
109, 239.3, 387.8, 0.18910
110, 439.7, 380.6, 0.18900
111, 407.9, 374.4, 0.18890
112, 348.6, 378.5, 0.18880
113, 348.4, 360.2, 0.18870
114, 528.5, 326.2, 0.18860
115, 305.9, 335.1, 0.18850
116, 452.0, 334.6, 0.18840
117, 350.0, 372.9, 0.18830
118, 365.6, 326.4, 0.18820
119, 244.0, 332.8, 0.18810
120, 354.9, 379.2, 0.18800
121, 393.8, 343.0, 0.18790
122, 366.3, 347.3, 0.18780
123, 382.0, 378.8, 0.18770
124, 342.5, 347.5, 0.18760
125, 388.9, 392.6, 0.18750
126, 382.4, 336.4, 0.18740
127, 269.4, 344.1, 0.18730
128, 341.5, 331.8, 0.18720
129, 313.9, 325.0, 0.18710
130, 294.4, 340.0, 0.18700
131, 318.6, 314.2, 0.18690
132, 334.6, 319.5, 0.18680
133, 340.6, 337.2, 0.18670
134, 326.0, 374.5, 0.18660
135, 256.7, 357.5, 0.18650
136, 299.3, 367.0, 0.18640
137, 317.6, 312.2, 0.18630
138, 361.5, 297.2, 0.18620
139, 352.9, 343.9, 0.18610
140, 369.6, 365.8, 0.18600
141, 373.9, 334.3, 0.18590
142, 278.2, 409.7, 0.18580
143, 349.9, 354.6, 0.18570
144, 352.8, 351.9, 0.18560
145, 372.8, 391.9, 0.18550
146, 304.9, 331.6, 0.18540
147, 397.1, 310.7, 0.18530
148, 387.7, 426.9, 0.18520
149, 283.0, 401.0, 0.18510
150, 378.7, 335.3, 0.18500
151, 347.9, 457.9, 0.18490
152, 237.5, 375.4, 0.18480
153, 349.8, 377.2, 0.18470
154, 259.2, 287.0, 0.18460
155, 321.2, 295.1, 0.18450
