# of episode, training score, validation score, sigma
1, 352.8, 190.5, 0.20000
2, 145.7, 177.8, 0.19802
3, 174.0, 174.8, 0.19606
4, 156.1, 182.2, 0.19412
5, 198.1, 158.1, 0.19220
6, 181.9, 222.3, 0.19029
7, 75.6, 197.1, 0.18841
8, 141.4, 236.0, 0.18654
9, 165.4, 236.0, 0.18470
10, 221.2, 227.1, 0.18287
11, 172.3, 219.8, 0.18106
12, 162.9, 206.5, 0.17926
13, 142.1, 186.0, 0.17749
14, 171.6, 219.6, 0.17573
15, 238.5, 209.1, 0.17399
16, 166.5, 203.2, 0.17227
17, 178.2, 245.9, 0.17056
18, 251.0, 218.5, 0.16888
19, 86.6, 211.1, 0.16720
20, 156.7, 208.7, 0.16555
21, 166.0, 200.2, 0.16391
22, 179.7, 201.0, 0.16229
23, 170.1, 226.7, 0.16068
24, 171.9, 221.2, 0.15909
25, 226.7, 242.1, 0.15751
26, 179.5, 218.4, 0.15595
27, 226.5, 201.2, 0.15441
28, 188.2, 209.4, 0.15288
29, 152.2, 220.7, 0.15137
30, 152.9, 269.4, 0.14987
31, 155.1, 193.5, 0.14838
32, 203.1, 216.4, 0.14692
33, 175.7, 225.1, 0.14546
34, 158.4, 197.3, 0.14402
35, 189.3, 197.6, 0.14259
36, 172.7, 234.6, 0.14118
37, 168.0, 232.1, 0.13978
38, 237.9, 221.2, 0.13840
39, 199.6, 224.9, 0.13703
40, 203.5, 233.7, 0.13567
41, 179.0, 228.5, 0.13433
42, 167.3, 250.8, 0.13300
43, 202.7, 224.8, 0.13168
44, 164.4, 237.9, 0.13038
45, 218.9, 238.3, 0.12909
46, 193.8, 212.4, 0.12781
47, 199.0, 254.6, 0.12655
48, 174.6, 213.3, 0.12529
49, 213.4, 241.7, 0.12405
50, 140.7, 230.5, 0.12282
51, 198.3, 215.2, 0.12161
52, 206.2, 218.0, 0.12040
53, 203.4, 225.9, 0.11921
54, 233.9, 229.8, 0.11803
55, 213.0, 228.5, 0.11686
56, 212.2, 234.9, 0.11571
57, 211.2, 221.4, 0.11456
58, 264.0, 249.0, 0.11343
59, 205.8, 242.4, 0.11230
60, 245.6, 262.1, 0.11119
61, 261.4, 271.0, 0.11009
62, 266.2, 228.3, 0.10900
63, 190.7, 250.8, 0.10792
64, 200.7, 219.3, 0.10685
65, 222.8, 228.4, 0.10579
66, 205.6, 229.3, 0.10475
67, 203.6, 212.9, 0.10371
68, 285.1, 239.9, 0.10268
69, 225.5, 204.8, 0.10167
70, 179.9, 242.1, 0.10066
71, 190.2, 237.3, 0.09966
72, 199.6, 245.6, 0.09868
73, 223.7, 241.6, 0.09770
74, 223.6, 246.7, 0.09673
75, 181.1, 277.4, 0.09577
76, 193.0, 250.3, 0.09483
77, 212.1, 249.6, 0.09389
78, 230.9, 276.5, 0.09296
79, 240.3, 244.9, 0.09204
80, 277.8, 241.8, 0.09113
81, 213.3, 241.5, 0.09022
82, 216.2, 238.2, 0.08933
83, 260.4, 214.4, 0.08845
84, 274.8, 246.2, 0.08757
85, 270.0, 272.8, 0.08670
86, 206.8, 228.3, 0.08584
87, 243.0, 238.8, 0.08499
88, 274.5, 251.7, 0.08415
89, 318.0, 256.1, 0.08332
90, 283.0, 268.8, 0.08250
91, 218.5, 226.8, 0.08168
92, 192.4, 237.3, 0.08087
93, 161.4, 245.1, 0.08007
94, 171.2, 266.1, 0.07928
95, 222.3, 254.8, 0.07849
96, 258.1, 266.5, 0.07771
97, 291.8, 311.0, 0.07694
98, 344.2, 308.0, 0.07618
99, 258.2, 321.0, 0.07543
100, 242.2, 284.4, 0.07468
101, 244.2, 288.1, 0.07394
102, 229.2, 271.4, 0.07321
103, 349.4, 268.3, 0.07249
104, 285.8, 247.3, 0.07177
105, 260.1, 261.5, 0.07106
106, 198.2, 279.4, 0.07035
107, 207.2, 248.7, 0.06966
108, 200.6, 264.4, 0.06897
109, 244.9, 292.0, 0.06828
110, 322.2, 317.1, 0.06761
111, 236.1, 295.8, 0.06694
112, 224.5, 260.9, 0.06628
113, 230.1, 311.0, 0.06562
114, 236.6, 309.7, 0.06497
115, 291.5, 306.7, 0.06433
116, 254.9, 243.3, 0.06369
117, 230.3, 286.1, 0.06306
118, 282.6, 263.5, 0.06244
119, 148.8, 268.2, 0.06182
120, 275.6, 273.2, 0.06120
121, 303.2, 257.9, 0.06060
122, 259.0, 252.3, 0.06000
123, 194.8, 232.1, 0.05940
124, 212.7, 250.0, 0.05882
125, 253.0, 257.8, 0.05823
126, 238.8, 213.1, 0.05766
127, 304.7, 273.1, 0.05709
128, 249.4, 254.5, 0.05652
129, 290.4, 276.9, 0.05596
130, 223.4, 288.4, 0.05541
131, 316.3, 289.9, 0.05486
132, 261.7, 326.9, 0.05432
133, 307.8, 299.1, 0.05378
134, 335.5, 320.0, 0.05325
135, 272.9, 316.5, 0.05272
136, 211.5, 332.3, 0.05220
137, 345.8, 331.4, 0.05168
138, 300.4, 343.3, 0.05117
139, 432.1, 302.8, 0.05066
140, 284.5, 266.6, 0.05016
141, 268.6, 291.4, 0.04966
142, 231.9, 306.4, 0.04917
143, 260.6, 306.5, 0.04868
144, 159.3, 284.0, 0.04820
145, 189.2, 206.8, 0.04773
146, 218.0, 205.2, 0.04725
147, 177.2, 215.4, 0.04679
148, 230.1, 213.8, 0.04632
149, 205.6, 278.8, 0.04586
150, 263.9, 271.2, 0.04541
151, 248.4, 265.4, 0.04496
152, 252.4, 256.2, 0.04451
153, 224.6, 238.0, 0.04407
154, 213.5, 259.9, 0.04364
155, 269.0, 239.9, 0.04321
156, 216.7, 250.0, 0.04278
157, 223.1, 270.4, 0.04235
158, 302.6, 270.0, 0.04193
159, 258.9, 289.4, 0.04152
160, 253.7, 280.2, 0.04111
161, 275.6, 240.6, 0.04070
162, 262.8, 276.0, 0.04030
163, 228.3, 251.3, 0.03990
164, 232.1, 262.3, 0.03950
165, 256.2, 282.1, 0.03911
166, 283.6, 317.2, 0.03873
167, 233.2, 310.4, 0.03834
168, 380.7, 312.4, 0.03796
169, 329.7, 338.1, 0.03759
170, 213.3, 358.0, 0.03721
171, 374.2, 336.7, 0.03685
172, 279.9, 318.4, 0.03648
173, 316.9, 309.1, 0.03612
174, 413.8, 309.9, 0.03576
175, 206.1, 289.2, 0.03541
176, 245.8, 326.0, 0.03506
177, 279.9, 323.8, 0.03471
178, 329.7, 266.0, 0.03437
179, 344.7, 273.0, 0.03403
180, 204.4, 251.7, 0.03369
181, 249.3, 282.9, 0.03336
182, 407.9, 233.6, 0.03303
183, 183.3, 274.6, 0.03270
184, 264.2, 328.3, 0.03238
185, 393.8, 328.4, 0.03206
186, 355.2, 338.2, 0.03174
187, 341.0, 322.2, 0.03142
188, 311.2, 325.5, 0.03111
189, 427.8, 342.6, 0.03080
190, 298.9, 293.6, 0.03050
191, 305.5, 286.4, 0.03020
192, 274.3, 255.1, 0.02990
193, 267.7, 248.7, 0.02960
194, 236.6, 253.9, 0.02931
195, 243.8, 240.5, 0.02902
196, 375.1, 268.1, 0.02873
197, 278.7, 354.0, 0.02845
198, 306.8, 340.7, 0.02817
199, 391.3, 390.3, 0.02789
200, 296.8, 422.7, 0.02761
201, 267.3, 297.9, 0.02734
202, 213.5, 319.8, 0.02707
203, 410.3, 292.3, 0.02680
204, 355.8, 258.8, 0.02653
205, 229.4, 234.4, 0.02627
206, 240.9, 227.0, 0.02601
207, 286.9, 237.7, 0.02575
208, 199.8, 272.5, 0.02550
209, 286.1, 312.2, 0.02525
210, 220.0, 340.5, 0.02500
211, 335.0, 353.2, 0.02475
212, 418.4, 315.2, 0.02450
213, 343.3, 313.8, 0.02426
214, 200.4, 299.6, 0.02402
215, 369.1, 293.4, 0.02378
216, 360.9, 347.0, 0.02355
217, 293.3, 330.5, 0.02331
218, 354.5, 331.3, 0.02308
219, 276.2, 313.3, 0.02285
220, 304.5, 349.9, 0.02263
221, 295.9, 309.3, 0.02240
222, 370.7, 448.7, 0.02218
223, 382.5, 358.8, 0.02196
224, 370.7, 449.4, 0.02175
225, 417.4, 422.9, 0.02153
226, 364.9, 342.5, 0.02132
227, 316.3, 436.7, 0.02111
228, 552.6, 745.7, 0.02090
229, 387.7, 332.2, 0.02069
230, 222.9, 296.2, 0.02048
231, 305.1, 291.7, 0.02028
232, 315.8, 290.3, 0.02008
233, 292.0, 323.0, 0.01988
234, 472.2, 279.1, 0.01969
235, 212.2, 353.6, 0.01949
236, 372.1, 446.9, 0.01930
237, 299.6, 461.2, 0.01911
238, 957.6, 384.9, 0.01892
239, 399.0, 401.4, 0.01873
240, 564.4, 340.6, 0.01854
241, 362.8, 339.1, 0.01836
242, 354.2, 361.8, 0.01818
243, 278.8, 478.3, 0.01800
244, 404.3, 388.0, 0.01782
245, 377.8, 311.2, 0.01764
246, 280.3, 308.7, 0.01747
247, 258.3, 406.7, 0.01730
248, 351.5, 450.1, 0.01713
249, 397.5, 457.1, 0.01696
250, 625.0, 432.8, 0.01679
251, 369.7, 296.3, 0.01662
252, 301.8, 308.2, 0.01646
