# of episode, training score, validation score, sigma
1, 565.9, 238.3, 0.19990
2, 152.1, 145.0, 0.19980
3, 149.3, 146.1, 0.19970
4, 157.1, 144.6, 0.19960
5, 152.4, 146.2, 0.19950
6, 166.8, 204.2, 0.19940
7, 139.6, 163.3, 0.19930
8, 182.0, 182.9, 0.19920
9, 197.7, 186.0, 0.19910
10, 190.9, 190.7, 0.19900
11, 187.9, 198.2, 0.19890
12, 198.7, 209.3, 0.19880
13, 225.3, 240.7, 0.19870
14, 220.0, 243.2, 0.19860
15, 244.5, 231.9, 0.19850
16, 237.5, 243.1, 0.19840
17, 236.2, 261.8, 0.19830
18, 240.6, 236.8, 0.19820
19, 276.1, 238.2, 0.19810
20, 198.4, 243.7, 0.19800
21, 216.8, 252.8, 0.19790
22, 292.3, 263.6, 0.19780
23, 247.2, 286.4, 0.19770
24, 240.1, 257.7, 0.19760
25, 275.7, 259.7, 0.19750
26, 266.1, 266.7, 0.19740
27, 262.3, 276.8, 0.19730
28, 308.9, 275.6, 0.19720
29, 357.4, 279.2, 0.19710
30, 279.6, 249.6, 0.19700
31, 252.8, 284.5, 0.19690
32, 199.2, 277.3, 0.19680
33, 260.2, 284.5, 0.19670
34, 282.2, 274.2, 0.19660
35, 266.5, 286.5, 0.19650
36, 260.2, 276.8, 0.19640
37, 290.4, 242.3, 0.19630
38, 258.6, 269.2, 0.19620
39, 287.2, 304.1, 0.19610
40, 361.4, 337.4, 0.19600
41, 311.6, 249.8, 0.19590
42, 318.7, 345.2, 0.19580
43, 324.7, 365.2, 0.19570
44, 338.8, 349.6, 0.19560
45, 308.8, 307.2, 0.19550
46, 296.4, 343.0, 0.19540
47, 306.6, 302.1, 0.19530
48, 290.3, 319.0, 0.19520
49, 280.0, 299.4, 0.19510
50, 322.6, 321.0, 0.19500
51, 320.7, 332.9, 0.19490
52, 328.3, 297.5, 0.19480
53, 253.6, 284.8, 0.19470
54, 402.3, 298.1, 0.19460
55, 285.2, 323.8, 0.19450
56, 295.0, 313.4, 0.19440
57, 271.5, 283.8, 0.19430
58, 293.4, 278.7, 0.19420
59, 277.1, 300.4, 0.19410
60, 250.7, 318.4, 0.19400
61, 341.0, 291.9, 0.19390
62, 300.0, 312.6, 0.19380
63, 285.6, 321.1, 0.19370
64, 281.4, 288.3, 0.19360
65, 291.2, 304.7, 0.19350
66, 354.7, 299.8, 0.19340
67, 302.2, 309.5, 0.19330
68, 337.8, 270.8, 0.19320
69, 318.4, 274.1, 0.19310
70, 305.3, 278.1, 0.19300
71, 252.6, 266.7, 0.19290
72, 316.5, 288.2, 0.19280
73, 233.3, 284.9, 0.19270
74, 366.3, 261.6, 0.19260
75, 255.7, 307.3, 0.19250
76, 312.4, 289.5, 0.19240
77, 396.0, 310.1, 0.19230
78, 202.4, 304.7, 0.19220
79, 362.1, 299.0, 0.19210
80, 219.9, 273.4, 0.19200
81, 272.0, 288.4, 0.19190
82, 325.4, 279.4, 0.19180
83, 300.8, 317.8, 0.19170
84, 404.9, 372.0, 0.19160
85, 377.4, 306.7, 0.19150
86, 247.8, 341.5, 0.19140
87, 287.6, 372.2, 0.19130
88, 294.3, 344.7, 0.19120
89, 244.3, 285.3, 0.19110
90, 267.1, 292.7, 0.19100
91, 365.2, 377.7, 0.19090
92, 301.6, 319.7, 0.19080
93, 343.8, 314.2, 0.19070
94, 282.8, 386.9, 0.19060
95, 324.5, 348.8, 0.19050
96, 342.2, 416.0, 0.19040
97, 292.0, 413.8, 0.19030
98, 517.7, 422.8, 0.19020
99, 538.7, 452.7, 0.19010
100, 366.4, 550.1, 0.19000
101, 269.9, 472.4, 0.18990
102, 494.1, 429.4, 0.18980
103, 249.2, 549.7, 0.18970
104, 580.8, 451.6, 0.18960
105, 301.0, 357.2, 0.18950
106, 375.5, 455.8, 0.18940
107, 370.5, 437.0, 0.18930
108, 299.4, 356.5, 0.18920
109, 470.6, 306.8, 0.18910
110, 383.1, 343.4, 0.18900
111, 368.5, 359.6, 0.18890
112, 339.6, 332.2, 0.18880
113, 374.1, 333.7, 0.18870
114, 282.9, 311.0, 0.18860
115, 303.2, 309.6, 0.18850
116, 281.6, 345.0, 0.18840
117, 299.1, 383.7, 0.18830
118, 299.8, 373.6, 0.18820
119, 289.9, 337.8, 0.18810
