# of episode, training score, validation score, sigma
1, 389.1, 219.0, 0.19990
2, 128.9, 186.4, 0.19980
3, 158.6, 218.2, 0.19970
4, 156.5, 183.9, 0.19960
5, 176.1, 197.5, 0.19950
6, 186.1, 202.2, 0.19940
7, 189.6, 217.1, 0.19930
8, 199.9, 216.6, 0.19920
9, 222.0, 201.5, 0.19910
10, 172.8, 215.2, 0.19900
11, 186.9, 207.8, 0.19890
12, 194.1, 228.7, 0.19880
13, 178.2, 213.8, 0.19870
14, 182.2, 193.4, 0.19860
15, 196.2, 207.2, 0.19850
16, 221.4, 199.0, 0.19840
17, 218.1, 201.5, 0.19830
18, 182.7, 206.9, 0.19820
19, 181.1, 215.4, 0.19810
20, 214.3, 242.9, 0.19800
21, 183.8, 246.6, 0.19790
22, 210.2, 232.5, 0.19780
23, 262.5, 249.4, 0.19770
24, 239.9, 241.3, 0.19760
25, 236.3, 246.1, 0.19750
26, 221.2, 237.6, 0.19740
27, 218.3, 242.0, 0.19730
28, 255.7, 220.1, 0.19720
29, 248.2, 240.6, 0.19710
30, 171.8, 241.0, 0.19700
31, 257.9, 239.8, 0.19690
32, 200.0, 235.7, 0.19680
33, 280.4, 226.1, 0.19670
34, 221.3, 223.7, 0.19660
35, 231.6, 249.0, 0.19650
36, 172.0, 224.9, 0.19640
37, 231.4, 229.6, 0.19630
38, 298.9, 239.8, 0.19620
39, 203.5, 239.9, 0.19610
40, 194.3, 246.1, 0.19600
41, 244.4, 258.7, 0.19590
42, 204.2, 267.8, 0.19580
43, 197.5, 227.8, 0.19570
44, 152.8, 252.6, 0.19560
45, 169.6, 244.9, 0.19550
46, 196.1, 274.0, 0.19540
47, 209.1, 260.1, 0.19530
48, 199.1, 252.8, 0.19520
49, 183.4, 246.0, 0.19510
50, 189.1, 256.5, 0.19500
51, 230.3, 255.8, 0.19490
52, 254.4, 252.0, 0.19480
53, 216.4, 242.4, 0.19470
54, 207.0, 243.6, 0.19460
55, 202.8, 267.7, 0.19450
56, 250.5, 253.1, 0.19440
57, 206.4, 248.6, 0.19430
58, 276.7, 275.7, 0.19420
59, 226.5, 282.6, 0.19410
60, 203.9, 263.1, 0.19400
61, 241.5, 280.8, 0.19390
62, 220.4, 290.8, 0.19380
63, 235.8, 253.0, 0.19370
64, 238.4, 251.6, 0.19360
65, 233.1, 266.3, 0.19350
66, 203.8, 266.6, 0.19340
67, 219.8, 290.4, 0.19330
68, 257.5, 228.0, 0.19320
69, 224.1, 243.0, 0.19310
70, 270.8, 260.4, 0.19300
71, 214.5, 262.7, 0.19290
72, 261.9, 251.0, 0.19280
73, 234.9, 266.7, 0.19270
74, 256.2, 268.7, 0.19260
75, 228.2, 258.7, 0.19250
76, 203.3, 270.8, 0.19240
77, 215.8, 268.2, 0.19230
78, 209.9, 298.8, 0.19220
79, 242.1, 253.8, 0.19210
80, 217.7, 243.7, 0.19200
81, 200.8, 288.0, 0.19190
82, 259.7, 283.4, 0.19180
83, 221.2, 268.7, 0.19170
84, 221.7, 317.8, 0.19160
85, 211.1, 273.7, 0.19150
86, 236.1, 270.3, 0.19140
87, 236.4, 298.7, 0.19130
88, 220.1, 291.2, 0.19120
89, 195.2, 289.7, 0.19110
90, 142.7, 266.4, 0.19100
91, 136.1, 214.3, 0.19090
92, 148.1, 289.1, 0.19080
93, 210.3, 296.0, 0.19070
94, 240.5, 282.3, 0.19060
95, 203.4, 274.2, 0.19050
96, 176.7, 270.5, 0.19040
97, 277.3, 269.0, 0.19030
98, 232.7, 241.6, 0.19020
99, 199.1, 302.3, 0.19010
100, 188.4, 320.0, 0.19000
101, 181.0, 255.2, 0.18990
102, 222.9, 272.7, 0.18980
103, 183.4, 284.4, 0.18970
104, 151.7, 258.3, 0.18960
105, 206.7, 250.3, 0.18950
106, 189.0, 264.8, 0.18940
107, 221.7, 256.6, 0.18930
108, 208.5, 281.3, 0.18920
109, 273.5, 266.1, 0.18910
110, 219.2, 268.2, 0.18900
111, 236.9, 256.1, 0.18890
112, 293.1, 249.7, 0.18880
113, 193.3, 258.2, 0.18870
114, 225.4, 261.6, 0.18860
115, 169.3, 253.2, 0.18850
116, 184.5, 227.6, 0.18840
117, 230.7, 260.2, 0.18830
118, 218.7, 259.9, 0.18820
119, 202.9, 247.6, 0.18810
120, 220.8, 257.1, 0.18800
121, 222.4, 251.8, 0.18790
122, 168.3, 263.1, 0.18780
123, 200.7, 249.6, 0.18770
124, 179.8, 259.7, 0.18760
125, 238.1, 259.8, 0.18750
126, 198.5, 236.9, 0.18740
127, 220.7, 261.8, 0.18730
128, 165.3, 267.6, 0.18720
129, 179.5, 256.4, 0.18710
130, 260.0, 251.8, 0.18700
131, 182.7, 262.9, 0.18690
132, 219.5, 303.6, 0.18680
133, 181.5, 270.1, 0.18670
134, 170.0, 301.8, 0.18660
135, 184.4, 280.6, 0.18650
136, 218.5, 270.6, 0.18640
137, 203.6, 295.1, 0.18630
138, 211.3, 257.8, 0.18620
139, 191.8, 259.4, 0.18610
140, 163.1, 270.9, 0.18600
141, 176.8, 281.0, 0.18590
142, 226.6, 258.8, 0.18580
143, 193.0, 274.9, 0.18570
144, 201.8, 270.6, 0.18560
145, 263.4, 252.4, 0.18550
146, 207.8, 255.7, 0.18540
147, 282.7, 247.1, 0.18530
148, 213.6, 235.0, 0.18520
149, 180.4, 221.4, 0.18510
150, 161.6, 260.1, 0.18500
151, 201.5, 276.1, 0.18490
152, 176.6, 275.8, 0.18480
153, 197.6, 293.1, 0.18470
154, 221.4, 308.9, 0.18460
155, 179.0, 315.6, 0.18450
156, 216.3, 283.1, 0.18440
157, 212.5, 261.7, 0.18430
158, 158.6, 266.0, 0.18420
159, 220.6, 265.8, 0.18410
160, 193.0, 254.5, 0.18400
161, 154.4, 265.8, 0.18390
162, 187.9, 241.7, 0.18380
163, 203.0, 250.1, 0.18370
164, 194.4, 245.1, 0.18360
165, 170.5, 269.7, 0.18350
166, 187.7, 252.9, 0.18340
167, 188.8, 264.0, 0.18330
168, 234.1, 266.3, 0.18320
169, 243.9, 265.7, 0.18310
170, 281.0, 269.4, 0.18300
171, 208.9, 266.0, 0.18290
172, 180.3, 259.3, 0.18280
173, 220.8, 266.5, 0.18270
174, 196.4, 249.8, 0.18260
175, 161.7, 262.3, 0.18250
176, 194.7, 233.7, 0.18240
177, 218.2, 253.3, 0.18230
178, 173.2, 245.5, 0.18220
179, 188.4, 254.5, 0.18210
180, 220.9, 255.3, 0.18200
181, 185.1, 254.4, 0.18190
182, 165.0, 247.3, 0.18180
183, 211.4, 263.7, 0.18170
184, 196.4, 247.1, 0.18160
185, 235.6, 252.4, 0.18150
186, 203.9, 240.4, 0.18140
187, 204.6, 261.6, 0.18130
188, 195.7, 258.4, 0.18120
189, 190.1, 249.8, 0.18110
190, 194.3, 257.7, 0.18100
191, 187.4, 252.4, 0.18090
192, 233.0, 268.4, 0.18080
193, 230.0, 259.7, 0.18070
194, 203.2, 226.4, 0.18060
195, 205.7, 252.2, 0.18050
196, 215.5, 253.5, 0.18040
197, 249.0, 267.4, 0.18030
198, 252.7, 260.8, 0.18020
199, 213.8, 250.6, 0.18010
200, 189.7, 250.7, 0.18000
201, 255.5, 236.9, 0.17990
202, 180.2, 251.0, 0.17980
203, 206.6, 236.3, 0.17970
204, 179.1, 272.6, 0.17960
205, 292.4, 274.4, 0.17950
206, 224.6, 273.8, 0.17940
207, 219.9, 264.3, 0.17930
208, 216.7, 261.4, 0.17920
209, 221.0, 290.8, 0.17910
210, 185.3, 279.7, 0.17900
211, 208.4, 289.2, 0.17890
212, 219.5, 276.5, 0.17880
213, 274.0, 278.8, 0.17870
214, 264.6, 274.9, 0.17860
215, 212.1, 306.2, 0.17850
216, 204.2, 291.2, 0.17840
217, 210.9, 260.9, 0.17830
218, 240.9, 269.9, 0.17820
219, 280.2, 302.8, 0.17810
220, 186.6, 288.5, 0.17800
221, 177.2, 286.1, 0.17790
222, 273.2, 289.6, 0.17780
223, 193.8, 306.1, 0.17770
224, 258.1, 277.6, 0.17760
225, 236.0, 299.9, 0.17750
226, 234.9, 276.8, 0.17740
227, 275.8, 285.0, 0.17730
228, 212.4, 273.6, 0.17720
229, 212.5, 283.7, 0.17710
230, 204.4, 304.9, 0.17700
231, 233.5, 294.6, 0.17690
232, 238.3, 284.3, 0.17680
233, 276.5, 305.1, 0.17670
234, 222.3, 290.2, 0.17660
