# of episode, training score, validation score, sigma
1, 355.2, 220.3, 0.19990
2, 163.5, 146.2, 0.19980
3, 198.7, 144.6, 0.19970
4, 177.8, 145.8, 0.19960
5, 161.4, 146.6, 0.19950
6, 160.2, 163.0, 0.19940
7, 179.5, 153.7, 0.19930
8, 181.3, 183.0, 0.19920
9, 198.7, 196.4, 0.19910
10, 181.6, 184.5, 0.19900
11, 159.8, 195.9, 0.19890
12, 192.0, 212.3, 0.19880
13, 213.0, 202.0, 0.19870
14, 175.0, 161.1, 0.19860
15, 196.2, 219.8, 0.19850
16, 205.8, 222.7, 0.19840
17, 175.0, 209.5, 0.19830
18, 203.3, 209.7, 0.19820
19, 207.2, 218.1, 0.19810
20, 179.1, 203.2, 0.19800
21, 211.2, 199.3, 0.19790
22, 179.0, 205.5, 0.19780
23, 185.1, 207.2, 0.19770
24, 188.9, 213.4, 0.19760
25, 206.9, 204.1, 0.19750
26, 217.0, 200.7, 0.19740
27, 187.5, 224.2, 0.19730
28, 194.0, 193.8, 0.19720
29, 189.9, 190.0, 0.19710
30, 173.6, 206.2, 0.19700
31, 161.6, 220.6, 0.19690
32, 237.9, 211.1, 0.19680
33, 195.1, 237.0, 0.19670
34, 207.3, 228.1, 0.19660
35, 175.5, 230.6, 0.19650
36, 217.2, 210.8, 0.19640
37, 222.3, 209.9, 0.19630
38, 203.5, 206.3, 0.19620
39, 219.2, 232.6, 0.19610
40, 215.6, 226.6, 0.19600
41, 188.0, 226.5, 0.19590
42, 177.6, 259.4, 0.19580
43, 165.2, 261.9, 0.19570
44, 204.8, 232.0, 0.19560
45, 166.8, 238.5, 0.19550
46, 187.2, 275.0, 0.19540
47, 216.0, 246.9, 0.19530
48, 227.1, 281.6, 0.19520
49, 192.7, 254.7, 0.19510
50, 276.6, 241.7, 0.19500
51, 165.0, 256.6, 0.19490
52, 162.6, 245.2, 0.19480
53, 213.3, 267.5, 0.19470
54, 189.4, 263.3, 0.19460
55, 245.6, 257.3, 0.19450
56, 216.2, 266.4, 0.19440
57, 279.6, 267.5, 0.19430
58, 214.9, 305.2, 0.19420
59, 219.5, 251.9, 0.19410
60, 250.8, 276.8, 0.19400
61, 249.1, 307.0, 0.19390
62, 173.8, 284.1, 0.19380
63, 207.0, 267.2, 0.19370
64, 251.1, 295.6, 0.19360
65, 241.0, 271.8, 0.19350
66, 196.8, 237.8, 0.19340
67, 234.5, 263.8, 0.19330
68, 200.2, 255.2, 0.19320
69, 237.3, 266.1, 0.19310
70, 179.9, 283.8, 0.19300
71, 257.5, 295.5, 0.19290
72, 235.2, 277.9, 0.19280
73, 262.3, 235.4, 0.19270
74, 226.4, 242.3, 0.19260
75, 213.7, 234.0, 0.19250
76, 236.1, 263.6, 0.19240
77, 240.2, 234.6, 0.19230
78, 231.0, 240.3, 0.19220
79, 257.7, 226.3, 0.19210
80, 184.3, 248.3, 0.19200
81, 149.0, 233.4, 0.19190
82, 157.1, 250.9, 0.19180
83, 218.4, 231.7, 0.19170
84, 221.9, 246.3, 0.19160
85, 270.4, 223.2, 0.19150
86, 211.0, 244.9, 0.19140
87, 211.8, 220.3, 0.19130
88, 175.4, 218.2, 0.19120
89, 173.4, 236.2, 0.19110
90, 182.8, 222.6, 0.19100
