# of episode, training score, validation score, sigma
1, 353.9, 175.5, 0.20000
2, 156.4, 218.1, 0.19802
3, 213.8, 216.4, 0.19606
4, 165.5, 217.6, 0.19412
5, 151.9, 186.6, 0.19220
6, 177.0, 168.8, 0.19029
7, 176.9, 161.4, 0.18841
8, 179.0, 212.7, 0.18654
9, 150.5, 232.8, 0.18470
10, 176.5, 187.4, 0.18287
11, 176.4, 202.8, 0.18106
12, 174.6, 217.9, 0.17926
13, 173.7, 212.5, 0.17749
14, 167.2, 209.5, 0.17573
15, 224.1, 213.7, 0.17399
16, 191.1, 212.1, 0.17227
17, 203.7, 234.6, 0.17056
18, 169.7, 216.4, 0.16888
19, 185.2, 240.7, 0.16720
20, 187.3, 224.6, 0.16555
21, 196.7, 213.3, 0.16391
22, 150.3, 224.7, 0.16229
23, 189.7, 232.6, 0.16068
24, 161.5, 247.5, 0.15909
25, 219.1, 258.9, 0.15751
26, 187.8, 229.5, 0.15595
27, 201.0, 242.7, 0.15441
28, 193.2, 197.9, 0.15288
29, 197.6, 216.1, 0.15137
30, 253.4, 246.5, 0.14987
31, 101.9, 236.8, 0.14838
32, 190.8, 266.4, 0.14692
33, 169.7, 268.7, 0.14546
34, 230.5, 268.1, 0.14402
35, 165.9, 286.7, 0.14259
36, 168.6, 261.4, 0.14118
37, 217.5, 253.0, 0.13978
38, 180.3, 269.7, 0.13840
39, 204.7, 252.9, 0.13703
40, 237.6, 248.9, 0.13567
41, 196.2, 245.4, 0.13433
42, 234.7, 310.9, 0.13300
43, 207.6, 271.1, 0.13168
44, 201.3, 273.0, 0.13038
45, 211.3, 281.0, 0.12909
46, 190.3, 290.3, 0.12781
47, 191.5, 273.1, 0.12655
48, 163.7, 286.5, 0.12529
49, 234.8, 266.7, 0.12405
50, 248.8, 224.7, 0.12282
51, 198.0, 255.3, 0.12161
52, 177.5, 252.8, 0.12040
53, 235.0, 272.4, 0.11921
54, 123.1, 238.6, 0.11803
55, 190.1, 236.5, 0.11686
56, 212.8, 264.7, 0.11571
57, 250.0, 271.4, 0.11456
58, 226.6, 279.2, 0.11343
59, 211.3, 237.9, 0.11230
60, 152.8, 232.0, 0.11119
61, 176.5, 231.3, 0.11009
62, 213.9, 230.1, 0.10900
63, 277.8, 220.2, 0.10792
64, 194.4, 215.4, 0.10685
65, 257.9, 233.1, 0.10579
66, 206.2, 243.8, 0.10475
67, 173.5, 229.0, 0.10371
68, 211.7, 247.6, 0.10268
69, 266.0, 242.0, 0.10167
70, 235.9, 284.2, 0.10066
71, 235.7, 255.4, 0.09966
72, 215.1, 245.5, 0.09868
73, 251.9, 259.1, 0.09770
74, 171.6, 247.1, 0.09673
75, 199.6, 245.3, 0.09577
76, 189.6, 238.5, 0.09483
77, 189.6, 266.0, 0.09389
78, 208.5, 271.2, 0.09296
79, 215.1, 265.8, 0.09204
80, 201.3, 277.2, 0.09113
81, 267.1, 281.0, 0.09022
82, 212.6, 252.0, 0.08933
83, 199.3, 262.6, 0.08845
84, 232.4, 258.7, 0.08757
