# of episode, training score, validation score, sigma
1, 410.6, 207.1, 0.20000
2, 161.6, 200.8, 0.19802
3, 199.8, 195.7, 0.19606
4, 175.0, 214.7, 0.19412
5, 177.5, 208.0, 0.19220
6, 187.0, 201.8, 0.19029
7, 195.7, 226.7, 0.18841
8, 150.3, 218.1, 0.18654
9, 151.5, 231.1, 0.18470
10, 146.4, 216.1, 0.18287
11, 165.2, 232.4, 0.18106
12, 177.5, 229.4, 0.17926
13, 152.9, 277.9, 0.17749
14, 155.7, 245.1, 0.17573
15, 157.1, 176.7, 0.17399
16, 214.6, 208.5, 0.17227
17, 80.5, 223.3, 0.17056
18, 188.9, 202.9, 0.16888
19, 141.8, 213.9, 0.16720
20, 171.1, 231.4, 0.16555
21, 215.0, 226.5, 0.16391
22, 190.5, 234.8, 0.16229
23, 173.3, 208.3, 0.16068
24, 255.3, 240.2, 0.15909
25, 185.2, 214.1, 0.15751
26, 189.7, 211.8, 0.15595
27, 175.3, 211.2, 0.15441
28, 239.6, 232.9, 0.15288
29, 187.4, 216.5, 0.15137
30, 222.5, 218.4, 0.14987
31, 131.9, 180.3, 0.14838
32, 193.8, 207.8, 0.14692
33, 176.6, 235.4, 0.14546
34, 155.6, 233.3, 0.14402
35, 206.3, 249.5, 0.14259
36, 236.5, 225.9, 0.14118
37, 199.5, 257.9, 0.13978
38, 168.9, 269.0, 0.13840
39, 215.2, 263.6, 0.13703
40, 206.1, 242.9, 0.13567
41, 198.4, 235.7, 0.13433
42, 217.0, 258.9, 0.13300
43, 161.5, 264.3, 0.13168
44, 257.7, 232.1, 0.13038
45, 189.9, 237.0, 0.12909
46, 155.0, 274.4, 0.12781
47, 220.9, 235.4, 0.12655
48, 174.0, 272.5, 0.12529
49, 213.9, 246.5, 0.12405
50, 105.8, 237.5, 0.12282
51, 160.3, 242.5, 0.12161
52, 188.0, 216.8, 0.12040
53, 141.2, 207.0, 0.11921
54, 207.1, 203.7, 0.11803
55, 196.3, 209.6, 0.11686
56, 192.5, 211.8, 0.11571
57, 255.8, 182.5, 0.11456
58, 195.7, 245.8, 0.11343
59, 214.2, 218.3, 0.11230
60, 192.4, 226.0, 0.11119
61, 192.8, 219.3, 0.11009
62, 209.7, 246.3, 0.10900
63, 178.1, 248.2, 0.10792
64, 224.3, 218.0, 0.10685
65, 192.8, 196.8, 0.10579
66, 151.3, 236.7, 0.10475
67, 219.6, 230.2, 0.10371
68, 206.3, 242.0, 0.10268
69, 229.6, 224.8, 0.10167
70, 229.4, 229.2, 0.10066
71, 192.5, 263.7, 0.09966
72, 256.5, 246.4, 0.09868
73, 208.2, 259.6, 0.09770
74, 212.6, 249.9, 0.09673
75, 337.7, 216.8, 0.09577
76, 188.5, 249.9, 0.09483
77, 277.2, 287.6, 0.09389
78, 262.2, 229.5, 0.09296
79, 182.9, 284.9, 0.09204
80, 276.9, 260.2, 0.09113
81, 256.7, 343.7, 0.09022
82, 259.7, 265.6, 0.08933
83, 216.3, 295.9, 0.08845
84, 342.2, 319.3, 0.08757
85, 257.6, 314.5, 0.08670
86, 376.9, 329.0, 0.08584
87, 247.6, 315.4, 0.08499
88, 302.6, 294.8, 0.08415
89, 311.5, 287.7, 0.08332
90, 241.3, 270.2, 0.08250
91, 282.1, 247.5, 0.08168
92, 206.1, 235.1, 0.08087
93, 216.6, 225.9, 0.08007
94, 226.8, 233.3, 0.07928
95, 216.7, 243.8, 0.07849
96, 307.9, 231.7, 0.07771
97, 259.8, 240.7, 0.07694
98, 245.6, 245.8, 0.07618
99, 323.8, 300.7, 0.07543
100, 258.2, 278.6, 0.07468
101, 503.5, 294.4, 0.07394
102, 244.2, 265.1, 0.07321
103, 287.7, 277.9, 0.07249
104, 250.5, 306.8, 0.07177
105, 265.6, 258.7, 0.07106
106, 229.4, 276.3, 0.07035
107, 278.0, 278.8, 0.06966
108, 321.0, 234.0, 0.06897
109, 182.7, 230.6, 0.06828
110, 181.2, 243.8, 0.06761
111, 224.4, 222.2, 0.06694
112, 201.4, 268.6, 0.06628
113, 220.8, 291.0, 0.06562
114, 294.8, 257.7, 0.06497
115, 238.9, 275.4, 0.06433
116, 292.8, 278.6, 0.06369
117, 234.4, 251.3, 0.06306
118, 312.5, 234.5, 0.06244
119, 200.9, 250.8, 0.06182
120, 253.2, 233.6, 0.06120
121, 268.6, 252.2, 0.06060
