# of episode, training score, validation score, sigma
1, 376.5, 207.9, 0.10000
2, 193.2, 169.9, 0.10000
3, 159.9, 154.3, 0.10000
4, 147.1, 149.7, 0.10000
5, 152.2, 222.3, 0.10000
6, 202.4, 252.2, 0.10000
7, 228.1, 221.4, 0.10000
8, 190.8, 204.0, 0.10000
9, 262.6, 226.4, 0.10000
10, 318.7, 248.1, 0.10000
11, 307.1, 211.3, 0.10000
12, 216.5, 233.6, 0.10000
13, 276.6, 245.2, 0.10000
14, 259.7, 214.7, 0.10000
15, 250.0, 222.5, 0.10000
16, 257.1, 236.9, 0.10000
17, 227.7, 234.7, 0.10000
18, 258.9, 259.8, 0.10000
19, 285.3, 261.5, 0.10000
20, 269.6, 280.1, 0.10000
21, 210.8, 275.6, 0.10000
22, 269.0, 267.8, 0.10000
23, 251.6, 264.1, 0.10000
24, 285.4, 255.9, 0.10000
25, 289.0, 231.1, 0.10000
26, 226.9, 223.1, 0.10000
27, 225.2, 249.7, 0.10000
28, 245.2, 257.0, 0.10000
29, 221.6, 266.9, 0.10000
30, 275.3, 274.5, 0.10000
31, 301.6, 283.2, 0.10000
32, 247.4, 257.4, 0.10000
33, 214.6, 275.1, 0.10000
34, 241.6, 272.2, 0.10000
35, 280.5, 232.9, 0.10000
36, 173.0, 262.3, 0.10000
37, 276.0, 244.1, 0.10000
38, 285.8, 242.3, 0.10000
39, 260.0, 272.9, 0.10000
40, 316.4, 248.4, 0.10000
41, 246.3, 256.1, 0.10000
42, 229.0, 275.2, 0.10000
43, 236.2, 294.8, 0.10000
44, 267.9, 312.1, 0.10000
45, 276.2, 261.9, 0.10000
46, 291.7, 234.8, 0.10000
47, 275.3, 256.2, 0.10000
48, 283.4, 260.8, 0.10000
49, 250.8, 291.1, 0.10000
50, 288.6, 277.5, 0.10000
51, 229.3, 278.8, 0.10000
52, 250.6, 276.1, 0.10000
53, 235.8, 279.9, 0.10000
54, 261.7, 281.3, 0.10000
55, 332.6, 309.4, 0.10000
56, 287.3, 256.5, 0.10000
57, 337.1, 274.4, 0.10000
58, 242.6, 283.7, 0.10000
59, 291.7, 274.5, 0.10000
60, 189.0, 296.5, 0.10000
61, 385.8, 338.4, 0.10000
62, 340.4, 346.1, 0.10000
63, 322.5, 372.9, 0.10000
64, 356.9, 316.5, 0.10000
65, 315.2, 329.7, 0.10000
66, 346.8, 329.5, 0.10000
67, 347.2, 302.0, 0.10000
68, 287.7, 294.1, 0.10000
69, 260.3, 285.8, 0.10000
70, 246.9, 284.2, 0.10000
71, 316.8, 293.1, 0.10000
72, 304.7, 320.4, 0.10000
73, 286.6, 365.0, 0.10000
74, 323.8, 314.9, 0.10000
75, 308.0, 287.2, 0.10000
76, 330.7, 273.4, 0.10000
77, 307.6, 315.7, 0.10000
78, 358.3, 289.9, 0.10000
79, 301.4, 318.1, 0.10000
80, 304.6, 279.6, 0.10000
81, 333.8, 314.1, 0.10000
82, 387.6, 278.9, 0.10000
83, 369.7, 302.8, 0.10000
84, 323.8, 319.0, 0.10000
85, 334.4, 294.1, 0.10000
86, 278.4, 318.7, 0.10000
87, 308.7, 319.6, 0.10000
88, 322.8, 291.6, 0.10000
89, 278.0, 310.3, 0.10000
90, 315.8, 307.6, 0.10000
91, 333.8, 318.4, 0.10000
92, 233.9, 284.5, 0.10000
93, 381.9, 339.7, 0.10000
94, 322.8, 275.4, 0.10000
95, 286.4, 293.4, 0.10000
96, 350.0, 310.7, 0.10000
97, 291.2, 335.4, 0.10000
98, 362.2, 354.4, 0.10000
99, 305.5, 291.8, 0.10000
100, 282.2, 296.1, 0.10000
101, 296.1, 330.3, 0.10000
102, 294.2, 310.4, 0.10000
103, 261.7, 322.0, 0.10000
104, 353.0, 320.3, 0.10000
105, 319.3, 266.7, 0.10000
106, 360.2, 347.3, 0.10000
