# of episode, training score, validation score, sigma
1, 405.2, 187.7, 0.10000
2, 175.5, 146.8, 0.10000
3, 160.9, 154.4, 0.10000
4, 162.2, 161.6, 0.10000
5, 195.3, 183.2, 0.10000
6, 194.9, 198.3, 0.10000
7, 202.6, 155.7, 0.10000
8, 201.8, 201.8, 0.10000
9, 203.9, 190.2, 0.10000
10, 199.6, 218.9, 0.10000
11, 213.7, 213.0, 0.10000
12, 233.4, 210.0, 0.10000
13, 240.3, 210.2, 0.10000
14, 204.8, 247.6, 0.10000
15, 245.3, 244.8, 0.10000
16, 214.9, 237.6, 0.10000
17, 205.2, 225.9, 0.10000
18, 215.1, 228.3, 0.10000
19, 218.4, 213.6, 0.10000
20, 198.3, 241.7, 0.10000
21, 234.7, 223.2, 0.10000
22, 242.0, 211.2, 0.10000
23, 231.7, 243.3, 0.10000
24, 242.0, 219.3, 0.10000
25, 247.3, 216.5, 0.10000
26, 179.0, 223.1, 0.10000
27, 254.4, 229.2, 0.10000
28, 239.9, 238.2, 0.10000
29, 238.6, 242.0, 0.10000
30, 273.2, 249.3, 0.10000
31, 241.7, 262.5, 0.10000
32, 276.1, 257.2, 0.10000
33, 227.9, 225.8, 0.10000
34, 285.2, 265.9, 0.10000
35, 318.8, 239.7, 0.10000
36, 284.9, 282.3, 0.10000
37, 165.9, 270.1, 0.10000
38, 329.2, 244.3, 0.10000
39, 254.9, 225.3, 0.10000
40, 238.8, 253.3, 0.10000
41, 239.6, 246.6, 0.10000
42, 280.0, 285.7, 0.10000
43, 278.9, 287.8, 0.10000
44, 291.1, 286.7, 0.10000
45, 250.6, 266.1, 0.10000
46, 311.5, 291.6, 0.10000
47, 256.8, 261.8, 0.10000
48, 256.1, 260.9, 0.10000
49, 250.7, 276.1, 0.10000
50, 235.7, 275.9, 0.10000
51, 257.8, 287.4, 0.10000
52, 251.1, 292.9, 0.10000
53, 239.1, 242.0, 0.10000
54, 276.6, 251.9, 0.10000
55, 234.6, 273.0, 0.10000
56, 269.5, 255.9, 0.10000
57, 230.2, 263.6, 0.10000
58, 329.0, 266.9, 0.10000
59, 242.2, 250.5, 0.10000
60, 213.4, 266.6, 0.10000
61, 213.4, 235.9, 0.10000
62, 235.6, 209.7, 0.10000
63, 248.9, 254.7, 0.10000
64, 296.5, 229.0, 0.10000
65, 247.5, 255.3, 0.10000
66, 225.4, 211.7, 0.10000
67, 297.2, 188.6, 0.10000
68, 228.0, 231.5, 0.10000
69, 209.5, 230.2, 0.10000
70, 166.1, 220.4, 0.10000
71, 181.6, 223.3, 0.10000
72, 257.0, 232.8, 0.10000
73, 232.0, 232.0, 0.10000
74, 239.5, 246.8, 0.10000
75, 295.6, 238.2, 0.10000
76, 199.5, 218.6, 0.10000
77, 195.6, 235.3, 0.10000
78, 254.1, 217.7, 0.10000
79, 182.6, 216.5, 0.10000
80, 237.7, 244.1, 0.10000
81, 190.5, 222.9, 0.10000
82, 252.5, 266.0, 0.10000
83, 329.4, 243.1, 0.10000
84, 287.3, 228.4, 0.10000
85, 198.9, 188.7, 0.10000
86, 202.6, 209.5, 0.10000
87, 180.7, 190.3, 0.10000
88, 244.6, 197.9, 0.10000
89, 169.5, 247.8, 0.10000
90, 228.0, 206.8, 0.10000
91, 286.3, 215.1, 0.10000
92, 299.3, 282.7, 0.10000
93, 188.3, 259.0, 0.10000
94, 303.7, 259.4, 0.10000
95, 253.7, 258.2, 0.10000
96, 247.1, 242.0, 0.10000
97, 265.3, 242.9, 0.10000
98, 204.5, 231.2, 0.10000
99, 259.0, 229.8, 0.10000
100, 248.5, 234.9, 0.10000
101, 222.4, 201.2, 0.10000
102, 235.9, 203.6, 0.10000
103, 204.1, 205.6, 0.10000
104, 182.5, 228.9, 0.10000
105, 216.0, 219.9, 0.10000
106, 202.9, 188.3, 0.10000
107, 180.9, 236.2, 0.10000
108, 319.9, 209.5, 0.10000
109, 184.0, 215.1, 0.10000
110, 262.7, 221.9, 0.10000
111, 221.9, 224.9, 0.10000
112, 217.3, 185.8, 0.10000
113, 271.4, 214.8, 0.10000
114, 230.1, 242.1, 0.10000
115, 226.6, 275.9, 0.10000
116, 268.4, 239.5, 0.10000
117, 247.2, 288.6, 0.10000
118, 271.8, 201.9, 0.10000
119, 256.0, 278.3, 0.10000
120, 329.4, 299.9, 0.10000
121, 270.8, 304.8, 0.10000
122, 256.6, 299.4, 0.10000
