# of episode, training score, validation score, sigma
1, 308.8, 197.7, 0.20000
2, 156.2, 172.5, 0.19802
3, 229.8, 155.0, 0.19606
4, 143.8, 164.1, 0.19412
5, 177.5, 177.9, 0.19220
6, 177.1, 180.8, 0.19029
7, 180.5, 230.0, 0.18841
8, 156.4, 195.3, 0.18654
9, 119.5, 246.2, 0.18470
10, 152.4, 247.5, 0.18287
11, 146.6, 231.0, 0.18106
12, 192.7, 237.7, 0.17926
13, 166.4, 217.8, 0.17749
14, 161.4, 205.6, 0.17573
15, 118.2, 249.1, 0.17399
16, 188.2, 218.0, 0.17227
17, 155.7, 206.1, 0.17056
18, 155.8, 243.2, 0.16888
19, 188.9, 227.9, 0.16720
20, 154.4, 183.9, 0.16555
21, 215.6, 195.3, 0.16391
22, 212.3, 204.0, 0.16229
23, 154.0, 227.8, 0.16068
24, 171.7, 229.7, 0.15909
25, 190.5, 222.4, 0.15751
26, 197.2, 219.4, 0.15595
27, 213.3, 239.8, 0.15441
28, 188.8, 243.9, 0.15288
29, 164.2, 258.8, 0.15137
30, 161.5, 233.1, 0.14987
31, 163.8, 266.5, 0.14838
32, 215.0, 228.9, 0.14692
33, 151.0, 216.4, 0.14546
34, 208.7, 185.5, 0.14402
35, 239.2, 192.0, 0.14259
36, 169.6, 222.1, 0.14118
37, 213.8, 235.5, 0.13978
38, 219.4, 200.1, 0.13840
39, 215.3, 228.2, 0.13703
40, 131.0, 223.0, 0.13567
41, 262.0, 216.9, 0.13433
42, 215.7, 211.2, 0.13300
43, 183.7, 197.2, 0.13168
44, 162.4, 212.8, 0.13038
45, 235.0, 202.0, 0.12909
46, 168.0, 241.3, 0.12781
47, 240.3, 270.8, 0.12655
48, 188.9, 266.8, 0.12529
49, 213.0, 262.9, 0.12405
50, 228.1, 245.3, 0.12282
51, 259.1, 244.1, 0.12161
52, 226.2, 234.7, 0.12040
53, 277.0, 227.7, 0.11921
54, 270.8, 214.0, 0.11803
55, 196.2, 242.0, 0.11686
56, 253.4, 221.1, 0.11571
57, 231.6, 197.4, 0.11456
58, 155.9, 175.3, 0.11343
59, 234.8, 194.9, 0.11230
60, 177.1, 208.2, 0.11119
61, 154.5, 161.8, 0.11009
62, 176.2, 193.6, 0.10900
63, 169.9, 194.4, 0.10792
64, 161.0, 176.1, 0.10685
65, 223.4, 184.5, 0.10579
66, 221.9, 191.1, 0.10475
67, 176.0, 198.9, 0.10371
68, 200.2, 192.8, 0.10268
69, 176.9, 188.7, 0.10167
70, 180.0, 197.2, 0.10066
71, 154.2, 200.5, 0.09966
72, 163.7, 204.0, 0.09868
73, 270.6, 208.8, 0.09770
74, 147.0, 210.2, 0.09673
75, 207.0, 217.8, 0.09577
76, 209.6, 224.4, 0.09483
77, 208.8, 178.5, 0.09389
78, 185.9, 205.1, 0.09296
79, 211.4, 151.2, 0.09204
80, 244.2, 173.0, 0.09113
81, 196.2, 190.8, 0.09022
82, 193.1, 171.3, 0.08933
83, 179.5, 199.0, 0.08845
84, 176.5, 194.4, 0.08757
85, 259.2, 184.6, 0.08670
86, 182.9, 209.3, 0.08584
87, 166.9, 188.7, 0.08499
88, 185.3, 213.5, 0.08415
89, 194.0, 209.9, 0.08332
90, 211.6, 221.9, 0.08250
91, 271.3, 219.1, 0.08168
92, 223.3, 215.9, 0.08087
93, 207.9, 227.4, 0.08007
94, 183.5, 218.6, 0.07928
95, 187.7, 205.5, 0.07849
96, 178.3, 217.1, 0.07771
97, 194.4, 210.5, 0.07694
98, 181.2, 241.4, 0.07618
99, 237.3, 219.3, 0.07543
100, 190.3, 209.9, 0.07468
101, 194.1, 227.7, 0.07394
102, 217.7, 242.7, 0.07321
103, 249.0, 234.3, 0.07249
104, 196.7, 241.7, 0.07177
105, 192.7, 219.2, 0.07106
106, 175.8, 223.6, 0.07035
107, 177.8, 206.9, 0.06966
108, 261.6, 207.3, 0.06897
109, 184.5, 203.2, 0.06828
110, 215.2, 224.2, 0.06761
111, 237.5, 238.5, 0.06694
112, 214.9, 241.0, 0.06628
113, 242.1, 269.3, 0.06562
114, 124.5, 247.2, 0.06497
115, 214.4, 247.8, 0.06433
116, 228.9, 237.0, 0.06369
117, 267.7, 241.8, 0.06306
118, 236.3, 256.2, 0.06244
119, 226.6, 273.4, 0.06182
120, 204.9, 228.8, 0.06120
121, 143.2, 309.5, 0.06060
122, 288.8, 270.8, 0.06000
123, 220.4, 276.1, 0.05940
124, 207.9, 223.3, 0.05882
125, 307.4, 242.3, 0.05823
126, 321.4, 262.2, 0.05766
127, 255.0, 229.9, 0.05709
128, 196.4, 262.4, 0.05652
129, 261.2, 250.3, 0.05596
130, 195.2, 214.1, 0.05541
131, 229.8, 249.5, 0.05486
132, 202.6, 245.2, 0.05432
133, 273.8, 256.1, 0.05378
134, 262.0, 268.0, 0.05325
135, 266.4, 325.2, 0.05272
136, 255.3, 306.7, 0.05220
137, 239.5, 296.7, 0.05168
138, 225.1, 300.7, 0.05117
139, 261.6, 277.9, 0.05066
140, 223.3, 244.7, 0.05016
141, 296.7, 285.5, 0.04966
142, 256.8, 245.6, 0.04917
143, 274.7, 237.6, 0.04868
144, 341.1, 229.8, 0.04820
145, 273.4, 295.0, 0.04773
146, 224.9, 271.8, 0.04725
147, 260.9, 267.5, 0.04679
148, 421.1, 248.6, 0.04632
149, 259.6, 298.0, 0.04586
150, 391.2, 324.7, 0.04541
151, 288.9, 316.8, 0.04496
152, 294.8, 301.6, 0.04451
153, 282.9, 254.3, 0.04407
154, 236.6, 250.4, 0.04364
155, 245.9, 224.9, 0.04321
156, 188.6, 241.3, 0.04278
157, 266.0, 264.1, 0.04235
158, 301.5, 273.4, 0.04193
159, 285.3, 295.0, 0.04152
160, 326.2, 278.2, 0.04111
161, 240.6, 280.2, 0.04070
162, 307.0, 312.6, 0.04030
163, 258.6, 316.4, 0.03990
164, 285.7, 271.3, 0.03950
165, 230.5, 264.2, 0.03911
166, 524.9, 285.3, 0.03873
167, 256.7, 257.2, 0.03834
168, 208.8, 262.8, 0.03796
169, 446.7, 309.2, 0.03759
170, 220.6, 265.4, 0.03721
171, 224.3, 298.5, 0.03685
172, 185.2, 264.4, 0.03648
173, 281.0, 264.6, 0.03612
174, 288.1, 230.6, 0.03576
175, 177.5, 217.6, 0.03541
176, 144.4, 250.3, 0.03506
177, 188.5, 229.6, 0.03471
178, 251.8, 341.6, 0.03437
179, 201.6, 270.8, 0.03403
180, 227.3, 316.1, 0.03369
181, 314.2, 324.1, 0.03336
182, 327.3, 313.3, 0.03303
183, 317.9, 320.6, 0.03270
184, 351.5, 369.6, 0.03238
185, 372.0, 344.9, 0.03206
186, 263.6, 335.8, 0.03174
187, 363.0, 314.7, 0.03142
