# of episode, training score, validation score, sigma
1, 450.7, 194.2, 0.19990
2, 247.8, 178.0, 0.19980
3, 235.5, 188.4, 0.19970
4, 186.5, 182.8, 0.19960
5, 176.3, 181.6, 0.19950
6, 211.3, 215.6, 0.19940
7, 211.3, 218.7, 0.19930
8, 167.1, 205.0, 0.19920
9, 232.0, 220.3, 0.19910
10, 213.6, 216.0, 0.19900
11, 164.2, 223.5, 0.19890
12, 180.9, 226.3, 0.19880
13, 184.2, 222.7, 0.19870
14, 251.5, 234.4, 0.19860
15, 218.1, 220.2, 0.19850
16, 239.9, 229.3, 0.19840
17, 244.9, 209.9, 0.19830
18, 223.3, 217.3, 0.19820
19, 261.8, 210.1, 0.19810
20, 235.1, 234.3, 0.19800
21, 199.6, 238.2, 0.19790
22, 192.5, 227.8, 0.19780
23, 205.9, 234.2, 0.19770
24, 232.1, 227.9, 0.19760
25, 218.3, 225.4, 0.19750
26, 249.5, 220.7, 0.19740
27, 203.9, 215.9, 0.19730
28, 200.3, 211.1, 0.19720
29, 165.9, 240.9, 0.19710
30, 270.9, 222.4, 0.19700
31, 205.1, 236.8, 0.19690
32, 237.0, 247.0, 0.19680
33, 224.8, 246.5, 0.19670
34, 226.7, 235.9, 0.19660
35, 218.4, 251.0, 0.19650
36, 237.0, 261.1, 0.19640
37, 197.4, 221.6, 0.19630
38, 229.9, 257.8, 0.19620
39, 211.4, 249.5, 0.19610
40, 186.9, 266.3, 0.19600
41, 267.7, 262.9, 0.19590
42, 195.0, 255.2, 0.19580
43, 232.7, 256.6, 0.19570
44, 223.3, 249.8, 0.19560
45, 254.6, 257.5, 0.19550
46, 243.4, 244.1, 0.19540
47, 189.5, 231.5, 0.19530
48, 216.1, 231.4, 0.19520
49, 225.8, 241.1, 0.19510
50, 201.5, 222.7, 0.19500
51, 214.6, 227.1, 0.19490
52, 211.0, 254.4, 0.19480
53, 157.5, 242.3, 0.19470
54, 190.2, 249.9, 0.19460
55, 245.0, 217.7, 0.19450
56, 238.8, 227.0, 0.19440
57, 287.6, 216.0, 0.19430
58, 201.8, 253.0, 0.19420
59, 183.3, 221.4, 0.19410
60, 167.9, 207.9, 0.19400
61, 203.6, 209.4, 0.19390
62, 241.3, 218.5, 0.19380
63, 279.0, 198.9, 0.19370
64, 225.7, 203.8, 0.19360
65, 159.3, 246.3, 0.19350
66, 224.1, 190.7, 0.19340
67, 269.3, 220.3, 0.19330
68, 230.9, 217.6, 0.19320
69, 187.3, 188.0, 0.19310
70, 166.4, 185.8, 0.19300
71, 167.2, 211.4, 0.19290
72, 165.7, 225.9, 0.19280
73, 181.7, 203.5, 0.19270
74, 141.5, 231.3, 0.19260
75, 202.9, 221.1, 0.19250
76, 191.0, 226.2, 0.19240
77, 181.5, 217.5, 0.19230
78, 119.0, 178.3, 0.19220
79, 192.6, 186.6, 0.19210
80, 139.2, 203.5, 0.19200
81, 155.0, 221.6, 0.19190
82, 180.6, 210.7, 0.19180
83, 164.1, 207.8, 0.19170
84, 198.8, 240.4, 0.19160
85, 223.7, 231.5, 0.19150
86, 191.7, 210.4, 0.19140
87, 218.5, 258.2, 0.19130
88, 222.0, 250.8, 0.19120
89, 213.8, 229.2, 0.19110
90, 195.4, 233.7, 0.19100
91, 215.8, 204.4, 0.19090
92, 221.6, 220.1, 0.19080
93, 230.0, 236.4, 0.19070
94, 216.7, 244.4, 0.19060
95, 206.4, 254.5, 0.19050
96, 209.2, 264.9, 0.19040
97, 222.7, 234.4, 0.19030
98, 194.9, 239.2, 0.19020
99, 165.0, 238.1, 0.19010
100, 207.3, 248.6, 0.19000
101, 172.3, 243.2, 0.18990
102, 216.2, 230.4, 0.18980
103, 214.6, 234.3, 0.18970
104, 255.6, 257.6, 0.18960
105, 220.3, 263.3, 0.18950
106, 234.7, 254.5, 0.18940
107, 217.9, 251.1, 0.18930
108, 163.9, 240.3, 0.18920
109, 179.6, 237.0, 0.18910
110, 189.1, 234.7, 0.18900
111, 220.9, 225.6, 0.18890
112, 213.6, 216.8, 0.18880
113, 227.9, 226.3, 0.18870
114, 228.8, 227.5, 0.18860
115, 212.8, 224.5, 0.18850
116, 195.7, 237.0, 0.18840
117, 252.0, 227.6, 0.18830
118, 209.7, 243.6, 0.18820
119, 201.4, 232.2, 0.18810
120, 166.0, 265.4, 0.18800
121, 260.0, 219.2, 0.18790
122, 259.7, 240.5, 0.18780
123, 227.1, 222.6, 0.18770
124, 196.9, 233.1, 0.18760
125, 196.9, 217.1, 0.18750
126, 238.5, 241.3, 0.18740
127, 186.3, 221.8, 0.18730
128, 249.1, 202.5, 0.18720
129, 181.6, 229.8, 0.18710
130, 247.9, 202.4, 0.18700
131, 277.1, 218.5, 0.18690
132, 167.0, 239.4, 0.18680
133, 193.1, 227.1, 0.18670
134, 197.3, 197.6, 0.18660
135, 182.2, 254.2, 0.18650
136, 188.2, 241.3, 0.18640
137, 216.7, 224.7, 0.18630
138, 223.8, 242.4, 0.18620
139, 225.2, 246.6, 0.18610
140, 173.3, 227.1, 0.18600
141, 188.8, 257.3, 0.18590
142, 156.6, 233.3, 0.18580
143, 191.4, 238.5, 0.18570
144, 208.0, 235.4, 0.18560
145, 262.2, 212.7, 0.18550
146, 223.0, 238.1, 0.18540
147, 171.8, 251.4, 0.18530
148, 200.7, 248.9, 0.18520
149, 198.7, 255.4, 0.18510
150, 173.9, 215.9, 0.18500
151, 221.1, 224.5, 0.18490
152, 234.0, 243.3, 0.18480
153, 183.2, 222.5, 0.18470
154, 310.8, 241.5, 0.18460
155, 171.7, 260.1, 0.18450
156, 191.8, 246.5, 0.18440
157, 243.2, 271.4, 0.18430
158, 207.2, 234.6, 0.18420
159, 149.3, 257.5, 0.18410
160, 265.7, 266.6, 0.18400
161, 294.6, 256.6, 0.18390
162, 182.2, 256.9, 0.18380
163, 207.8, 278.3, 0.18370
164, 171.9, 274.3, 0.18360
165, 228.1, 281.5, 0.18350
166, 249.2, 288.4, 0.18340
167, 218.1, 271.6, 0.18330
168, 251.3, 259.3, 0.18320
169, 241.6, 256.3, 0.18310
170, 252.1, 290.0, 0.18300
171, 248.6, 240.7, 0.18290
172, 213.2, 232.7, 0.18280
173, 222.9, 249.4, 0.18270
174, 146.3, 238.8, 0.18260
175, 213.4, 247.7, 0.18250
176, 209.4, 254.9, 0.18240
177, 256.8, 248.6, 0.18230
178, 216.3, 249.2, 0.18220
179, 187.7, 234.2, 0.18210
180, 180.6, 245.4, 0.18200
181, 197.3, 237.9, 0.18190
182, 147.1, 242.6, 0.18180
183, 181.6, 222.0, 0.18170
184, 181.6, 208.6, 0.18160
185, 161.6, 211.1, 0.18150
186, 176.6, 207.8, 0.18140
187, 198.9, 287.2, 0.18130
188, 210.2, 258.6, 0.18120
189, 163.7, 209.4, 0.18110
190, 200.8, 281.1, 0.18100
191, 183.2, 283.0, 0.18090
192, 209.3, 308.4, 0.18080
193, 211.5, 295.8, 0.18070
194, 142.4, 270.0, 0.18060
195, 258.5, 298.6, 0.18050
196, 193.1, 248.3, 0.18040
197, 207.3, 275.8, 0.18030
198, 184.9, 305.9, 0.18020
199, 215.1, 225.4, 0.18010
200, 179.9, 273.9, 0.18000
201, 182.7, 271.3, 0.17990
202, 167.7, 257.6, 0.17980
203, 230.7, 240.0, 0.17970
204, 275.9, 273.3, 0.17960
205, 183.7, 256.5, 0.17950
206, 194.1, 273.0, 0.17940
207, 226.6, 257.0, 0.17930
208, 221.9, 248.7, 0.17920
209, 199.1, 239.0, 0.17910
210, 204.2, 232.1, 0.17900
211, 144.8, 270.6, 0.17890
212, 218.3, 273.4, 0.17880
213, 161.5, 254.5, 0.17870
214, 216.8, 284.3, 0.17860
215, 223.2, 248.0, 0.17850
216, 244.7, 258.9, 0.17840
217, 162.6, 258.8, 0.17830
218, 168.1, 279.7, 0.17820
219, 156.9, 277.1, 0.17810
220, 155.6, 265.9, 0.17800
221, 202.1, 291.2, 0.17790
222, 176.4, 279.0, 0.17780
223, 224.4, 303.3, 0.17770
224, 216.8, 255.9, 0.17760
225, 214.5, 279.9, 0.17750
226, 206.2, 269.6, 0.17740
227, 239.3, 311.4, 0.17730
228, 179.1, 297.6, 0.17720
229, 162.7, 273.8, 0.17710
230, 178.0, 305.1, 0.17700
231, 179.3, 281.1, 0.17690
232, 210.8, 294.1, 0.17680
233, 164.5, 252.5, 0.17670
234, 174.6, 271.3, 0.17660
235, 210.0, 298.3, 0.17650
236, 250.7, 269.2, 0.17640
237, 184.5, 299.4, 0.17630
238, 215.0, 284.8, 0.17620
239, 202.0, 279.8, 0.17610
240, 198.8, 276.0, 0.17600
241, 208.9, 250.9, 0.17590
242, 207.4, 263.5, 0.17580
243, 222.2, 256.8, 0.17570
244, 282.3, 273.8, 0.17560
245, 170.0, 277.3, 0.17550
246, 206.7, 259.0, 0.17540
247, 178.8, 267.7, 0.17530
248, 236.5, 260.9, 0.17520
249, 228.6, 274.6, 0.17510
250, 259.2, 305.7, 0.17500
251, 184.1, 287.9, 0.17490
252, 199.8, 295.0, 0.17480
253, 182.4, 295.1, 0.17470
254, 197.7, 276.9, 0.17460
255, 212.1, 272.1, 0.17450
256, 186.3, 277.0, 0.17440
257, 159.7, 292.8, 0.17430
258, 223.0, 258.6, 0.17420
259, 257.4, 257.0, 0.17410
260, 180.9, 240.7, 0.17400
261, 162.8, 264.0, 0.17390
262, 162.7, 232.8, 0.17380
263, 226.0, 231.3, 0.17370
264, 221.4, 222.8, 0.17360
265, 193.1, 244.7, 0.17350
266, 196.4, 197.8, 0.17340
267, 253.6, 228.9, 0.17330
268, 273.2, 240.0, 0.17320
269, 280.5, 253.7, 0.17310
270, 164.8, 258.1, 0.17300
271, 184.5, 275.3, 0.17290
272, 219.6, 242.9, 0.17280
273, 207.0, 252.4, 0.17270
274, 197.8, 255.9, 0.17260
275, 257.4, 243.0, 0.17250
276, 239.3, 251.9, 0.17240
277, 267.0, 243.0, 0.17230
278, 241.2, 258.6, 0.17220
279, 234.0, 270.0, 0.17210
280, 286.2, 266.4, 0.17200
281, 198.1, 280.1, 0.17190
282, 226.2, 273.4, 0.17180
283, 237.1, 265.6, 0.17170
284, 191.5, 277.8, 0.17160
285, 241.4, 276.1, 0.17150
286, 178.2, 277.8, 0.17140
287, 192.2, 288.3, 0.17130
288, 240.6, 313.0, 0.17120
289, 170.5, 275.5, 0.17110
290, 188.1, 280.5, 0.17100
291, 278.1, 299.9, 0.17090
292, 282.1, 249.8, 0.17080
293, 186.8, 257.9, 0.17070
294, 256.0, 287.5, 0.17060
295, 246.5, 300.9, 0.17050
296, 227.4, 278.6, 0.17040
297, 212.4, 270.3, 0.17030
298, 201.8, 232.7, 0.17020
299, 234.5, 247.0, 0.17010
300, 253.0, 264.0, 0.17000
301, 183.5, 253.3, 0.16990
302, 222.1, 244.4, 0.16980
303, 223.0, 294.6, 0.16970
304, 145.5, 254.7, 0.16960
305, 181.5, 235.7, 0.16950
306, 194.8, 239.4, 0.16940
307, 193.6, 271.5, 0.16930
308, 252.3, 256.3, 0.16920
309, 254.1, 274.2, 0.16910
310, 230.9, 274.4, 0.16900
311, 255.3, 234.4, 0.16890
312, 272.5, 250.4, 0.16880
313, 227.0, 265.5, 0.16870
314, 189.6, 277.1, 0.16860
315, 185.2, 281.2, 0.16850
316, 214.7, 270.0, 0.16840
317, 251.0, 279.4, 0.16830
318, 242.8, 261.4, 0.16820
319, 277.6, 278.1, 0.16810
320, 296.2, 255.8, 0.16800
321, 209.7, 257.8, 0.16790
322, 223.0, 273.9, 0.16780
323, 250.8, 287.3, 0.16770
324, 293.9, 301.5, 0.16760
325, 192.3, 272.4, 0.16750
326, 177.6, 261.5, 0.16740
327, 189.7, 295.4, 0.16730
328, 195.1, 253.3, 0.16720
329, 153.5, 271.7, 0.16710
330, 263.2, 264.2, 0.16700
331, 223.6, 258.9, 0.16690
332, 286.4, 263.6, 0.16680
333, 233.9, 283.3, 0.16670
334, 265.0, 291.7, 0.16660
335, 282.8, 246.8, 0.16650
336, 305.5, 275.6, 0.16640
337, 290.4, 251.1, 0.16630
338, 189.6, 241.2, 0.16620
339, 168.0, 292.6, 0.16610
340, 181.5, 280.5, 0.16600
341, 249.4, 279.3, 0.16590
342, 289.6, 224.1, 0.16580
343, 205.6, 277.5, 0.16570
344, 312.3, 291.0, 0.16560
345, 232.5, 275.1, 0.16550
346, 212.8, 262.6, 0.16540
347, 331.1, 236.2, 0.16530
348, 276.3, 267.8, 0.16520
349, 249.1, 264.8, 0.16510
350, 222.9, 230.7, 0.16500
351, 318.9, 246.2, 0.16490
352, 249.4, 245.0, 0.16480
353, 226.4, 230.1, 0.16470
354, 307.0, 257.3, 0.16460
355, 235.6, 206.4, 0.16450
356, 317.5, 235.0, 0.16440
357, 277.7, 269.3, 0.16430
358, 177.2, 228.8, 0.16420
359, 191.6, 219.4, 0.16410
360, 236.1, 220.4, 0.16400
361, 180.0, 181.0, 0.16390
362, 199.5, 221.8, 0.16380
363, 222.4, 200.5, 0.16370
364, 218.6, 202.3, 0.16360
365, 219.0, 199.8, 0.16350
366, 174.8, 229.8, 0.16340
367, 150.9, 206.7, 0.16330
368, 276.9, 204.0, 0.16320
369, 195.3, 192.2, 0.16310
370, 139.7, 207.2, 0.16300
371, 230.3, 195.4, 0.16290
372, 174.4, 183.0, 0.16280
373, 170.3, 202.3, 0.16270
374, 156.1, 198.6, 0.16260
375, 185.4, 208.5, 0.16250
376, 170.6, 179.5, 0.16240
377, 201.1, 194.5, 0.16230
378, 139.0, 179.0, 0.16220
379, 206.7, 162.2, 0.16210
380, 162.9, 187.9, 0.16200
381, 168.4, 193.8, 0.16190
382, 176.5, 185.3, 0.16180
383, 195.6, 185.2, 0.16170
384, 234.3, 210.6, 0.16160
385, 193.5, 212.9, 0.16150
386, 163.7, 229.3, 0.16140
387, 217.0, 239.4, 0.16130
388, 211.8, 224.7, 0.16120
389, 199.8, 252.5, 0.16110
390, 223.5, 227.2, 0.16100
391, 209.2, 227.9, 0.16090
392, 211.2, 246.9, 0.16080
393, 209.5, 217.7, 0.16070
394, 172.8, 244.1, 0.16060
395, 227.7, 258.7, 0.16050
396, 224.0, 252.8, 0.16040
397, 252.7, 248.5, 0.16030
398, 195.4, 243.2, 0.16020
399, 184.4, 242.4, 0.16010
400, 245.1, 258.5, 0.16000
401, 225.5, 252.6, 0.15990
402, 209.0, 217.3, 0.15980
403, 223.0, 213.1, 0.15970
404, 216.8, 222.4, 0.15960
405, 271.3, 221.3, 0.15950
406, 184.6, 230.5, 0.15940
407, 141.6, 249.3, 0.15930
408, 209.9, 239.8, 0.15920
409, 248.0, 254.8, 0.15910
410, 203.3, 251.5, 0.15900
411, 213.2, 233.4, 0.15890
412, 231.9, 262.4, 0.15880
413, 198.5, 227.1, 0.15870
414, 200.9, 273.1, 0.15860
415, 175.4, 271.5, 0.15850
416, 257.4, 251.2, 0.15840
417, 190.2, 252.3, 0.15830
418, 184.2, 257.4, 0.15820
419, 208.5, 288.7, 0.15810
420, 190.4, 265.0, 0.15800
421, 167.1, 257.3, 0.15790
422, 262.9, 233.1, 0.15780
423, 192.1, 249.3, 0.15770
424, 194.8, 252.2, 0.15760
425, 221.7, 266.4, 0.15750
426, 185.2, 264.3, 0.15740
427, 204.5, 249.3, 0.15730
