# of episode, training score, validation score, sigma
1, 411.0, 206.9, 0.19990
2, 158.0, 149.2, 0.19980
3, 152.5, 155.1, 0.19970
4, 189.7, 220.6, 0.19960
5, 256.2, 181.4, 0.19950
6, 173.3, 194.1, 0.19940
7, 238.1, 223.8, 0.19930
8, 230.8, 231.5, 0.19920
9, 241.0, 235.8, 0.19910
10, 230.3, 231.8, 0.19900
11, 269.5, 261.7, 0.19890
12, 305.4, 232.8, 0.19880
13, 288.0, 290.7, 0.19870
14, 212.4, 251.5, 0.19860
15, 278.1, 227.7, 0.19850
16, 222.6, 255.9, 0.19840
17, 266.7, 266.4, 0.19830
18, 232.3, 248.1, 0.19820
19, 208.1, 245.4, 0.19810
20, 271.3, 264.7, 0.19800
21, 265.8, 262.3, 0.19790
22, 285.0, 275.6, 0.19780
23, 249.0, 274.1, 0.19770
24, 240.7, 274.2, 0.19760
25, 219.8, 271.6, 0.19750
26, 295.4, 288.6, 0.19740
27, 282.2, 252.1, 0.19730
28, 228.2, 258.2, 0.19720
29, 267.0, 248.6, 0.19710
30, 270.2, 253.3, 0.19700
31, 325.2, 281.1, 0.19690
32, 259.4, 247.8, 0.19680
33, 244.4, 267.9, 0.19670
34, 298.8, 294.0, 0.19660
35, 291.3, 284.7, 0.19650
36, 296.3, 307.0, 0.19640
37, 247.0, 318.9, 0.19630
38, 334.5, 324.6, 0.19620
39, 306.5, 304.0, 0.19610
40, 357.4, 273.5, 0.19600
41, 317.0, 304.8, 0.19590
42, 259.4, 259.0, 0.19580
43, 280.5, 303.0, 0.19570
44, 238.4, 273.3, 0.19560
45, 326.8, 250.7, 0.19550
46, 280.6, 285.7, 0.19540
47, 327.5, 295.7, 0.19530
48, 327.4, 299.0, 0.19520
49, 282.0, 336.9, 0.19510
50, 350.7, 343.3, 0.19500
51, 360.8, 340.5, 0.19490
52, 315.8, 346.7, 0.19480
53, 334.5, 313.7, 0.19470
54, 355.6, 307.2, 0.19460
55, 317.1, 334.3, 0.19450
56, 430.0, 324.5, 0.19440
57, 385.7, 325.7, 0.19430
58, 373.0, 342.6, 0.19420
59, 363.7, 331.8, 0.19410
60, 324.6, 307.7, 0.19400
61, 322.5, 375.6, 0.19390
62, 442.2, 324.4, 0.19380
63, 308.5, 323.0, 0.19370
64, 273.5, 335.5, 0.19360
65, 281.8, 298.8, 0.19350
66, 324.8, 312.3, 0.19340
67, 423.7, 362.7, 0.19330
68, 306.4, 286.8, 0.19320
69, 267.6, 290.5, 0.19310
70, 227.9, 310.9, 0.19300
71, 268.4, 342.4, 0.19290
72, 393.1, 378.8, 0.19280
73, 381.9, 344.4, 0.19270
74, 361.2, 334.9, 0.19260
75, 324.9, 351.1, 0.19250
76, 349.0, 325.3, 0.19240
77, 317.1, 311.3, 0.19230
78, 250.5, 307.5, 0.19220
79, 319.7, 326.7, 0.19210
80, 285.7, 332.3, 0.19200
81, 375.6, 329.3, 0.19190
82, 334.4, 294.6, 0.19180
83, 240.8, 311.4, 0.19170
84, 293.3, 324.7, 0.19160
85, 277.4, 329.2, 0.19150
86, 335.2, 316.0, 0.19140
87, 307.8, 328.1, 0.19130
88, 309.7, 356.4, 0.19120
89, 349.0, 363.7, 0.19110
90, 342.2, 363.7, 0.19100
91, 450.2, 353.4, 0.19090
92, 340.9, 329.2, 0.19080
93, 375.6, 323.9, 0.19070
94, 259.1, 348.7, 0.19060
95, 232.4, 335.4, 0.19050
96, 383.3, 336.9, 0.19040
97, 407.8, 340.0, 0.19030
98, 262.1, 352.9, 0.19020
99, 377.1, 359.2, 0.19010
100, 311.0, 323.7, 0.19000
101, 378.5, 354.4, 0.18990
102, 334.7, 275.0, 0.18980
103, 442.6, 305.9, 0.18970
104, 271.7, 315.1, 0.18960
105, 306.8, 325.4, 0.18950
106, 349.8, 337.0, 0.18940
107, 281.3, 346.6, 0.18930
108, 270.0, 379.6, 0.18920
109, 355.0, 352.6, 0.18910
110, 361.8, 395.7, 0.18900
111, 283.6, 378.5, 0.18890
112, 399.3, 344.6, 0.18880
113, 385.3, 382.5, 0.18870
114, 395.6, 327.2, 0.18860
115, 310.0, 349.0, 0.18850
116, 281.2, 327.3, 0.18840
117, 350.9, 361.2, 0.18830
118, 327.7, 312.4, 0.18820
119, 428.5, 357.5, 0.18810
120, 270.6, 306.1, 0.18800
121, 256.9, 320.9, 0.18790
122, 264.7, 351.7, 0.18780
123, 348.2, 314.0, 0.18770
124, 329.3, 291.0, 0.18760
