# of episode, training score, validation score, sigma
1, 416.3, 229.9, 0.19990
2, 154.6, 146.0, 0.19980
3, 145.5, 145.2, 0.19970
4, 154.9, 198.8, 0.19960
5, 190.1, 195.1, 0.19950
6, 158.6, 208.4, 0.19940
7, 170.7, 184.9, 0.19930
8, 190.6, 211.8, 0.19920
9, 224.1, 232.3, 0.19910
10, 242.7, 211.2, 0.19900
11, 225.3, 211.6, 0.19890
12, 244.3, 237.2, 0.19880
13, 226.7, 235.2, 0.19870
14, 244.9, 235.3, 0.19860
15, 228.8, 248.6, 0.19850
16, 208.3, 253.0, 0.19840
17, 218.6, 208.1, 0.19830
18, 240.6, 232.7, 0.19820
19, 236.6, 255.7, 0.19810
20, 229.4, 251.9, 0.19800
21, 231.6, 246.0, 0.19790
22, 223.7, 240.5, 0.19780
23, 279.0, 230.9, 0.19770
24, 231.9, 253.9, 0.19760
25, 244.6, 243.1, 0.19750
26, 278.0, 252.4, 0.19740
27, 220.5, 253.5, 0.19730
28, 248.3, 243.4, 0.19720
29, 241.2, 244.6, 0.19710
30, 229.3, 235.7, 0.19700
31, 182.3, 204.4, 0.19690
32, 173.1, 243.3, 0.19680
33, 209.0, 213.1, 0.19670
34, 253.3, 221.6, 0.19660
35, 242.9, 197.4, 0.19650
36, 168.1, 208.5, 0.19640
37, 257.8, 203.9, 0.19630
38, 195.8, 230.0, 0.19620
39, 241.3, 219.0, 0.19610
40, 222.8, 238.7, 0.19600
41, 206.6, 224.8, 0.19590
42, 258.1, 231.0, 0.19580
43, 234.9, 239.9, 0.19570
44, 276.2, 248.8, 0.19560
45, 334.4, 236.2, 0.19550
46, 244.0, 236.9, 0.19540
47, 232.4, 238.0, 0.19530
48, 265.1, 243.6, 0.19520
49, 262.0, 248.8, 0.19510
50, 225.0, 236.0, 0.19500
51, 249.6, 237.5, 0.19490
52, 287.0, 245.6, 0.19480
53, 199.0, 239.4, 0.19470
54, 231.5, 232.3, 0.19460
55, 270.6, 239.0, 0.19450
56, 214.0, 269.2, 0.19440
57, 283.0, 274.7, 0.19430
58, 284.6, 255.9, 0.19420
59, 342.5, 302.3, 0.19410
60, 254.0, 243.9, 0.19400
61, 267.9, 276.4, 0.19390
62, 255.7, 294.6, 0.19380
63, 285.3, 279.8, 0.19370
64, 277.2, 293.2, 0.19360
65, 308.2, 283.6, 0.19350
66, 353.3, 292.3, 0.19340
67, 311.6, 275.6, 0.19330
68, 287.7, 284.9, 0.19320
69, 299.1, 269.8, 0.19310
70, 232.6, 267.4, 0.19300
71, 206.6, 279.1, 0.19290
72, 277.7, 264.4, 0.19280
73, 277.4, 267.4, 0.19270
74, 261.9, 259.8, 0.19260
75, 245.4, 259.1, 0.19250
76, 305.4, 261.5, 0.19240
77, 236.8, 252.4, 0.19230
78, 293.6, 270.0, 0.19220
79, 226.7, 256.7, 0.19210
80, 242.0, 262.0, 0.19200
81, 307.1, 278.1, 0.19190
82, 236.4, 265.5, 0.19180
83, 264.3, 249.7, 0.19170
84, 244.2, 257.7, 0.19160
85, 297.7, 254.9, 0.19150
86, 256.0, 254.7, 0.19140
87, 175.5, 267.8, 0.19130
88, 270.0, 263.1, 0.19120
89, 261.4, 284.7, 0.19110
90, 228.5, 257.7, 0.19100
91, 153.4, 240.4, 0.19090
92, 210.3, 252.0, 0.19080
93, 261.9, 249.4, 0.19070
94, 276.4, 272.3, 0.19060
95, 260.0, 244.8, 0.19050
96, 243.2, 239.8, 0.19040
97, 179.9, 270.6, 0.19030
98, 227.9, 253.8, 0.19020
99, 263.2, 257.7, 0.19010
100, 306.7, 270.2, 0.19000
101, 284.2, 297.8, 0.18990
102, 301.0, 284.1, 0.18980
103, 195.1, 295.5, 0.18970
104, 284.2, 215.0, 0.18960
105, 253.7, 277.7, 0.18950
106, 302.3, 293.0, 0.18940
107, 282.2, 286.4, 0.18930
108, 218.9, 274.5, 0.18920
109, 237.9, 262.7, 0.18910
110, 237.1, 295.6, 0.18900
111, 289.1, 261.8, 0.18890
112, 172.0, 247.5, 0.18880
113, 320.7, 260.3, 0.18870
114, 262.6, 250.4, 0.18860
115, 294.6, 277.1, 0.18850
116, 325.4, 270.7, 0.18840
117, 283.9, 330.8, 0.18830
118, 300.4, 296.9, 0.18820
119, 302.3, 261.2, 0.18810
120, 255.6, 246.0, 0.18800
121, 271.6, 210.8, 0.18790
122, 247.4, 264.4, 0.18780
123, 241.8, 271.0, 0.18770
124, 255.1, 326.1, 0.18760
125, 290.9, 275.0, 0.18750
126, 297.7, 267.9, 0.18740
127, 321.0, 277.9, 0.18730
128, 270.4, 267.3, 0.18720
129, 211.5, 307.6, 0.18710
130, 245.1, 247.4, 0.18700
131, 266.3, 321.6, 0.18690
132, 235.9, 324.0, 0.18680
133, 259.3, 231.6, 0.18670
134, 252.7, 235.4, 0.18660
135, 198.3, 252.4, 0.18650
136, 245.4, 220.0, 0.18640
137, 207.9, 309.6, 0.18630
138, 315.6, 304.8, 0.18620
139, 295.3, 274.5, 0.18610
140, 321.7, 311.0, 0.18600
141, 319.9, 299.5, 0.18590
142, 313.2, 313.9, 0.18580
143, 335.6, 294.6, 0.18570
144, 267.5, 314.9, 0.18560
145, 286.4, 296.0, 0.18550
146, 286.4, 312.6, 0.18540
147, 284.8, 279.9, 0.18530
148, 266.9, 273.6, 0.18520
149, 244.7, 276.7, 0.18510
150, 297.3, 288.8, 0.18500
151, 262.4, 248.2, 0.18490
152, 255.8, 262.3, 0.18480
153, 233.7, 264.8, 0.18470
154, 258.0, 225.0, 0.18460
155, 252.8, 209.5, 0.18450
156, 281.2, 215.1, 0.18440
157, 221.1, 219.0, 0.18430
158, 165.1, 191.0, 0.18420
159, 199.1, 252.5, 0.18410
160, 259.6, 261.1, 0.18400
161, 231.1, 262.2, 0.18390
