# of episode, training score, validation score, sigma
1, 341.9, 190.6, 0.19990
2, 169.2, 146.3, 0.19980
3, 147.7, 147.0, 0.19970
4, 148.6, 144.3, 0.19960
5, 195.9, 173.9, 0.19950
6, 202.8, 186.9, 0.19940
7, 241.8, 195.1, 0.19930
8, 228.4, 176.0, 0.19920
9, 205.6, 234.5, 0.19910
10, 250.0, 209.3, 0.19900
11, 284.7, 214.8, 0.19890
12, 295.3, 225.8, 0.19880
13, 248.0, 232.5, 0.19870
14, 241.0, 238.7, 0.19860
15, 258.8, 210.1, 0.19850
16, 250.7, 239.4, 0.19840
17, 207.5, 248.8, 0.19830
18, 236.5, 243.0, 0.19820
19, 294.9, 265.3, 0.19810
20, 253.9, 247.6, 0.19800
21, 300.6, 238.7, 0.19790
22, 218.9, 218.5, 0.19780
23, 227.4, 263.2, 0.19770
24, 228.4, 252.2, 0.19760
25, 273.7, 239.3, 0.19750
26, 199.4, 251.9, 0.19740
27, 290.0, 249.3, 0.19730
28, 255.5, 217.8, 0.19720
29, 274.7, 242.4, 0.19710
30, 195.4, 201.4, 0.19700
31, 165.4, 214.4, 0.19690
32, 218.7, 213.5, 0.19680
33, 271.2, 261.8, 0.19670
34, 358.7, 262.8, 0.19660
35, 256.0, 265.8, 0.19650
36, 264.1, 246.1, 0.19640
37, 245.0, 255.8, 0.19630
38, 274.1, 268.1, 0.19620
39, 286.5, 268.0, 0.19610
40, 288.8, 272.0, 0.19600
41, 237.8, 256.1, 0.19590
42, 257.4, 268.0, 0.19580
43, 292.0, 249.6, 0.19570
44, 228.7, 224.1, 0.19560
45, 236.6, 250.2, 0.19550
46, 245.9, 274.6, 0.19540
47, 234.8, 223.7, 0.19530
48, 203.0, 219.5, 0.19520
49, 289.0, 252.8, 0.19510
50, 307.7, 236.6, 0.19500
51, 233.0, 249.2, 0.19490
52, 285.5, 244.9, 0.19480
53, 287.4, 241.8, 0.19470
54, 264.4, 258.0, 0.19460
55, 255.0, 268.9, 0.19450
56, 297.6, 256.6, 0.19440
57, 281.2, 265.0, 0.19430
58, 262.7, 270.1, 0.19420
59, 249.5, 264.3, 0.19410
60, 266.7, 254.5, 0.19400
61, 230.5, 267.3, 0.19390
62, 243.0, 268.2, 0.19380
63, 209.6, 261.1, 0.19370
64, 216.4, 223.9, 0.19360
65, 277.6, 251.7, 0.19350
66, 229.1, 266.8, 0.19340
67, 255.1, 267.6, 0.19330
68, 266.3, 259.8, 0.19320
69, 225.6, 254.8, 0.19310
70, 276.0, 215.6, 0.19300
71, 164.0, 252.8, 0.19290
72, 235.8, 254.0, 0.19280
73, 248.3, 224.4, 0.19270
74, 205.4, 265.7, 0.19260
75, 307.7, 268.1, 0.19250
76, 243.3, 244.1, 0.19240
77, 246.8, 295.3, 0.19230
78, 305.5, 286.3, 0.19220
79, 283.8, 283.1, 0.19210
80, 330.6, 252.4, 0.19200
81, 319.1, 338.9, 0.19190
82, 303.0, 328.9, 0.19180
83, 348.9, 284.8, 0.19170
84, 289.6, 300.8, 0.19160
85, 354.5, 307.3, 0.19150
86, 402.6, 346.1, 0.19140
87, 335.1, 337.9, 0.19130
88, 274.6, 316.6, 0.19120
89, 306.0, 300.8, 0.19110
90, 269.1, 256.0, 0.19100
91, 230.9, 263.9, 0.19090
92, 273.4, 293.9, 0.19080
93, 240.4, 219.2, 0.19070
94, 258.3, 303.6, 0.19060
95, 282.5, 287.7, 0.19050
96, 332.8, 366.8, 0.19040
97, 241.7, 321.9, 0.19030
98, 301.1, 269.6, 0.19020
99, 207.1, 327.4, 0.19010
100, 288.5, 360.2, 0.19000
101, 323.2, 364.9, 0.18990
102, 484.5, 402.2, 0.18980
103, 454.6, 327.6, 0.18970
104, 368.9, 407.1, 0.18960
105, 324.7, 348.6, 0.18950
106, 356.7, 363.6, 0.18940
107, 309.3, 340.7, 0.18930
108, 426.9, 381.4, 0.18920
109, 287.6, 349.2, 0.18910
110, 369.0, 328.7, 0.18900
111, 459.3, 278.8, 0.18890
112, 236.8, 275.5, 0.18880
113, 294.4, 313.6, 0.18870
114, 284.3, 327.3, 0.18860
115, 279.7, 342.0, 0.18850
116, 407.8, 330.1, 0.18840
117, 444.0, 359.0, 0.18830
118, 291.0, 341.1, 0.18820
119, 274.9, 363.5, 0.18810
120, 315.9, 363.9, 0.18800
121, 442.7, 359.0, 0.18790
122, 340.9, 358.6, 0.18780
123, 505.7, 333.6, 0.18770
124, 322.4, 326.2, 0.18760
125, 374.6, 341.4, 0.18750
126, 394.6, 307.6, 0.18740
127, 267.0, 308.9, 0.18730
128, 341.7, 317.2, 0.18720
129, 336.1, 278.1, 0.18710
130, 214.9, 253.3, 0.18700
131, 249.7, 257.3, 0.18690
132, 321.0, 277.4, 0.18680
133, 303.6, 270.9, 0.18670
134, 252.3, 284.3, 0.18660
135, 321.7, 308.9, 0.18650
136, 292.2, 271.6, 0.18640
137, 216.3, 382.6, 0.18630
138, 332.4, 340.7, 0.18620
139, 344.8, 325.8, 0.18610
140, 423.5, 343.4, 0.18600
141, 320.9, 314.4, 0.18590
142, 267.9, 314.1, 0.18580
143, 241.5, 287.8, 0.18570
144, 287.4, 325.5, 0.18560
145, 314.6, 321.4, 0.18550
146, 340.7, 325.1, 0.18540
147, 300.3, 251.7, 0.18530
148, 277.5, 302.0, 0.18520
149, 291.9, 313.8, 0.18510
150, 330.0, 304.9, 0.18500
151, 283.0, 241.4, 0.18490
152, 275.3, 330.8, 0.18480
153, 308.2, 312.4, 0.18470
154, 348.7, 370.2, 0.18460
155, 229.4, 383.5, 0.18450
156, 362.6, 322.9, 0.18440
157, 337.0, 328.7, 0.18430
158, 402.9, 370.4, 0.18420
159, 305.4, 345.3, 0.18410
160, 382.0, 382.3, 0.18400
161, 319.4, 310.7, 0.18390
162, 402.1, 389.6, 0.18380
163, 385.9, 376.9, 0.18370
164, 345.5, 371.6, 0.18360
165, 325.4, 344.5, 0.18350
166, 334.8, 350.1, 0.18340
167, 299.6, 332.6, 0.18330
168, 276.8, 420.8, 0.18320
169, 340.2, 324.0, 0.18310
170, 248.4, 338.5, 0.18300
171, 287.4, 342.2, 0.18290
172, 278.9, 369.0, 0.18280
173, 441.2, 377.8, 0.18270
174, 387.4, 365.6, 0.18260
175, 258.0, 310.5, 0.18250
176, 281.3, 354.8, 0.18240
177, 324.2, 314.2, 0.18230
178, 361.3, 315.9, 0.18220
179, 309.1, 318.2, 0.18210
180, 257.2, 346.6, 0.18200
181, 314.8, 319.2, 0.18190
182, 347.6, 355.5, 0.18180
183, 284.7, 346.3, 0.18170
