# of episode, training score, validation score, sigma
1, 401.6, 195.4, 0.10000
2, 207.5, 152.6, 0.10000
3, 176.2, 198.3, 0.10000
4, 170.3, 169.8, 0.10000
5, 204.2, 225.0, 0.10000
6, 217.1, 179.5, 0.10000
7, 216.8, 242.2, 0.10000
8, 277.1, 192.6, 0.10000
9, 188.2, 195.7, 0.10000
10, 200.6, 208.2, 0.10000
11, 204.3, 199.0, 0.10000
12, 182.3, 186.3, 0.10000
13, 145.8, 196.7, 0.10000
14, 226.0, 181.7, 0.10000
15, 166.1, 210.2, 0.10000
16, 195.0, 240.6, 0.10000
17, 244.0, 223.5, 0.10000
18, 180.9, 197.8, 0.10000
19, 235.9, 234.2, 0.10000
20, 181.5, 235.5, 0.10000
21, 226.9, 220.6, 0.10000
22, 227.8, 234.3, 0.10000
23, 253.1, 253.6, 0.10000
24, 224.6, 228.6, 0.10000
25, 246.2, 239.1, 0.10000
26, 232.8, 218.4, 0.10000
27, 177.8, 241.9, 0.10000
28, 230.4, 230.6, 0.10000
29, 214.3, 222.1, 0.10000
30, 259.3, 263.6, 0.10000
31, 292.2, 243.7, 0.10000
32, 261.2, 250.4, 0.10000
33, 200.9, 273.0, 0.10000
34, 241.4, 263.5, 0.10000
35, 287.9, 276.6, 0.10000
36, 232.2, 268.6, 0.10000
37, 253.0, 255.1, 0.10000
38, 247.7, 260.0, 0.10000
39, 274.2, 253.9, 0.10000
40, 333.5, 281.1, 0.10000
41, 304.1, 273.6, 0.10000
42, 273.9, 267.1, 0.10000
43, 293.4, 289.1, 0.10000
44, 249.9, 266.5, 0.10000
45, 296.0, 300.7, 0.10000
46, 333.2, 305.5, 0.10000
47, 355.9, 270.7, 0.10000
48, 163.2, 261.8, 0.10000
49, 204.8, 275.9, 0.10000
50, 278.8, 279.6, 0.10000
51, 238.8, 243.5, 0.10000
52, 258.1, 280.1, 0.10000
53, 195.7, 240.8, 0.10000
54, 285.9, 203.9, 0.10000
55, 248.1, 215.4, 0.10000
56, 225.2, 270.4, 0.10000
57, 222.8, 214.0, 0.10000
58, 297.9, 248.3, 0.10000
59, 242.5, 237.0, 0.10000
60, 246.6, 250.7, 0.10000
61, 291.3, 258.9, 0.10000
62, 277.0, 257.2, 0.10000
63, 202.7, 273.3, 0.10000
64, 275.0, 285.5, 0.10000
65, 189.2, 274.6, 0.10000
66, 366.2, 272.5, 0.10000
67, 336.6, 304.4, 0.10000
68, 268.4, 261.9, 0.10000
69, 307.4, 281.1, 0.10000
70, 303.4, 288.3, 0.10000
71, 236.4, 253.0, 0.10000
72, 325.4, 268.4, 0.10000
73, 244.3, 266.6, 0.10000
74, 268.4, 295.9, 0.10000
75, 272.8, 282.8, 0.10000
76, 242.3, 278.2, 0.10000
77, 290.8, 313.3, 0.10000
78, 288.3, 296.5, 0.10000
79, 261.2, 288.0, 0.10000
80, 334.9, 332.5, 0.10000
81, 272.5, 315.0, 0.10000
82, 262.1, 295.6, 0.10000
83, 322.0, 335.5, 0.10000
84, 327.9, 326.9, 0.10000
85, 301.0, 364.1, 0.10000
86, 359.3, 320.7, 0.10000
87, 322.9, 351.8, 0.10000
88, 419.3, 326.0, 0.10000
89, 294.7, 313.4, 0.10000
90, 349.5, 321.5, 0.10000
91, 287.8, 292.7, 0.10000
92, 210.5, 278.9, 0.10000
93, 326.3, 299.5, 0.10000
94, 234.4, 291.6, 0.10000
95, 318.6, 287.5, 0.10000
96, 201.1, 308.3, 0.10000
97, 241.5, 319.2, 0.10000
98, 247.9, 317.9, 0.10000
99, 345.5, 342.3, 0.10000
100, 279.9, 323.8, 0.10000
101, 333.7, 312.9, 0.10000
102, 275.5, 287.7, 0.10000
103, 380.9, 313.6, 0.10000
104, 216.4, 299.8, 0.10000
105, 321.4, 293.5, 0.10000
106, 279.9, 289.8, 0.10000
107, 233.7, 303.1, 0.10000
108, 271.6, 291.9, 0.10000
109, 359.6, 304.9, 0.10000
110, 323.2, 327.9, 0.10000
111, 259.5, 284.8, 0.10000
112, 501.5, 312.7, 0.10000
113, 297.6, 294.0, 0.10000
114, 293.2, 291.1, 0.10000
115, 265.9, 286.5, 0.10000
116, 235.0, 276.2, 0.10000
117, 331.7, 272.6, 0.10000
118, 237.8, 263.5, 0.10000
119, 412.8, 268.1, 0.10000
120, 256.2, 263.5, 0.10000
121, 278.4, 280.9, 0.10000
